
	D1_06_M HD Pneumonie, Alter >84, Mortalität // DP pneumonie, âge >84, mortalité // DP polmonite, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	18	1	170	1133	0.1500441	
	2008	18	2	92	904	0.1017699	
	2008	19	1	78	445	0.1752809	
	2008	19	2	66	444	0.1486486	
	2008	20	1	18	122	0.147541	
	2008	20	2	32	163	0.196319	
	2009	18	1	156	1205	0.1294606	
	2009	18	2	101	945	0.1068783	
	2009	19	1	90	469	0.1918977	
	2009	19	2	69	529	0.1304348	
	2009	20	1	24	133	0.1804511	
	2009	20	2	30	164	0.1829268	
	2010	18	1	172	1215	0.1415638	
	2010	18	2	103	1121	0.09188225	
	2010	19	1	88	553	0.159132	
	2010	19	2	61	529	0.1153119	
	2010	20	1	33	155	0.2129032	
	2010	20	2	28	172	0.1627907	
	2011	18	1	168	1288	0.1304348	
	2011	18	2	124	1109	0.1118124	
	2011	19	1	82	584	0.140411	
	2011	19	2	77	605	0.1272727	
	2011	20	1	31	121	0.2561983	
	2011	20	2	38	206	0.184466	
	2012	18	1	164	1315	0.1247148	
	2012	18	2	119	1225	0.09714286	
	2012	19	1	92	670	0.1373134	
	2012	19	2	65	677	0.09601182	
	2012	20	1	23	142	0.1619718	
	2012	20	2	35	209	0.1674641	
	2013	18	1	173	1457	0.1187371	
	2013	18	2	106	1324	0.08006042	
	2013	19	1	89	714	0.1246499	
	2013	19	2	84	801	0.1048689	
	2013	20	1	24	148	0.1621622	
	2013	20	2	28	218	0.1284404	
	2014	18	1	185	1475	0.1254237	
	2014	18	2	100	1295	0.07722008	
	2014	19	1	96	717	0.1338912	
	2014	19	2	99	780	0.1269231	
	2014	20	1	21	132	0.1590909	
	2014	20	2	28	222	0.1261261	
	2015	18	1	203	1766	0.114949	
	2015	18	2	147	1596	0.09210526	
	2015	19	1	120	965	0.1243523	
	2015	19	2	103	1029	0.1000972	
	2015	20	1	24	189	0.1269841	
	2015	20	2	48	262	0.1832061	
	2016	18	1	192	1689	0.1136767	
	2016	18	2	125	1422	0.08790436	
	2016	19	1	120	835	0.1437126	
	2016	19	2	125	944	0.1324153	
	2016	20	1	36	208	0.1730769	
	2016	20	2	37	267	0.1385768	
	2017	18	1	195	1841	0.1059207	
	2017	18	2	138	1725	0.08	
	2017	19	1	128	912	0.1403509	
	2017	19	2	117	1076	0.1087361	
	2017	20	1	38	233	0.1630901	
	2017	20	2	46	344	0.1337209	
	2018	18	1	216	1985	0.1088161	
	2018	18	2	107	1722	0.06213705	
	2018	19	1	111	954	0.1163522	
	2018	19	2	129	1096	0.1177007	
	2018	20	1	29	212	0.1367925	
	2018	20	2	48	355	0.1352113	
	2019	18	1	193	1862	0.103652	
	2019	18	2	148	1779	0.0831928	
	2019	19	1	153	1027	0.1489776	
	2019	19	2	107	1129	0.09477414	
	2019	20	1	53	267	0.1985019	
	2019	20	2	48	382	0.1256545	
