
	D1_08_M HD Pneumonie, Alter >19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP pneumonie, âge >19, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età >19, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	60	0	
	2008	5	2	0	47	0	
	2008	6	1	0	69	0	
	2008	6	2	1	74	0.01351351	
	2008	7	1	0	104	0	
	2008	7	2	3	100	0.03	
	2008	8	1	0	188	0	
	2008	8	2	1	173	0.005780347	
	2008	9	1	0	231	0	
	2008	9	2	1	172	0.005813953	
	2008	10	1	3	254	0.01181102	
	2008	10	2	3	177	0.01694915	
	2008	11	1	5	280	0.01785714	
	2008	11	2	6	194	0.03092784	
	2008	12	1	6	359	0.01671309	
	2008	12	2	5	274	0.01824818	
	2008	13	1	14	472	0.02966102	
	2008	13	2	11	386	0.02849741	
	2008	14	1	18	590	0.03050847	
	2008	14	2	14	415	0.03373494	
	2008	15	1	42	777	0.05405405	
	2008	15	2	23	481	0.04781705	
	2008	16	1	56	990	0.05656566	
	2008	16	2	35	722	0.04847645	
	2008	17	1	76	1008	0.07539683	
	2008	17	2	51	888	0.05743243	
	2008	18	1	106	863	0.1228273	
	2008	18	2	60	773	0.07761966	
	2008	19	1	53	346	0.1531792	
	2008	19	2	47	378	0.1243386	
	2008	20	1	8	96	0.08333333	
	2008	20	2	24	128	0.1875	
	2009	5	1	0	105	0	
	2009	5	2	0	69	0	
	2009	6	1	0	99	0	
	2009	6	2	0	87	0	
	2009	7	1	0	122	0	
	2009	7	2	0	138	0	
	2009	8	1	3	178	0.01685393	
	2009	8	2	0	180	0	
	2009	9	1	2	214	0.009345794	
	2009	9	2	2	202	0.00990099	
	2009	10	1	3	298	0.01006711	
	2009	10	2	2	201	0.009950249	
	2009	11	1	2	340	0.005882353	
	2009	11	2	3	245	0.0122449	
	2009	12	1	4	336	0.01190476	
	2009	12	2	1	275	0.003636364	
	2009	13	1	13	550	0.02363636	
	2009	13	2	5	420	0.01190476	
	2009	14	1	23	625	0.0368	
	2009	14	2	13	466	0.027897	
	2009	15	1	37	764	0.04842932	
	2009	15	2	22	562	0.03914591	
	2009	16	1	68	985	0.06903553	
	2009	16	2	28	730	0.03835616	
	2009	17	1	85	1110	0.07657658	
	2009	17	2	63	912	0.06907895	
	2009	18	1	98	948	0.1033755	
	2009	18	2	69	799	0.08635795	
	2009	19	1	55	378	0.1455026	
	2009	19	2	59	466	0.1266094	
	2009	20	1	14	102	0.1372549	
	2009	20	2	23	140	0.1642857	
	2010	5	1	2	105	0.01904762	
	2010	5	2	0	66	0	
	2010	6	1	0	93	0	
	2010	6	2	0	89	0	
	2010	7	1	0	106	0	
	2010	7	2	2	116	0.01724138	
	2010	8	1	0	173	0	
	2010	8	2	0	162	0	
	2010	9	1	1	212	0.004716981	
	2010	9	2	0	224	0	
	2010	10	1	2	272	0.007352941	
	2010	10	2	1	196	0.005102041	
	2010	11	1	3	291	0.01030928	
	2010	11	2	4	254	0.01574803	
	2010	12	1	4	369	0.01084011	
	2010	12	2	4	271	0.01476015	
	2010	13	1	6	467	0.01284797	
	2010	13	2	3	418	0.007177033	
	2010	14	1	12	637	0.0188383	
	2010	14	2	10	435	0.02298851	
	2010	15	1	25	742	0.03369272	
	2010	15	2	17	489	0.03476483	
	2010	16	1	44	1006	0.04373757	
	2010	16	2	26	657	0.03957382	
	2010	17	1	82	1071	0.07656396	
	2010	17	2	61	857	0.07117853	
	2010	18	1	77	834	0.09232614	
	2010	18	2	58	823	0.07047388	
	2010	19	1	41	380	0.1078947	
	2010	19	2	46	395	0.1164557	
	2010	20	1	20	112	0.1785714	
	2010	20	2	19	123	0.1544715	
	2011	5	1	0	92	0	
	2011	5	2	1	75	0.01333333	
	2011	6	1	1	103	0.009708738	
	2011	6	2	1	90	0.01111111	
	2011	7	1	1	120	0.008333333	
	2011	7	2	0	133	0	
	2011	8	1	1	170	0.005882353	
	2011	8	2	0	167	0	
	2011	9	1	1	276	0.003623188	
	2011	9	2	0	177	0	
	2011	10	1	2	277	0.007220217	
	2011	10	2	3	221	0.01357466	
	2011	11	1	8	336	0.02380952	
	2011	11	2	1	235	0.004255319	
	2011	12	1	2	372	0.005376344	
	2011	12	2	3	293	0.01023891	
	2011	13	1	12	457	0.02625821	
	2011	13	2	11	415	0.02650602	
	2011	14	1	21	684	0.03070175	
	2011	14	2	12	496	0.02419355	
	2011	15	1	27	761	0.03547963	
	2011	15	2	15	491	0.0305499	
	2011	16	1	64	1079	0.05931418	
	2011	16	2	22	707	0.0311174	
	2011	17	1	81	1070	0.07570093	
	2011	17	2	49	921	0.05320304	
	2011	18	1	88	898	0.09799555	
	2011	18	2	79	839	0.09415971	
	2011	19	1	44	418	0.1052632	
	2011	19	2	44	442	0.09954751	
	2011	20	1	16	82	0.195122	
	2011	20	2	24	151	0.1589404	
	2012	5	1	1	86	0.01162791	
	2012	5	2	0	60	0	
	2012	6	1	0	71	0	
	2012	6	2	1	73	0.01369863	
	2012	7	1	0	104	0	
	2012	7	2	1	108	0.009259259	
	2012	8	1	2	150	0.01333333	
	2012	8	2	0	156	0	
