
	D1_09_M HD Pneumonie, Alter 20-44, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP pneumonie, âge 20-44, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età 20-44, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	60	0	
	2008	5	2	0	47	0	
	2008	6	1	0	69	0	
	2008	6	2	1	74	0.01351351	
	2008	7	1	0	104	0	
	2008	7	2	3	100	0.03	
	2008	8	1	0	188	0	
	2008	8	2	1	173	0.005780347	
	2008	9	1	0	231	0	
	2008	9	2	1	172	0.005813953	
	2009	5	1	0	105	0	
	2009	5	2	0	69	0	
	2009	6	1	0	99	0	
	2009	6	2	0	87	0	
	2009	7	1	0	122	0	
	2009	7	2	0	138	0	
	2009	8	1	3	178	0.01685393	
	2009	8	2	0	180	0	
	2009	9	1	2	214	0.009345794	
	2009	9	2	2	202	0.00990099	
	2010	5	1	2	105	0.01904762	
	2010	5	2	0	66	0	
	2010	6	1	0	93	0	
	2010	6	2	0	89	0	
	2010	7	1	0	106	0	
	2010	7	2	2	116	0.01724138	
	2010	8	1	0	173	0	
	2010	8	2	0	162	0	
	2010	9	1	1	212	0.004716981	
	2010	9	2	0	224	0	
	2011	5	1	0	92	0	
	2011	5	2	1	75	0.01333333	
	2011	6	1	1	103	0.009708738	
	2011	6	2	1	90	0.01111111	
	2011	7	1	1	120	0.008333333	
	2011	7	2	0	133	0	
	2011	8	1	1	170	0.005882353	
	2011	8	2	0	167	0	
	2011	9	1	1	276	0.003623188	
	2011	9	2	0	177	0	
	2012	5	1	1	86	0.01162791	
	2012	5	2	0	60	0	
	2012	6	1	0	71	0	
	2012	6	2	1	73	0.01369863	
	2012	7	1	0	104	0	
	2012	7	2	1	108	0.009259259	
	2012	8	1	2	150	0.01333333	
	2012	8	2	0	156	0	
	2012	9	1	3	182	0.01648352	
	2012	9	2	1	175	0.005714286	
	2013	5	1	0	63	0	
	2013	5	2	0	44	0	
	2013	6	1	0	66	0	
	2013	6	2	0	72	0	
	2013	7	1	0	99	0	
	2013	7	2	0	112	0	
	2013	8	1	0	161	0	
	2013	8	2	1	138	0.007246377	
	2013	9	1	2	199	0.01005025	
	2013	9	2	0	180	0	
	2014	5	1	3	103	0.02912621	
	2014	5	2	0	79	0	
	2014	6	1	2	92	0.02173913	
	2014	6	2	0	95	0	
	2014	7	1	0	118	0	
	2014	7	2	0	118	0	
	2014	8	1	1	167	0.005988024	
	2014	8	2	0	170	0	
	2014	9	1	0	165	0	
	2014	9	2	0	193	0	
	2015	5	1	1	94	0.0106383	
	2015	5	2	1	70	0.01428571	
	2015	6	1	0	107	0	
	2015	6	2	0	95	0	
	2015	7	1	1	136	0.007352941	
	2015	7	2	0	118	0	
	2015	8	1	1	162	0.00617284	
	2015	8	2	0	177	0	
	2015	9	1	2	239	0.008368201	
	2015	9	2	1	198	0.005050505	
	2016	5	1	0	115	0	
	2016	5	2	0	78	0	
	2016	6	1	0	106	0	
	2016	6	2	0	83	0	
	2016	7	1	0	132	0	
	2016	7	2	0	150	0	
	2016	8	1	1	174	0.005747126	
	2016	8	2	0	152	0	
	2016	9	1	3	223	0.01345291	
	2016	9	2	0	168	0	
	2017	5	1	1	76	0.01315789	
	2017	5	2	0	40	0	
	2017	6	1	0	94	0	
	2017	6	2	1	66	0.01515152	
	2017	7	1	1	121	0.008264463	
	2017	7	2	0	114	0	
	2017	8	1	0	159	0	
	2017	8	2	1	140	0.007142857	
	2017	9	1	1	185	0.005405405	
	2017	9	2	0	141	0	
	2018	5	1	1	117	0.008547009	
	2018	5	2	0	71	0	
	2018	6	1	0	100	0	
	2018	6	2	0	103	0	
	2018	7	1	0	139	0	
	2018	7	2	0	109	0	
	2018	8	1	0	200	0	
	2018	8	2	0	185	0	
	2018	9	1	0	208	0	
	2018	9	2	0	202	0	
	2019	5	1	0	96	0	
	2019	5	2	0	80	0	
	2019	6	1	1	102	0.009803922	
	2019	6	2	0	91	0	
	2019	7	1	2	158	0.01265823	
	2019	7	2	0	119	0	
	2019	8	1	0	190	0	
	2019	8	2	0	194	0	
	2019	9	1	0	209	0	
	2019	9	2	0	184	0	
