
	D1_10_M HD Pneumonie, Alter 45-64, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP pneumonie, âge 45-64, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età 45-64, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	10	1	3	254	0.01181102	
	2008	10	2	3	177	0.01694915	
	2008	11	1	5	280	0.01785714	
	2008	11	2	6	194	0.03092784	
	2008	12	1	6	359	0.01671309	
	2008	12	2	5	274	0.01824818	
	2008	13	1	14	472	0.02966102	
	2008	13	2	11	386	0.02849741	
	2009	10	1	3	298	0.01006711	
	2009	10	2	2	201	0.009950249	
	2009	11	1	2	340	0.005882353	
	2009	11	2	3	245	0.0122449	
	2009	12	1	4	336	0.01190476	
	2009	12	2	1	275	0.003636364	
	2009	13	1	13	550	0.02363636	
	2009	13	2	5	420	0.01190476	
	2010	10	1	2	272	0.007352941	
	2010	10	2	1	196	0.005102041	
	2010	11	1	3	291	0.01030928	
	2010	11	2	4	254	0.01574803	
	2010	12	1	4	369	0.01084011	
	2010	12	2	4	271	0.01476015	
	2010	13	1	6	467	0.01284797	
	2010	13	2	3	418	0.007177033	
	2011	10	1	2	277	0.007220217	
	2011	10	2	3	221	0.01357466	
	2011	11	1	8	336	0.02380952	
	2011	11	2	1	235	0.004255319	
	2011	12	1	2	372	0.005376344	
	2011	12	2	3	293	0.01023891	
	2011	13	1	12	457	0.02625821	
	2011	13	2	11	415	0.02650602	
	2012	10	1	2	268	0.007462687	
	2012	10	2	4	174	0.02298851	
	2012	11	1	2	305	0.006557377	
	2012	11	2	5	220	0.02272727	
	2012	12	1	6	353	0.01699717	
	2012	12	2	6	269	0.02230483	
	2012	13	1	10	492	0.0203252	
	2012	13	2	9	363	0.02479339	
	2013	10	1	6	243	0.02469136	
	2013	10	2	0	160	0	
	2013	11	1	5	318	0.01572327	
	2013	11	2	3	230	0.01304348	
	2013	12	1	5	387	0.0129199	
	2013	12	2	1	293	0.003412969	
	2013	13	1	11	499	0.02204409	
	2013	13	2	5	352	0.01420455	
	2014	10	1	2	281	0.007117438	
	2014	10	2	0	212	0	
	2014	11	1	2	330	0.006060606	
	2014	11	2	2	219	0.00913242	
	2014	12	1	1	410	0.002439024	
	2014	12	2	3	310	0.009677419	
	2014	13	1	8	513	0.01559454	
	2014	13	2	1	338	0.00295858	
	2015	10	1	2	255	0.007843137	
	2015	10	2	2	209	0.009569378	
	2015	11	1	5	358	0.01396648	
	2015	11	2	1	249	0.004016064	
	2015	12	1	3	458	0.006550218	
	2015	12	2	2	337	0.005934718	
	2015	13	1	7	563	0.01243339	
	2015	13	2	5	429	0.01165501	
	2016	10	1	1	287	0.003484321	
	2016	10	2	2	216	0.009259259	
	2016	11	1	2	357	0.005602241	
	2016	11	2	1	293	0.003412969	
	2016	12	1	5	444	0.01126126	
	2016	12	2	4	365	0.0109589	
	2016	13	1	4	555	0.007207207	
	2016	13	2	2	397	0.005037783	
	2017	10	1	0	278	0	
	2017	10	2	0	186	0	
	2017	11	1	5	340	0.01470588	
	2017	11	2	0	286	0	
	2017	12	1	7	489	0.01431493	
	2017	12	2	0	339	0	
	2017	13	1	10	605	0.01652893	
	2017	13	2	7	468	0.01495726	
	2018	10	1	2	320	0.00625	
	2018	10	2	2	275	0.007272727	
	2018	11	1	3	405	0.007407407	
	2018	11	2	5	302	0.01655629	
	2018	12	1	5	517	0.00967118	
	2018	12	2	0	377	0	
	2018	13	1	8	619	0.01292407	
	2018	13	2	4	540	0.007407407	
	2019	10	1	1	274	0.003649635	
	2019	10	2	2	204	0.009803922	
	2019	11	1	2	399	0.005012531	
	2019	11	2	2	279	0.007168459	
	2019	12	1	3	426	0.007042254	
	2019	12	2	4	387	0.01033592	
	2019	13	1	5	587	0.008517888	
	2019	13	2	4	513	0.007797271	
