
	D1_12_M HD Pneumonie, Alter >84, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP pneumonie, âge >84, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età >84, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	18	1	106	863	0.1228273	
	2008	18	2	60	773	0.07761966	
	2008	19	1	53	346	0.1531792	
	2008	19	2	47	378	0.1243386	
	2008	20	1	8	96	0.08333333	
	2008	20	2	24	128	0.1875	
	2009	18	1	98	948	0.1033755	
	2009	18	2	69	799	0.08635795	
	2009	19	1	55	378	0.1455026	
	2009	19	2	59	466	0.1266094	
	2009	20	1	14	102	0.1372549	
	2009	20	2	23	140	0.1642857	
	2010	18	1	77	834	0.09232614	
	2010	18	2	58	823	0.07047388	
	2010	19	1	41	380	0.1078947	
	2010	19	2	46	395	0.1164557	
	2010	20	1	20	112	0.1785714	
	2010	20	2	19	123	0.1544715	
	2011	18	1	88	898	0.09799555	
	2011	18	2	79	839	0.09415971	
	2011	19	1	44	418	0.1052632	
	2011	19	2	44	442	0.09954751	
	2011	20	1	16	82	0.195122	
	2011	20	2	24	151	0.1589404	
	2012	18	1	92	959	0.09593326	
	2012	18	2	78	920	0.08478261	
	2012	19	1	52	495	0.1050505	
	2012	19	2	42	494	0.08502024	
	2012	20	1	16	109	0.146789	
	2012	20	2	26	159	0.163522	
	2013	18	1	81	1005	0.08059701	
	2013	18	2	69	1015	0.0679803	
	2013	19	1	47	511	0.09197652	
	2013	19	2	53	620	0.08548387	
	2013	20	1	15	111	0.1351351	
	2013	20	2	19	169	0.112426	
	2014	18	1	103	1021	0.1008815	
	2014	18	2	69	1003	0.06879362	
	2014	19	1	46	492	0.09349593	
	2014	19	2	61	573	0.1064572	
	2014	20	1	14	98	0.1428571	
	2014	20	2	17	158	0.1075949	
	2015	18	1	117	1273	0.09190888	
	2015	18	2	96	1238	0.07754443	
	2015	19	1	79	710	0.1112676	
	2015	19	2	71	807	0.08798017	
	2015	20	1	14	135	0.1037037	
	2015	20	2	31	204	0.1519608	
	2016	18	1	91	1180	0.07711864	
	2016	18	2	74	1101	0.06721163	
	2016	19	1	64	560	0.1142857	
	2016	19	2	83	732	0.113388	
	2016	20	1	21	141	0.1489362	
	2016	20	2	19	194	0.09793814	
	2017	18	1	113	1354	0.08345643	
	2017	18	2	90	1367	0.0658376	
	2017	19	1	75	671	0.1117735	
	2017	19	2	74	869	0.08515535	
	2017	20	1	27	177	0.1525424	
	2017	20	2	37	273	0.1355311	
	2018	18	1	122	1437	0.0848991	
	2018	18	2	72	1384	0.05202312	
	2018	19	1	72	742	0.09703504	
	2018	19	2	87	878	0.09908884	
	2018	20	1	15	161	0.0931677	
	2018	20	2	34	273	0.1245421	
	2019	18	1	98	1347	0.07275427	
	2019	18	2	98	1430	0.06853147	
	2019	19	1	84	744	0.1129032	
	2019	19	2	75	901	0.08324084	
	2019	20	1	32	200	0.16	
	2019	20	2	30	291	0.1030928	
