
	D1_13_M HD Aspirationspneumonie, Mortalität // DP pneumonie par aspiration, mortalité // DP polmonite da aspirazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	15	0	
	2008	1	2	0	4	0	
	2008	2	1	0	3	0	
	2008	3	1	0	1	0	
	2008	3	2	0	3	0	
	2008	4	1	0	10	0	
	2008	4	2	0	8	0	
	2008	5	1	1	5	0.2	
	2008	5	2	0	1	0	
	2008	6	1	0	6	0	
	2008	6	2	0	4	0	
	2008	7	1	2	9	0.2222222	
	2008	7	2	1	5	0.2	
	2008	8	1	0	13	0	
	2008	8	2	1	6	0.1666667	
	2008	9	1	0	12	0	
	2008	9	2	0	9	0	
	2008	10	1	1	17	0.05882353	
	2008	10	2	1	8	0.125	
	2008	11	1	5	33	0.1515152	
	2008	11	2	0	8	0	
	2008	12	1	6	35	0.1714286	
	2008	12	2	2	18	0.1111111	
	2008	13	1	15	67	0.2238806	
	2008	13	2	4	25	0.16	
	2008	14	1	21	74	0.2837838	
	2008	14	2	3	25	0.12	
	2008	15	1	20	85	0.2352941	
	2008	15	2	7	27	0.2592593	
	2008	16	1	25	99	0.2525253	
	2008	16	2	8	53	0.1509434	
	2008	17	1	19	106	0.1792453	
	2008	17	2	21	69	0.3043478	
	2008	18	1	36	118	0.3050847	
	2008	18	2	22	70	0.3142857	
	2008	19	1	13	48	0.2708333	
	2008	19	2	13	35	0.3714286	
	2008	20	1	9	21	0.4285714	
	2008	20	2	6	21	0.2857143	
	2009	1	1	0	10	0	
	2009	1	2	0	4	0	
	2009	2	1	0	1	0	
	2009	2	2	1	4	0.25	
	2009	3	1	0	4	0	
	2009	3	2	0	2	0	
	2009	4	1	1	7	0.1428571	
	2009	4	2	1	4	0.25	
	2009	5	1	1	10	0.1	
	2009	5	2	0	2	0	
	2009	6	1	1	10	0.1	
	2009	6	2	0	6	0	
	2009	7	1	1	10	0.1	
	2009	7	2	1	5	0.2	
	2009	8	1	0	8	0	
	2009	8	2	0	5	0	
	2009	9	1	0	17	0	
	2009	9	2	1	12	0.08333333	
	2009	10	1	2	29	0.06896552	
	2009	10	2	1	4	0.25	
	2009	11	1	2	19	0.1052632	
	2009	11	2	0	9	0	
	2009	12	1	5	29	0.1724138	
	2009	12	2	3	22	0.1363636	
	2009	13	1	5	55	0.09090909	
	2009	13	2	2	13	0.1538462	
	2009	14	1	11	67	0.1641791	
	2009	14	2	6	29	0.2068966	
	2009	15	1	22	90	0.2444444	
	2009	15	2	8	38	0.2105263	
	2009	16	1	31	115	0.2695652	
	2009	16	2	10	44	0.2272727	
	2009	17	1	40	149	0.2684564	
	2009	17	2	18	69	0.2608696	
	2009	18	1	28	99	0.2828283	
	2009	18	2	20	82	0.2439024	
	2009	19	1	19	48	0.3958333	
	2009	19	2	8	32	0.25	
	2009	20	1	8	21	0.3809524	
	2009	20	2	6	16	0.375	
	2010	1	1	0	13	0	
	2010	1	2	1	9	0.1111111	
	2010	2	1	1	5	0.2	
	2010	2	2	0	6	0	
	2010	3	1	0	8	0	
	2010	3	2	0	4	0	
	2010	4	1	1	15	0.06666667	
	2010	4	2	0	2	0	
	2010	5	1	1	10	0.1	
	2010	5	2	0	9	0	
	2010	6	1	0	8	0	
	2010	6	2	0	5	0	
	2010	7	1	1	8	0.125	
	2010	7	2	0	5	0	
	2010	8	1	1	11	0.09090909	
	2010	8	2	0	4	0	
	2010	9	1	3	15	0.2	
	2010	9	2	3	10	0.3	
	2010	10	1	0	21	0	
	2010	10	2	0	11	0	
	2010	11	1	1	28	0.03571429	
	2010	11	2	0	9	0	
	2010	12	1	5	39	0.1282051	
	2010	12	2	3	27	0.1111111	
	2010	13	1	14	61	0.2295082	
	2010	13	2	3	31	0.09677419	
	2010	14	1	17	87	0.1954023	
	2010	14	2	8	33	0.2424242	
	2010	15	1	18	94	0.1914894	
	2010	15	2	10	44	0.2272727	
	2010	16	1	35	149	0.2348993	
	2010	16	2	13	64	0.203125	
	2010	17	1	44	146	0.3013699	
	2010	17	2	25	86	0.2906977	
	2010	18	1	52	143	0.3636364	
