
	D2_01_M COPD ohne Tumor (Alter >19), Mortalität // BPCO sans tumeur (âge >19), mortalité // BPCO senza tumore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	3	0	
	2008	6	1	0	1	0	
	2008	6	2	0	2	0	
	2008	7	1	0	3	0	
	2008	7	2	0	6	0	
	2008	8	1	0	14	0	
	2008	8	2	0	16	0	
	2008	9	1	0	28	0	
	2008	9	2	0	39	0	
	2008	10	1	0	47	0	
	2008	10	2	0	73	0	
	2008	11	1	2	88	0.02272727	
	2008	11	2	1	99	0.01010101	
	2008	12	1	2	184	0.01086957	
	2008	12	2	2	178	0.01123596	
	2008	13	1	9	372	0.02419355	
	2008	13	2	7	274	0.02554745	
	2008	14	1	10	451	0.02217295	
	2008	14	2	5	337	0.0148368	
	2008	15	1	33	624	0.05288462	
	2008	15	2	16	381	0.04199475	
	2008	16	1	31	618	0.05016181	
	2008	16	2	19	444	0.04279279	
	2008	17	1	39	572	0.06818182	
	2008	17	2	18	398	0.04522613	
	2008	18	1	16	278	0.05755396	
	2008	18	2	9	223	0.04035874	
	2008	19	1	4	61	0.06557377	
	2008	19	2	5	71	0.07042254	
	2008	20	1	2	12	0.1666667	
	2008	20	2	1	12	0.08333333	
	2009	5	1	0	2	0	
	2009	5	2	0	6	0	
	2009	6	1	0	2	0	
	2009	6	2	0	1	0	
	2009	7	1	0	5	0	
	2009	7	2	0	6	0	
	2009	8	1	1	10	0.1	
	2009	8	2	0	4	0	
	2009	9	1	0	40	0	
	2009	9	2	0	29	0	
	2009	10	1	0	49	0	
	2009	10	2	0	63	0	
	2009	11	1	2	101	0.01980198	
	2009	11	2	1	114	0.00877193	
	2009	12	1	2	216	0.009259259	
	2009	12	2	5	208	0.02403846	
	2009	13	1	8	384	0.02083333	
	2009	13	2	4	297	0.01346801	
	2009	14	1	11	460	0.02391304	
	2009	14	2	10	360	0.02777778	
	2009	15	1	23	563	0.04085258	
	2009	15	2	16	368	0.04347826	
	2009	16	1	33	663	0.04977376	
	2009	16	2	16	445	0.03595506	
	2009	17	1	37	554	0.066787	
	2009	17	2	14	362	0.03867403	
	2009	18	1	21	300	0.07	
	2009	18	2	19	265	0.07169811	
	2009	19	1	3	85	0.03529412	
	2009	19	2	4	61	0.06557377	
	2009	20	1	0	7	0	
	2009	20	2	2	10	0.2	
	2010	5	1	0	7	0	
	2010	6	1	0	1	0	
	2010	6	2	0	4	0	
	2010	7	1	0	4	0	
	2010	7	2	0	2	0	
	2010	8	1	0	20	0	
	2010	8	2	0	5	0	
	2010	9	1	0	32	0	
	2010	9	2	0	22	0	
	2010	10	1	0	58	0	
	2010	10	2	0	62	0	
	2010	11	1	0	141	0	
	2010	11	2	0	131	0	
	2010	12	1	2	227	0.008810573	
	2010	12	2	1	212	0.004716981	
	2010	13	1	10	364	0.02747253	
	2010	13	2	7	363	0.01928375	
	2010	14	1	14	531	0.02636535	
	2010	14	2	8	389	0.02056555	
	2010	15	1	19	497	0.03822938	
	2010	15	2	10	376	0.02659574	
	2010	16	1	30	695	0.04316547	
	2010	16	2	14	445	0.03146067	
	2010	17	1	25	569	0.04393673	
	2010	17	2	15	459	0.03267974	
	2010	18	1	21	297	0.07070707	
	2010	18	2	9	244	0.03688525	
	2010	19	1	11	74	0.1486486	
	2010	19	2	10	72	0.1388889	
	2010	20	1	0	11	0	
	2010	20	2	2	13	0.1538462	
	2011	5	1	0	4	0	
	2011	5	2	0	4	0	
	2011	6	1	0	1	0	
	2011	6	2	0	6	0	
	2011	7	1	0	4	0	
	2011	7	2	0	3	0	
	2011	8	1	0	15	0	
	2011	8	2	0	14	0	
	2011	9	1	0	34	0	
	2011	9	2	0	32	0	
	2011	10	1	2	77	0.02597403	
	2011	10	2	0	58	0	
	2011	11	1	1	140	0.007142857	
	2011	11	2	3	140	0.02142857	
	2011	12	1	3	230	0.01304348	
	2011	12	2	3	200	0.015	
	2011	13	1	6	393	0.01526718	
	2011	13	2	3	303	0.00990099	
	2011	14	1	18	543	0.03314917	
	2011	14	2	13	437	0.02974828	
	2011	15	1	17	567	0.02998236	
	2011	15	2	13	410	0.03170732	
	2011	16	1	32	666	0.04804805	
	2011	16	2	17	497	0.03420523	
	2011	17	1	32	569	0.05623902	
	2011	17	2	17	436	0.03899083	
	2011	18	1	15	336	0.04464286	
	2011	18	2	18	264	0.06818182	
	2011	19	1	8	87	0.09195402	
	2011	19	2	4	77	0.05194805	
	2011	20	1	1	9	0.1111111	
	2011	20	2	2	22	0.09090909	
	2012	5	2	0	4	0	
	2012	6	1	0	2	0	
	2012	7	1	0	5	0	
	2012	7	2	0	7	0	
	2012	8	1	0	16	0	
	2012	8	2	0	3	0	
	2012	9	1	0	41	0	
	2012	9	2	0	26	0	
	2012	10	1	1	74	0.01351351	
	2012	10	2	0	78	0	
	2012	11	1	1	174	0.005747126	
	2012	11	2	1	152	0.006578947	
	2012	12	1	2	285	0.007017544	
	2012	12	2	0	253	0	
	2012	13	1	9	415	0.02168675	
	2012	13	2	16	378	0.04232804	
	2012	14	1	17	662	0.02567976	
	2012	14	2	21	536	0.0391791	
	2012	15	1	33	684	0.04824561	
	2012	15	2	21	505	0.04158416	
	2012	16	1	35	674	0.05192878	
	2012	16	2	29	517	0.05609284	
	2012	17	1	31	614	0.0504886	
	2012	17	2	25	482	0.05186722	
	2012	18	1	31	369	0.08401084	
	2012	18	2	18	258	0.06976744	
	2012	19	1	12	106	0.1132075	
	2012	19	2	1	78	0.01282051	
	2012	20	1	0	11	0	
	2012	20	2	4	17	0.2352941	
	2013	5	2	0	3	0	
	2013	6	1	0	4	0	
	2013	6	2	0	3	0	
	2013	7	2	0	4	0	
	2013	8	1	1	12	0.08333333	
	2013	8	2	0	17	0	
	2013	9	1	1	55	0.01818182	
	2013	9	2	0	20	0	
	2013	10	1	1	80	0.0125	
	2013	10	2	0	73	0	
	2013	11	1	2	190	0.01052632	
	2013	11	2	4	180	0.02222222	
	2013	12	1	3	341	0.008797654	
	2013	12	2	5	323	0.01547988	
	2013	13	1	7	479	0.01461378	
	2013	13	2	6	444	0.01351351	
	2013	14	1	33	676	0.04881657	
	2013	14	2	19	597	0.0318258	
	2013	15	1	31	707	0.04384724	
	2013	15	2	19	598	0.03177258	
	2013	16	1	37	735	0.05034014	
	2013	16	2	16	575	0.02782609	
	2013	17	1	45	659	0.06828528	
	2013	17	2	30	516	0.05813953	
	2013	18	1	25	357	0.07002801	
	2013	18	2	17	306	0.05555556	
	2013	19	1	12	101	0.1188119	
	2013	19	2	11	97	0.1134021	
	2013	20	1	1	11	0.09090909	
	2013	20	2	0	13	0	
	2014	5	2	0	3	0	
	2014	6	1	0	2	0	
	2014	6	2	0	2	0	
	2014	7	1	0	11	0	
	2014	7	2	0	6	0	
	2014	8	1	0	13	0	
	2014	8	2	0	8	0	
	2014	9	1	0	33	0	
	2014	9	2	0	23	0	
	2014	10	1	1	90	0.01111111	
	2014	10	2	1	89	0.01123596	
	2014	11	1	1	211	0.004739336	
	2014	11	2	0	161	0	
	2014	12	1	4	272	0.01470588	
	2014	12	2	2	268	0.007462687	
	2014	13	1	12	463	0.02591793	
	2014	13	2	15	426	0.03521127	
	2014	14	1	17	594	0.02861953	
	2014	14	2	16	554	0.02888087	
	2014	15	1	33	767	0.04302477	
	2014	15	2	32	659	0.04855842	
	2014	16	1	42	721	0.05825243	
	2014	16	2	25	590	0.04237288	
	2014	17	1	36	621	0.05797101	
	2014	17	2	31	546	0.05677656	
	2014	18	1	33	318	0.1037736	
	2014	18	2	18	318	0.05660377	
	2014	19	1	5	99	0.05050505	
	2014	19	2	7	92	0.07608696	
	2014	20	1	0	13	0	
	2014	20	2	2	16	0.125	
	2015	5	1	0	1	0	
	2015	5	2	0	2	0	
	2015	6	1	0	2	0	
	2015	6	2	0	3	0	
	2015	7	1	0	12	0	
	2015	7	2	0	3	0	
	2015	8	1	0	12	0	
	2015	8	2	0	8	0	
	2015	9	1	1	44	0.02272727	
	2015	9	2	0	24	0	
	2015	10	1	1	87	0.01149425	
	2015	10	2	0	68	0	
	2015	11	1	1	178	0.005617978	
	2015	11	2	1	183	0.005464481	
	2015	12	1	6	335	0.01791045	
	2015	12	2	4	336	0.01190476	
	2015	13	1	12	517	0.02321083	
	2015	13	2	12	455	0.02637363	
	2015	14	1	17	644	0.02639752	
	2015	14	2	23	580	0.03965517	
	2015	15	1	25	833	0.030012	
	2015	15	2	30	821	0.0365408	
	2015	16	1	35	783	0.04469987	
	2015	16	2	40	619	0.06462036	
	2015	17	1	33	698	0.04727794	
	2015	17	2	39	636	0.06132075	
	2015	18	1	26	370	0.07027027	
	2015	18	2	22	381	0.05774278	
	2015	19	1	13	142	0.0915493	
	2015	19	2	9	119	0.07563025	
	2015	20	1	2	22	0.09090909	
	2015	20	2	0	23	0	
	2016	6	1	0	2	0	
	2016	7	1	0	2	0	
	2016	8	1	0	6	0	
	2016	8	2	0	10	0	
	2016	9	1	0	31	0	
	2016	9	2	0	18	0	
	2016	10	1	1	106	0.009433962	
	2016	10	2	0	71	0	
	2016	11	1	3	173	0.01734104	
	2016	11	2	2	162	0.01234568	
	2016	12	1	2	336	0.005952381	
	2016	12	2	7	371	0.01886792	
	2016	13	1	18	532	0.03383459	
	2016	13	2	11	450	0.02444444	
	2016	14	1	24	659	0.03641882	
	2016	14	2	13	721	0.01803051	
	2016	15	1	27	874	0.03089245	
	2016	15	2	16	757	0.02113606	
	2016	16	1	39	823	0.04738761	
	2016	16	2	19	637	0.02982732	
	2016	17	1	34	694	0.04899135	
	2016	17	2	29	551	0.05263158	
	2016	18	1	30	403	0.07444169	
	2016	18	2	22	314	0.07006369	
	2016	19	1	9	110	0.08181818	
	2016	19	2	8	116	0.06896552	
	2016	20	1	1	15	0.06666667	
	2016	20	2	2	19	0.1052632	
	2017	5	1	0	1	0	
	2017	5	2	0	6	0	
	2017	6	1	0	4	0	
	2017	6	2	0	2	0	
	2017	7	1	0	10	0	
	2017	7	2	0	4	0	
	2017	8	1	0	10	0	
	2017	8	2	0	5	0	
	2017	9	1	0	33	0	
	2017	9	2	0	20	0	
	2017	10	1	1	73	0.01369863	
	2017	10	2	3	58	0.05172414	
	2017	11	1	1	173	0.005780347	
	2017	11	2	1	147	0.006802721	
	2017	12	1	2	371	0.005390836	
	2017	12	2	6	325	0.01846154	
	2017	13	1	14	523	0.02676864	
	2017	13	2	11	482	0.02282158	
	2017	14	1	17	658	0.02583587	
	2017	14	2	24	701	0.0342368	
	2017	15	1	48	968	0.04958678	
	2017	15	2	24	868	0.02764977	
	2017	16	1	44	889	0.04949381	
	2017	16	2	38	814	0.04668305	
	2017	17	1	41	745	0.05503356	
