
	D2_01_M COPD ohne Tumor (Alter >19), Mortalität // BPCO sans tumeur (âge >19), mortalité // BPCO senza tumore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	231	5909	3.909291	
	2009	232	6040	3.84106	
	2010	208	6327	3.287498	
	2011	228	6578	3.466099	
	2012	308	7426	4.14759	
	2013	326	8176	3.98728	
	2014	333	7989	4.168231	
	2015	352	8941	3.93692	
	2016	317	8963	3.536762	
	2017	380	9599	3.958746	
	2018	331	9688	3.416598	
	2019	360	10092	3.567182	
