
	D2_02_M COPD ohne Tumor mit FEV1 <35% (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 <35 % (âge >19), mortalité // BPCO senza tumore con VEMS1 <35 % (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	5	1	0	1	0	
	2009	5	2	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	1	2	0.5	
	2009	8	2	0	1	0	
	2009	9	1	0	6	0	
	2009	9	2	0	3	0	
	2009	10	1	0	3	0	
	2009	10	2	0	8	0	
	2009	11	1	0	11	0	
	2009	11	2	1	10	0.1	
	2009	12	1	0	32	0	
	2009	12	2	1	35	0.02857143	
	2009	13	1	5	83	0.06024096	
	2009	13	2	0	47	0	
	2009	14	1	4	93	0.04301075	
	2009	14	2	5	50	0.1	
	2009	15	1	9	88	0.1022727	
	2009	15	2	3	32	0.09375	
	2009	16	1	10	76	0.1315789	
	2009	16	2	4	39	0.1025641	
	2009	17	1	2	45	0.04444444	
	2009	17	2	3	22	0.1363636	
	2009	18	1	3	28	0.1071429	
	2009	18	2	1	15	0.06666667	
	2009	19	1	0	3	0	
	2009	19	2	1	5	0.2	
	2010	5	1	0	4	0	
	2010	8	1	0	4	0	
	2010	8	2	0	1	0	
	2010	9	1	0	9	0	
	2010	9	2	0	4	0	
	2010	10	1	0	10	0	
	2010	10	2	0	18	0	
	2010	11	1	0	25	0	
	2010	11	2	0	37	0	
	2010	12	1	1	58	0.01724138	
	2010	12	2	1	61	0.01639344	
	2010	13	1	4	113	0.03539823	
	2010	13	2	1	87	0.01149425	
	2010	14	1	9	156	0.05769231	
	2010	14	2	4	92	0.04347826	
	2010	15	1	10	124	0.08064516	
	2010	15	2	7	67	0.1044776	
	2010	16	1	12	133	0.09022556	
	2010	16	2	5	53	0.09433962	
	2010	17	1	5	68	0.07352941	
	2010	17	2	6	54	0.1111111	
	2010	18	1	2	22	0.09090909	
	2010	18	2	2	15	0.1333333	
	2010	19	1	0	5	0	
	2011	5	1	0	1	0	
	2011	7	1	0	1	0	
	2011	8	1	0	4	0	
	2011	8	2	0	1	0	
	2011	9	1	0	7	0	
	2011	9	2	0	3	0	
	2011	10	1	0	24	0	
	2011	10	2	0	27	0	
	2011	11	1	0	34	0	
	2011	11	2	1	39	0.02564103	
	2011	12	1	1	75	0.01333333	
	2011	12	2	1	68	0.01470588	
	2011	13	1	1	134	0.007462687	
	2011	13	2	2	101	0.01980198	
	2011	14	1	11	184	0.05978261	
	2011	14	2	6	128	0.046875	
	2011	15	1	8	162	0.04938272	
	2011	15	2	6	71	0.08450704	
	2011	16	1	19	155	0.1225806	
	2011	16	2	4	65	0.06153846	
	2011	17	1	11	79	0.1392405	
	2011	17	2	5	42	0.1190476	
	2011	18	1	3	35	0.08571429	
	2011	18	2	4	16	0.25	
	2011	19	1	1	7	0.1428571	
	2011	19	2	2	6	0.3333333	
	2011	20	1	1	1	1	
	2012	5	2	0	1	0	
	2012	7	1	0	3	0	
	2012	7	2	0	1	0	
	2012	8	1	0	2	0	
	2012	9	1	0	9	0	
	2012	9	2	0	6	0	
	2012	10	1	1	14	0.07142857	
	2012	10	2	0	39	0	
	2012	11	1	1	49	0.02040816	
	2012	11	2	1	46	0.02173913	
	2012	12	1	0	106	0	
	2012	12	2	0	89	0	
	2012	13	1	5	155	0.03225806	
	2012	13	2	13	138	0.0942029	
	2012	14	1	12	247	0.048583	
	2012	14	2	16	186	0.08602151	
	2012	15	1	20	215	0.09302326	
	2012	15	2	8	128	0.0625	
	2012	16	1	18	183	0.09836066	
	2012	16	2	11	82	0.1341463	
	2012	17	1	17	114	0.1491228	
	2012	17	2	7	62	0.1129032	
	2012	18	1	8	62	0.1290323	
	2012	18	2	4	25	0.16	
	2012	19	1	4	9	0.4444444	
	2012	19	2	0	6	0	
	2012	20	1	0	4	0	
	2013	5	2	0	1	0	
	2013	8	1	1	1	1	
	2013	9	1	1	17	0.05882353	
	2013	9	2	0	3	0	
	2013	10	1	1	24	0.04166667	
	2013	10	2	0	38	0	
	2013	11	1	1	59	0.01694915	
	2013	11	2	2	60	0.03333333	
	2013	12	1	3	123	0.02439024	
	2013	12	2	4	128	0.03125	
	2013	13	1	5	184	0.02717391	
	2013	13	2	6	155	0.03870968	
	2013	14	1	19	285	0.06666667	
	2013	14	2	14	218	0.06422018	
	2013	15	1	17	249	0.06827309	
	2013	15	2	7	177	0.03954802	
	2013	16	1	17	178	0.09550562	
	2013	16	2	6	112	0.05357143	
	2013	17	1	15	114	0.1315789	
	2013	17	2	9	77	0.1168831	
	2013	18	1	7	61	0.1147541	
	2013	18	2	5	28	0.1785714	
	2013	19	1	1	6	0.1666667	
	2013	19	2	3	8	0.375	
	2013	20	2	0	1	0	
	2014	7	2	0	2	0	
	2014	8	1	0	4	0	
	2014	9	1	0	11	0	
	2014	9	2	0	1	0	
	2014	10	1	0	36	0	
	2014	10	2	1	37	0.02702703	
	2014	11	1	1	67	0.01492537	
	2014	11	2	0	51	0	
	2014	12	1	1	105	0.00952381	
	2014	12	2	2	118	0.01694915	
	2014	13	1	7	172	0.04069767	
	2014	13	2	10	172	0.05813953	
	2014	14	1	10	222	0.04504505	
	2014	14	2	8	206	0.03883495	
	2014	15	1	22	273	0.08058608	
	2014	15	2	18	188	0.09574468	
	2014	16	1	23	182	0.1263736	
	2014	16	2	13	121	0.107438	
	2014	17	1	13	117	0.1111111	
	2014	17	2	14	99	0.1414141	
	2014	18	1	9	39	0.2307692	
	2014	18	2	5	36	0.1388889	
	2014	19	1	0	6	0	
	2014	19	2	1	6	0.1666667	
	2014	20	1	0	1	0	
	2014	20	2	1	1	1	
	2015	6	1	0	1	0	
	2015	7	1	0	1	0	
	2015	8	1	0	2	0	
	2015	8	2	0	1	0	
	2015	9	1	1	9	0.1111111	
	2015	9	2	0	8	0	
	2015	10	1	1	24	0.04166667	
	2015	10	2	0	17	0	
	2015	11	1	1	46	0.02173913	
	2015	11	2	1	46	0.02173913	
	2015	12	1	5	118	0.04237288	
	2015	12	2	3	112	0.02678571	
	2015	13	1	6	189	0.03174603	
	2015	13	2	9	185	0.04864865	
	2015	14	1	10	198	0.05050505	
	2015	14	2	13	184	0.07065217	
	2015	15	1	20	280	0.07142857	
	2015	15	2	18	205	0.08780488	
	2015	16	1	16	201	0.07960199	
	2015	16	2	15	119	0.1260504	
	2015	17	1	9	109	0.08256881	
	2015	17	2	13	85	0.1529412	
	2015	18	1	6	36	0.1666667	
	2015	18	2	2	39	0.05128205	
	2015	19	1	1	11	0.09090909	
	2015	19	2	2	9	0.2222222	
	2015	20	1	0	6	0	
	2015	20	2	0	1	0	
	2016	6	1	0	1	0	
	2016	8	1	0	1	0	
	2016	8	2	0	1	0	
	2016	9	1	0	14	0	
	2016	9	2	0	2	0	
	2016	10	1	1	39	0.02564103	
	2016	10	2	0	17	0	
	2016	11	1	1	56	0.01785714	
	2016	11	2	2	62	0.03225806	
	2016	12	1	1	115	0.008695652	
	2016	12	2	5	145	0.03448276	
	2016	13	1	10	200	0.05	
	2016	13	2	7	161	0.04347826	
	2016	14	1	15	233	0.06437768	
	2016	14	2	9	250	0.036	
	2016	15	1	16	316	0.05063291	
	2016	15	2	8	201	0.039801	
	2016	16	1	23	224	0.1026786	
	2016	16	2	5	119	0.04201681	
	2016	17	1	8	128	0.0625	
	2016	17	2	13	86	0.1511628	
	2016	18	1	6	49	0.122449	
	2016	18	2	6	30	0.2	
	2016	19	1	2	12	0.1666667	
	2016	19	2	0	1	0	
	2016	20	1	0	2	0	
	2017	6	1	0	2	0	
	2017	6	2	0	1	0	
	2017	7	1	0	3	0	
	2017	8	1	0	3	0	
	2017	9	1	0	13	0	
	2017	9	2	0	4	0	
	2017	10	1	1	23	0.04347826	
	2017	10	2	2	19	0.1052632	
	2017	11	1	1	45	0.02222222	
	2017	11	2	1	65	0.01538462	
	2017	12	1	2	139	0.01438849	
	2017	12	2	4	134	0.02985075	
	2017	13	1	9	186	0.0483871	
	2017	13	2	6	178	0.03370787	
	2017	14	1	11	219	0.05022831	
	2017	14	2	20	235	0.08510638	
	2017	15	1	28	340	0.08235294	
	2017	15	2	19	261	0.07279693	
	2017	16	1	19	218	0.08715596	
	2017	16	2	15	176	0.08522727	
	2017	17	1	15	137	0.1094891	
	2017	17	2	12	99	0.1212121	
	2017	18	1	2	41	0.04878049	
	2017	18	2	6	43	0.1395349	
	2017	19	1	2	13	0.1538462	
	2017	19	2	0	6	0	
	2017	20	2	0	1	0	
	2018	7	1	0	3	0	
	2018	8	1	0	2	0	
	2018	9	1	0	16	0	
	2018	10	1	0	17	0	
	2018	10	2	0	10	0	
	2018	11	1	3	55	0.05454545	
	2018	11	2	0	58	0	
	2018	12	1	3	150	0.02	
	2018	12	2	2	102	0.01960784	
	2018	13	1	4	217	0.01843318	
	2018	13	2	7	197	0.03553299	
	2018	14	1	13	232	0.05603448	
	2018	14	2	12	226	0.05309735	
	2018	15	1	22	301	0.0730897	
	2018	15	2	14	279	0.05017921	
	2018	16	1	15	221	0.0678733	
	2018	16	2	13	181	0.0718232	
	2018	17	1	7	124	0.05645161	
	2018	17	2	10	101	0.0990099	
	2018	18	1	11	65	0.1692308	
	2018	18	2	5	35	0.1428571	
	2018	19	1	0	7	0	
	2018	19	2	1	7	0.1428571	
	2018	20	1	0	1	0	
	2018	20	2	0	2	0	
	2019	6	2	0	2	0	
	2019	7	1	0	2	0	
	2019	8	1	0	6	0	
	2019	8	2	0	2	0	
	2019	9	1	0	7	0	
	2019	9	2	0	7	0	
	2019	10	1	1	29	0.03448276	
	2019	10	2	0	16	0	
	2019	11	1	0	49	0	
	2019	11	2	3	65	0.04615385	
	2019	12	1	5	145	0.03448276	
	2019	12	2	4	126	0.03174603	
	2019	13	1	8	206	0.03883495	
	2019	13	2	9	187	0.04812834	
	2019	14	1	13	250	0.052	
	2019	14	2	13	225	0.05777778	
	2019	15	1	25	308	0.08116883	
	2019	15	2	21	289	0.07266436	
	2019	16	1	22	243	0.09053498	
	2019	16	2	18	200	0.09	
	2019	17	1	9	102	0.08823529	
