
	D2_03_M COPD ohne Tumor mit FEV1 35-49% (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 35-49 % (âge >19), mortalité // BPCO senza tumore con VEMS1 35-49 % (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	7	2	0	2	0	
	2009	8	1	0	1	0	
	2009	9	1	0	4	0	
	2009	9	2	0	3	0	
	2009	10	1	0	6	0	
	2009	10	2	0	5	0	
	2009	11	1	0	11	0	
	2009	11	2	0	10	0	
	2009	12	1	0	22	0	
	2009	12	2	0	25	0	
	2009	13	1	0	33	0	
	2009	13	2	1	39	0.02564103	
	2009	14	1	1	53	0.01886792	
	2009	14	2	1	37	0.02702703	
	2009	15	1	0	63	0	
	2009	15	2	2	37	0.05405405	
	2009	16	1	2	81	0.02469136	
	2009	16	2	1	48	0.02083333	
	2009	17	1	3	45	0.06666667	
	2009	17	2	2	42	0.04761905	
	2009	18	1	1	31	0.03225806	
	2009	18	2	1	20	0.05	
	2009	19	1	0	3	0	
	2009	19	2	0	2	0	
	2009	20	1	0	1	0	
	2009	20	2	0	1	0	
	2010	5	1	0	1	0	
	2010	7	1	0	1	0	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	9	0	
	2010	9	2	0	1	0	
	2010	10	1	0	7	0	
	2010	10	2	0	11	0	
	2010	11	1	0	37	0	
	2010	11	2	0	20	0	
	2010	12	1	0	45	0	
	2010	12	2	0	42	0	
	2010	13	1	1	55	0.01818182	
	2010	13	2	0	85	0	
	2010	14	1	2	120	0.01666667	
	2010	14	2	0	80	0	
	2010	15	1	2	100	0.02	
	2010	15	2	1	67	0.01492537	
	2010	16	1	3	141	0.0212766	
	2010	16	2	2	94	0.0212766	
	2010	17	1	1	118	0.008474576	
	2010	17	2	1	60	0.01666667	
	2010	18	1	3	36	0.08333333	
	2010	18	2	2	21	0.0952381	
	2010	19	1	1	17	0.05882353	
	2010	19	2	1	8	0.125	
	2010	20	1	0	1	0	
	2011	5	2	0	2	0	
	2011	6	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	2	0	
	2011	9	1	0	4	0	
	2011	9	2	0	3	0	
	2011	10	1	0	12	0	
	2011	10	2	0	8	0	
	2011	11	1	0	25	0	
	2011	11	2	1	24	0.04166667	
	2011	12	1	0	48	0	
	2011	12	2	1	43	0.02325581	
	2011	13	1	1	78	0.01282051	
	2011	13	2	0	68	0	
	2011	14	1	2	114	0.01754386	
	2011	14	2	5	114	0.04385965	
	2011	15	1	1	129	0.007751938	
	2011	15	2	1	89	0.01123596	
	2011	16	1	5	141	0.03546099	
	2011	16	2	5	114	0.04385965	
	2011	17	1	7	127	0.05511811	
	2011	17	2	4	83	0.04819277	
	2011	18	1	4	60	0.06666667	
	2011	18	2	1	36	0.02777778	
	2011	19	1	1	7	0.1428571	
	2011	19	2	0	4	0	
	2011	20	1	0	1	0	
	2011	20	2	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	4	0	
	2012	9	1	0	6	0	
	2012	9	2	0	7	0	
	2012	10	1	0	17	0	
	2012	10	2	0	11	0	
	2012	11	1	0	34	0	
	2012	11	2	0	34	0	
	2012	12	1	1	61	0.01639344	
	2012	12	2	0	67	0	
	2012	13	1	3	101	0.02970297	
	2012	13	2	1	86	0.01162791	
	2012	14	1	2	159	0.01257862	
	2012	14	2	1	135	0.007407407	
	2012	15	1	5	182	0.02747253	
	2012	15	2	6	122	0.04918033	
	2012	16	1	6	177	0.03389831	
	2012	16	2	8	139	0.05755396	
	2012	17	1	5	148	0.03378378	
	2012	17	2	5	92	0.05434783	
	2012	18	1	6	72	0.08333333	
	2012	18	2	2	33	0.06060606	
	2012	19	1	0	15	0	
	2012	19	2	0	5	0	
	2012	20	2	1	2	0.5	
	2013	5	2	0	2	0	
	2013	6	2	0	1	0	
	2013	8	1	0	2	0	
	2013	9	1	0	5	0	
	2013	9	2	0	5	0	
	2013	10	1	0	11	0	
	2013	10	2	0	9	0	
	2013	11	1	0	57	0	
	2013	11	2	1	44	0.02272727	
	2013	12	1	0	89	0	
	2013	12	2	0	85	0	
	2013	13	1	1	108	0.009259259	
	2013	13	2	0	104	0	
	2013	14	1	5	137	0.03649635	
	2013	14	2	1	133	0.007518797	
	2013	15	1	7	196	0.03571429	
	2013	15	2	3	160	0.01875	
	2013	16	1	11	197	0.05583756	
	2013	16	2	3	171	0.01754386	
	2013	17	1	13	201	0.06467662	
	2013	17	2	4	106	0.03773585	
	2013	18	1	4	72	0.05555556	
	2013	18	2	2	49	0.04081633	
	2013	19	1	1	17	0.05882353	
	2013	19	2	2	7	0.2857143	
	2013	20	1	0	3	0	
	2013	20	2	0	1	0	
	2014	7	1	0	6	0	
	2014	8	1	0	2	0	
	2014	9	1	0	10	0	
	2014	9	2	0	5	0	
	2014	10	1	1	12	0.08333333	
	2014	10	2	0	14	0	
	2014	11	1	0	58	0	
	2014	11	2	0	39	0	
	2014	12	1	1	68	0.01470588	
	2014	12	2	0	61	0	
	2014	13	1	2	123	0.01626016	
	2014	13	2	2	99	0.02020202	
	2014	14	1	2	138	0.01449275	
	2014	14	2	4	157	0.02547771	
	2014	15	1	5	205	0.02439024	
	2014	15	2	5	204	0.0245098	
	2014	16	1	10	238	0.04201681	
	2014	16	2	8	179	0.04469274	
	2014	17	1	8	170	0.04705882	
	2014	17	2	7	120	0.05833333	
	2014	18	1	8	97	0.08247423	
	2014	18	2	2	57	0.03508772	
	2014	19	1	0	22	0	
	2014	19	2	2	15	0.1333333	
	2014	20	1	0	1	0	
	2014	20	2	0	1	0	
	2015	6	2	0	1	0	
	2015	7	1	0	3	0	
	2015	7	2	0	2	0	
	2015	8	1	0	2	0	
	2015	8	2	0	2	0	
	2015	9	1	0	14	0	
	2015	9	2	0	1	0	
	2015	10	1	0	15	0	
	2015	10	2	0	11	0	
	2015	11	1	0	56	0	
	2015	11	2	0	45	0	
	2015	12	1	0	105	0	
	2015	12	2	0	82	0	
	2015	13	1	4	130	0.03076923	
	2015	13	2	1	113	0.008849558	
	2015	14	1	4	180	0.02222222	
	2015	14	2	5	189	0.02645503	
	2015	15	1	2	245	0.008163265	
	2015	15	2	9	267	0.03370787	
	2015	16	1	10	224	0.04464286	
	2015	16	2	6	173	0.03468208	
	2015	17	1	2	194	0.01030928	
	2015	17	2	10	163	0.06134969	
	2015	18	1	7	82	0.08536585	
	2015	18	2	3	81	0.03703704	
	2015	19	1	3	26	0.1153846	
	2015	19	2	0	11	0	
	2015	20	1	1	3	0.3333333	
	2016	6	1	0	1	0	
	2016	8	1	0	1	0	
	2016	8	2	0	1	0	
	2016	9	1	0	2	0	
	2016	9	2	0	4	0	
	2016	10	1	0	26	0	
	2016	10	2	0	20	0	
	2016	11	1	1	45	0.02222222	
	2016	11	2	0	35	0	
	2016	12	1	1	98	0.01020408	
	2016	12	2	1	94	0.0106383	
	2016	13	1	2	123	0.01626016	
	2016	13	2	1	117	0.008547009	
	2016	14	1	6	190	0.03157895	
	2016	14	2	3	213	0.01408451	
	2016	15	1	4	234	0.01709402	
	2016	15	2	3	253	0.01185771	
	2016	16	1	10	268	0.03731343	
	2016	16	2	7	214	0.03271028	
	2016	17	1	10	198	0.05050505	
	2016	17	2	11	139	0.07913669	
	2016	18	1	8	110	0.07272727	
	2016	18	2	3	52	0.05769231	
	2016	19	1	2	22	0.09090909	
	2016	19	2	1	20	0.05	
	2016	20	1	0	2	0	
	2016	20	2	0	2	0	
	2017	5	1	0	1	0	
	2017	7	2	0	1	0	
	2017	8	1	0	3	0	
	2017	9	1	0	6	0	
	2017	9	2	0	5	0	
	2017	10	1	0	18	0	
	2017	10	2	0	11	0	
	2017	11	1	0	45	0	
	2017	11	2	0	19	0	
	2017	12	1	0	97	0	
	2017	12	2	1	78	0.01282051	
	2017	13	1	3	176	0.01704545	
	2017	13	2	4	112	0.03571429	
	2017	14	1	5	214	0.02336449	
	2017	14	2	3	208	0.01442308	
	2017	15	1	8	287	0.02787456	
	2017	15	2	1	275	0.003636364	
	2017	16	1	15	307	0.04885993	
	2017	16	2	10	250	0.04	
	2017	17	1	9	231	0.03896104	
	2017	17	2	8	163	0.04907975	
	2017	18	1	5	91	0.05494505	
	2017	18	2	5	90	0.05555556	
	2017	19	1	2	28	0.07142857	
	2017	19	2	2	20	0.1	
	2017	20	1	0	7	0	
	2017	20	2	0	2	0	
	2018	5	1	0	1	0	
	2018	7	1	0	1	0	
	2018	8	1	0	1	0	
	2018	8	2	0	2	0	
	2018	9	1	0	5	0	
	2018	9	2	0	3	0	
	2018	10	1	1	21	0.04761905	
	2018	10	2	0	7	0	
	2018	11	1	0	63	0	
	2018	11	2	0	22	0	
	2018	12	1	1	98	0.01020408	
	2018	12	2	2	100	0.02	
	2018	13	1	3	183	0.01639344	
	2018	13	2	0	136	0	
	2018	14	1	4	186	0.02150538	
	2018	14	2	6	225	0.02666667	
	2018	15	1	6	298	0.02013423	
	2018	15	2	5	257	0.01945525	
	2018	16	1	8	300	0.02666667	
	2018	16	2	6	282	0.0212766	
	2018	17	1	10	217	0.04608295	
	2018	17	2	8	158	0.05063291	
	2018	18	1	9	107	0.08411215	
	2018	18	2	5	74	0.06756757	
	2018	19	1	0	23	0	
	2018	19	2	1	12	0.08333333	
	2018	20	1	0	1	0	
	2018	20	2	0	3	0	
	2019	9	1	0	10	0	
	2019	9	2	0	4	0	
	2019	10	1	0	23	0	
	2019	10	2	1	13	0.07692308	
	2019	11	1	0	82	0	
	2019	11	2	0	36	0	
	2019	12	1	0	119	0	
	2019	12	2	0	91	0	
	2019	13	1	1	168	0.005952381	
	2019	13	2	2	160	0.0125	
	2019	14	1	6	230	0.02608696	
	2019	14	2	4	212	0.01886792	
	2019	15	1	4	315	0.01269841	
	2019	15	2	5	302	0.01655629	
	2019	16	1	11	314	0.03503185	
	2019	16	2	8	316	0.02531646	
	2019	17	1	8	201	0.039801	
	2019	17	2	12	175	0.06857143	
	2019	18	1	4	114	0.03508772	
	2019	18	2	3	99	0.03030303	
	2019	19	1	4	18	0.2222222	
	2019	19	2	3	24	0.125	
	2019	20	1	1	9	0.1111111	
	2019	20	2	0	5	0	
