
	D2_05_M COPD ohne Tumor mit FEV1 >69% (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 >69 % (âge >19), mortalité // BPCO senza tumore con VEMS1 >69 % (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	7	1	0	1	0	
	2009	8	1	0	1	0	
	2009	8	2	0	1	0	
	2009	9	1	0	1	0	
	2009	10	1	0	3	0	
	2009	10	2	0	1	0	
	2009	11	1	0	5	0	
	2009	11	2	0	4	0	
	2009	12	1	0	3	0	
	2009	12	2	0	7	0	
	2009	13	1	0	8	0	
	2009	13	2	0	7	0	
	2009	14	1	1	12	0.08333333	
	2009	14	2	0	12	0	
	2009	15	1	0	13	0	
	2009	15	2	0	12	0	
	2009	16	1	0	15	0	
	2009	16	2	0	16	0	
	2009	17	1	0	15	0	
	2009	17	2	0	13	0	
	2009	18	1	0	6	0	
	2009	18	2	1	10	0.1	
	2009	19	1	0	2	0	
	2009	19	2	0	2	0	
	2010	7	2	0	1	0	
	2010	8	1	0	1	0	
	2010	9	1	0	2	0	
	2010	10	1	0	1	0	
	2010	10	2	0	2	0	
	2010	11	1	0	6	0	
	2010	11	2	0	5	0	
	2010	12	1	0	13	0	
	2010	12	2	0	9	0	
	2010	13	1	0	18	0	
	2010	13	2	0	15	0	
	2010	14	1	0	16	0	
	2010	14	2	0	9	0	
	2010	15	1	0	19	0	
	2010	15	2	0	20	0	
	2010	16	1	3	35	0.08571429	
	2010	16	2	0	34	0	
	2010	17	1	1	19	0.05263158	
	2010	17	2	1	40	0.025	
	2010	18	1	0	17	0	
	2010	18	2	0	15	0	
	2010	19	1	0	3	0	
	2010	19	2	0	4	0	
	2011	7	2	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	2	0	
	2011	9	2	0	1	0	
	2011	10	1	0	1	0	
	2011	10	2	0	2	0	
	2011	11	1	0	3	0	
	2011	11	2	0	7	0	
	2011	12	1	1	10	0.1	
	2011	12	2	0	6	0	
	2011	13	1	0	8	0	
	2011	13	2	0	8	0	
	2011	14	1	0	16	0	
	2011	14	2	0	20	0	
	2011	15	1	0	20	0	
	2011	15	2	0	22	0	
	2011	16	1	0	20	0	
	2011	16	2	0	30	0	
	2011	17	1	0	16	0	
	2011	17	2	1	24	0.04166667	
	2011	18	1	0	15	0	
	2011	18	2	2	16	0.125	
	2011	19	1	0	4	0	
	2011	19	2	0	3	0	
	2012	5	2	0	1	0	
	2012	6	1	0	1	0	
	2012	9	1	0	3	0	
	2012	9	2	0	2	0	
	2012	10	1	0	1	0	
	2012	10	2	0	4	0	
	2012	11	1	0	5	0	
	2012	11	2	0	7	0	
	2012	12	1	1	10	0.1	
	2012	12	2	0	19	0	
	2012	13	1	0	17	0	
	2012	13	2	0	18	0	
	2012	14	1	1	20	0.05	
	2012	14	2	0	22	0	
	2012	15	1	0	30	0	
	2012	15	2	2	26	0.07692308	
	2012	16	1	0	24	0	
	2012	16	2	2	35	0.05714286	
	2012	17	1	1	23	0.04347826	
	2012	17	2	2	40	0.05	
	2012	18	1	1	22	0.04545455	
	2012	18	2	2	17	0.1176471	
	2012	19	1	0	7	0	
	2012	19	2	0	2	0	
	2013	9	1	0	1	0	
	2013	9	2	0	1	0	
	2013	10	1	0	4	0	
	2013	10	2	0	3	0	
	2013	11	1	0	7	0	
	2013	11	2	0	11	0	
	2013	12	1	0	9	0	
	2013	12	2	0	10	0	
	2013	13	1	0	10	0	
	2013	13	2	0	11	0	
	2013	14	1	0	28	0	
	2013	14	2	1	28	0.03571429	
	2013	15	1	1	17	0.05882353	
	2013	15	2	0	26	0	
	2013	16	1	1	30	0.03333333	
	2013	16	2	0	33	0	
	2013	17	1	2	22	0.09090909	
	2013	17	2	0	28	0	
	2013	18	1	1	18	0.05555556	
	2013	18	2	1	24	0.04166667	
	2013	19	1	0	7	0	
	2013	19	2	0	3	0	
	2013	20	1	0	1	0	
	2014	5	2	0	1	0	
	2014	8	2	0	1	0	
	2014	9	1	0	1	0	
	2014	10	1	0	5	0	
	2014	10	2	0	1	0	
	2014	11	1	0	6	0	
	2014	11	2	0	5	0	
	2014	12	1	0	7	0	
	2014	12	2	0	6	0	
	2014	13	1	0	16	0	
	2014	13	2	0	13	0	
	2014	14	1	0	21	0	
	2014	14	2	0	10	0	
	2014	15	1	0	17	0	
	2014	15	2	0	26	0	
	2014	16	1	1	26	0.03846154	
	2014	16	2	0	26	0	
	2014	17	1	3	30	0.1	
	2014	17	2	1	35	0.02857143	
	2014	18	1	1	14	0.07142857	
	2014	18	2	2	16	0.125	
	2014	19	1	0	7	0	
	2014	19	2	0	7	0	
	2014	20	1	0	1	0	
	2014	20	2	0	1	0	
	2015	7	1	0	1	0	
	2015	8	1	0	2	0	
	2015	9	1	0	1	0	
	2015	9	2	0	2	0	
	2015	10	1	0	3	0	
	2015	10	2	0	3	0	
	2015	11	1	0	6	0	
	2015	11	2	0	16	0	
	2015	12	1	1	11	0.09090909	
	2015	12	2	0	18	0	
	2015	13	1	0	15	0	
	2015	13	2	1	15	0.06666667	
	2015	14	1	0	24	0	
	2015	14	2	2	16	0.125	
	2015	15	1	0	30	0	
	2015	15	2	0	43	0	
	2015	16	1	0	35	0	
	2015	16	2	2	32	0.0625	
	2015	17	1	0	39	0	
	2015	17	2	0	43	0	
	2015	18	1	0	26	0	
	2015	18	2	0	31	0	
	2015	19	1	0	6	0	
	2015	19	2	2	11	0.1818182	
	2015	20	1	0	3	0	
	2015	20	2	0	4	0	
	2016	8	2	0	1	0	
	2016	10	1	0	2	0	
	2016	10	2	0	3	0	
	2016	11	1	1	4	0.25	
	2016	11	2	0	5	0	
	2016	12	1	0	14	0	
	2016	12	2	0	9	0	
	2016	13	1	1	16	0.0625	
	2016	13	2	1	10	0.1	
	2016	14	1	0	23	0	
	2016	14	2	0	22	0	
	2016	15	1	0	38	0	
	2016	15	2	0	35	0	
	2016	16	1	1	42	0.02380952	
	2016	16	2	0	33	0	
	2016	17	1	6	34	0.1764706	
	2016	17	2	2	42	0.04761905	
	2016	18	1	0	25	0	
	2016	18	2	0	28	0	
	2016	19	1	0	7	0	
	2016	19	2	0	10	0	
	2016	20	2	0	2	0	
	2017	8	2	0	1	0	
	2017	9	2	0	1	0	
	2017	10	1	0	6	0	
	2017	10	2	0	1	0	
	2017	11	1	0	10	0	
	2017	11	2	0	9	0	
	2017	12	1	0	17	0	
	2017	12	2	0	13	0	
	2017	13	1	0	11	0	
	2017	13	2	0	28	0	
	2017	14	1	0	21	0	
	2017	14	2	0	25	0	
	2017	15	1	0	42	0	
	2017	15	2	0	29	0	
	2017	16	1	0	25	0	
	2017	16	2	2	34	0.05882353	
	2017	17	1	0	28	0	
	2017	17	2	2	29	0.06896552	
	2017	18	1	0	21	0	
	2017	18	2	0	27	0	
	2017	19	1	0	9	0	
	2017	19	2	1	3	0.3333333	
	2017	20	1	0	3	0	
	2017	20	2	0	1	0	
	2018	6	2	0	1	0	
	2018	8	2	0	1	0	
	2018	9	1	0	1	0	
	2018	9	2	0	4	0	
	2018	10	1	0	4	0	
	2018	10	2	0	3	0	
	2018	11	1	0	8	0	
	2018	11	2	0	6	0	
	2018	12	1	0	20	0	
	2018	12	2	1	18	0.05555556	
	2018	13	1	0	20	0	
	2018	13	2	0	23	0	
	2018	14	1	0	29	0	
	2018	14	2	0	31	0	
	2018	15	1	1	40	0.025	
	2018	15	2	0	30	0	
	2018	16	1	2	38	0.05263158	
	2018	16	2	2	36	0.05555556	
	2018	17	1	1	33	0.03030303	
	2018	17	2	0	43	0	
	2018	18	1	2	10	0.2	
	2018	18	2	1	17	0.05882353	
	2018	19	1	2	5	0.4	
	2018	19	2	0	9	0	
	2018	20	1	0	2	0	
	2018	20	2	0	3	0	
	2019	7	1	0	1	0	
	2019	9	1	0	1	0	
	2019	9	2	0	3	0	
	2019	10	1	0	3	0	
	2019	10	2	0	1	0	
	2019	11	1	0	8	0	
	2019	11	2	1	10	0.1	
	2019	12	1	0	15	0	
	2019	12	2	0	7	0	
	2019	13	1	0	17	0	
	2019	13	2	0	13	0	
	2019	14	1	0	15	0	
	2019	14	2	1	20	0.05	
	2019	15	1	0	28	0	
	2019	15	2	2	42	0.04761905	
	2019	16	1	0	24	0	
	2019	16	2	1	35	0.02857143	
	2019	17	1	1	27	0.03703704	
	2019	17	2	1	25	0.04	
	2019	18	1	2	17	0.1176471	
	2019	18	2	0	25	0	
	2019	19	1	0	7	0	
	2019	19	2	0	9	0	
	2019	20	1	0	1	0	
	2019	20	2	0	2	0	
