
	D4_01_M Resektionen von Lunge oder Bronchien insgesamt, Mortalität // Total des résections pulmonaires ou bronchiques, mortalité // Resezioni di polmone o bronchi, totale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	4	0	
	2008	1	2	1	5	0.2	
	2008	2	1	1	3	0.3333333	
	2008	2	2	0	1	0	
	2008	3	1	0	2	0	
	2008	3	2	0	1	0	
	2008	4	1	0	34	0	
	2008	4	2	0	12	0	
	2008	5	1	0	61	0	
	2008	5	2	0	14	0	
	2008	6	1	1	55	0.01818182	
	2008	6	2	0	15	0	
	2008	7	1	1	44	0.02272727	
	2008	7	2	0	22	0	
	2008	8	1	0	38	0	
	2008	8	2	0	18	0	
	2008	9	1	0	37	0	
	2008	9	2	0	49	0	
	2008	10	1	2	53	0.03773585	
	2008	10	2	2	56	0.03571429	
	2008	11	1	1	100	0.01	
	2008	11	2	0	78	0	
	2008	12	1	3	169	0.01775148	
	2008	12	2	2	110	0.01818182	
	2008	13	1	6	231	0.02597403	
	2008	13	2	3	139	0.02158273	
	2008	14	1	6	221	0.02714932	
	2008	14	2	5	126	0.03968254	
	2008	15	1	9	175	0.05142857	
	2008	15	2	4	82	0.04878049	
	2008	16	1	10	152	0.06578947	
	2008	16	2	2	62	0.03225806	
	2008	17	1	1	58	0.01724138	
	2008	17	2	2	36	0.05555556	
	2008	18	1	1	7	0.1428571	
	2008	18	2	0	2	0	
	2008	19	1	0	1	0	
	2008	19	2	0	1	0	
	2009	1	1	0	5	0	
	2009	1	2	0	5	0	
	2009	2	1	0	1	0	
	2009	2	2	0	3	0	
	2009	3	1	0	1	0	
	2009	3	2	0	6	0	
	2009	4	1	0	61	0	
	2009	4	2	0	15	0	
	2009	5	1	0	49	0	
	2009	5	2	0	21	0	
	2009	6	1	1	53	0.01886792	
	2009	6	2	0	15	0	
	2009	7	1	1	36	0.02777778	
	2009	7	2	0	17	0	
	2009	8	1	0	33	0	
	2009	8	2	0	21	0	
	2009	9	1	0	51	0	
	2009	9	2	0	43	0	
	2009	10	1	2	68	0.02941176	
	2009	10	2	0	65	0	
	2009	11	1	1	103	0.009708738	
	2009	11	2	1	83	0.01204819	
	2009	12	1	5	154	0.03246753	
	2009	12	2	0	116	0	
	2009	13	1	7	208	0.03365385	
	2009	13	2	0	125	0	
	2009	14	1	10	220	0.04545455	
	2009	14	2	3	136	0.02205882	
	2009	15	1	5	151	0.03311258	
	2009	15	2	5	99	0.05050505	
	2009	16	1	11	136	0.08088235	
	2009	16	2	3	69	0.04347826	
	2009	17	1	4	46	0.08695652	
	2009	17	2	1	24	0.04166667	
	2009	18	1	2	10	0.2	
	2009	18	2	0	2	0	
	2009	19	1	1	1	1	
	2009	20	1	0	1	0	
	2010	1	1	0	8	0	
	2010	1	2	0	8	0	
	2010	2	1	0	1	0	
	2010	2	2	0	2	0	
	2010	3	1	0	2	0	
	2010	3	2	0	2	0	
	2010	4	1	2	64	0.03125	
	2010	4	2	0	16	0	
	2010	5	1	0	57	0	
	2010	5	2	0	19	0	
	2010	6	1	1	56	0.01785714	
	2010	6	2	0	25	0	
	2010	7	1	0	42	0	
	2010	7	2	1	20	0.05	
