
	D4_03_M Teilresektion der Lunge bei Bronchialkarzinom, Mortalität // Résections pulmonaires partielles en cas de carcinome bronchique, mortalité // Resezione parziale del polmone in caso di carcinoma bronchiale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	4	2	0	1	0	
	2008	5	2	0	2	0	
	2008	6	2	0	2	0	
	2008	7	2	0	1	0	
	2008	8	2	0	1	0	
	2008	9	1	0	7	0	
	2008	9	2	0	10	0	
	2008	10	1	0	8	0	
	2008	10	2	0	18	0	
	2008	11	1	0	40	0	
	2008	11	2	0	40	0	
	2008	12	1	3	71	0.04225352	
	2008	12	2	1	42	0.02380952	
	2008	13	1	1	113	0.008849558	
	2008	13	2	1	76	0.01315789	
	2008	14	1	3	118	0.02542373	
	2008	14	2	0	60	0	
	2008	15	1	4	90	0.04444444	
	2008	15	2	1	47	0.0212766	
	2008	16	1	8	101	0.07920792	
	2008	16	2	2	43	0.04651163	
	2008	17	1	1	35	0.02857143	
	2008	17	2	1	22	0.04545455	
	2008	18	1	1	3	0.3333333	
	2008	18	2	0	2	0	
	2009	4	2	0	1	0	
	2009	5	2	0	1	0	
	2009	6	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	3	0	
	2009	8	1	0	3	0	
	2009	8	2	0	4	0	
	2009	9	1	0	2	0	
	2009	9	2	0	11	0	
	2009	10	1	0	18	0	
	2009	10	2	0	18	0	
	2009	11	1	0	37	0	
	2009	11	2	0	29	0	
	2009	12	1	1	73	0.01369863	
	2009	12	2	0	64	0	
	2009	13	1	4	119	0.03361345	
	2009	13	2	0	69	0	
	2009	14	1	4	125	0.032	
	2009	14	2	0	75	0	
	2009	15	1	3	83	0.03614458	
	2009	15	2	1	54	0.01851852	
	2009	16	1	4	70	0.05714286	
	2009	16	2	2	43	0.04651163	
	2009	17	1	2	30	0.06666667	
	2009	17	2	1	14	0.07142857	
	2009	18	1	2	5	0.4	
	2009	18	2	0	1	0	
	2009	19	1	1	1	1	
	2010	1	2	0	1	0	
	2010	5	1	0	1	0	
	2010	6	1	0	1	0	
	2010	7	1	0	1	0	
	2010	7	2	0	1	0	
	2010	8	1	0	2	0	
	2010	8	2	0	3	0	
	2010	9	1	0	3	0	
	2010	9	2	0	12	0	
	2010	10	1	1	17	0.05882353	
	2010	10	2	0	28	0	
	2010	11	1	1	40	0.025	
	2010	11	2	0	49	0	
	2010	12	1	1	64	0.015625	
	2010	12	2	1	47	0.0212766	
	2010	13	1	2	114	0.01754386	
	2010	13	2	1	91	0.01098901	
	2010	14	1	1	126	0.007936508	
	2010	14	2	0	78	0	
	2010	15	1	4	112	0.03571429	
	2010	15	2	2	70	0.02857143	
	2010	16	1	4	86	0.04651163	
	2010	16	2	1	42	0.02380952	
	2010	17	1	3	39	0.07692308	
	2010	17	2	1	19	0.05263158	
	2010	18	1	0	2	0	
	2011	5	1	0	2	0	
	2011	5	2	0	1	0	
	2011	6	2	0	1	0	
	2011	7	1	0	2	0	
	2011	8	1	0	1	0	
	2011	8	2	0	3	0	
	2011	9	1	0	11	0	
	2011	9	2	0	8	0	
	2011	10	1	0	11	0	
	2011	10	2	0	19	0	
	2011	11	1	1	48	0.02083333	
	2011	11	2	1	44	0.02272727	
	2011	12	1	2	86	0.02325581	
	2011	12	2	1	56	0.01785714	
	2011	13	1	3	116	0.02586207	
	2011	13	2	2	83	0.02409639	
	2011	14	1	1	153	0.006535948	
	2011	14	2	3	95	0.03157895	
	2011	15	1	6	130	0.04615385	
	2011	15	2	1	81	0.01234568	
	2011	16	1	2	95	0.02105263	
	2011	16	2	1	49	0.02040816	
	2011	17	1	1	26	0.03846154	
	2011	17	2	0	24	0	
	2011	18	1	0	5	0	
	2011	18	2	1	4	0.25	
	2011	19	2	0	1	0	
	2012	2	2	0	1	0	
	2012	4	1	0	1	0	
	2012	4	2	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	2	0	
	2012	7	1	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	6	0	
	2012	8	2	0	8	0	
	2012	9	1	0	8	0	
	2012	9	2	0	11	0	
	2012	10	1	0	24	0	
	2012	10	2	0	17	0	
	2012	11	1	1	42	0.02380952	
	2012	11	2	0	36	0	
	2012	12	1	0	66	0	
	2012	12	2	1	68	0.01470588	
	2012	13	1	1	121	0.008264463	
	2012	13	2	2	80	0.025	
	2012	14	1	5	180	0.02777778	
	2012	14	2	1	95	0.01052632	
	2012	15	1	2	140	0.01428571	
	2012	15	2	1	96	0.01041667	
	2012	16	1	2	90	0.02222222	
	2012	16	2	1	62	0.01612903	
	2012	17	1	3	40	0.075	
	2012	17	2	0	29	0	
	2012	18	1	0	8	0	
	2012	18	2	0	5	0	
	2013	3	1	0	1	0	
	2013	5	2	0	1	0	
	2013	6	1	0	2	0	
	2013	6	2	0	4	0	
	2013	7	1	0	1	0	
	2013	7	2	0	3	0	
	2013	8	1	0	6	0	
	2013	8	2	1	5	0.2	
	2013	9	1	0	8	0	
	2013	9	2	0	8	0	
	2013	10	1	0	23	0	
	2013	10	2	0	18	0	
	2013	11	1	0	39	0	
	2013	11	2	0	28	0	
	2013	12	1	4	87	0.04597701	
	2013	12	2	3	72	0.04166667	
	2013	13	1	3	111	0.02702703	
	2013	13	2	0	100	0	
	2013	14	1	4	176	0.02272727	
	2013	14	2	2	119	0.01680672	
	2013	15	1	5	148	0.03378378	
	2013	15	2	4	91	0.04395604	
	2013	16	1	4	110	0.03636364	
	2013	16	2	1	58	0.01724138	
	2013	17	1	1	40	0.025	
	2013	17	2	1	27	0.03703704	
	2013	18	1	0	4	0	
	2013	18	2	0	3	0	
	2014	3	1	0	2	0	
	2014	7	1	0	4	0	
	2014	7	2	0	1	0	
	2014	8	1	0	5	0	
	2014	8	2	0	2	0	
	2014	9	1	0	8	0	
	2014	9	2	0	7	0	
	2014	10	1	1	18	0.05555556	
	2014	10	2	0	20	0	
	2014	11	1	1	46	0.02173913	
	2014	11	2	0	62	0	
	2014	12	1	2	86	0.02325581	
	2014	12	2	1	58	0.01724138	
	2014	13	1	2	123	0.01626016	
	2014	13	2	0	95	0	
	2014	14	1	6	167	0.03592814	
	2014	14	2	0	118	0	
	2014	15	1	6	148	0.04054054	
	2014	15	2	1	98	0.01020408	
	2014	16	1	4	89	0.04494382	
	2014	16	2	1	60	0.01666667	
	2014	17	1	3	59	0.05084746	
	2014	17	2	1	28	0.03571429	
	2014	18	1	0	10	0	
	2014	18	2	0	6	0	
	2014	19	1	0	1	0	
	2015	5	2	0	1	0	
	2015	6	2	0	1	0	
	2015	7	1	0	2	0	
	2015	7	2	0	2	0	
	2015	8	1	0	2	0	
	2015	8	2	0	1	0	
	2015	9	1	0	2	0	
	2015	9	2	0	5	0	
	2015	10	1	0	20	0	
	2015	10	2	0	21	0	
	2015	11	1	0	38	0	
	2015	11	2	0	49	0	
	2015	12	1	0	72	0	
	2015	12	2	0	82	0	
	2015	13	1	3	129	0.02325581	
	2015	13	2	0	96	0	
	2015	14	1	2	175	0.01142857	
	2015	14	2	0	106	0	
	2015	15	1	3	171	0.01754386	
	2015	15	2	1	121	0.008264463	
	2015	16	1	4	104	0.03846154	
	2015	16	2	0	80	0	
	2015	17	1	3	60	0.05	
	2015	17	2	0	26	0	
	2015	18	1	0	10	0	
	2015	18	2	0	4	0	
	2016	6	2	0	1	0	
	2016	7	1	0	2	0	
	2016	8	1	0	3	0	
	2016	8	2	0	7	0	
	2016	9	1	0	11	0	
	2016	9	2	0	5	0	
	2016	10	1	0	15	0	
	2016	10	2	0	21	0	
