
	D4_05_M Pleurektomie, Mortalität // Pleurectomie, mortalité // Pleurectomia, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	1	7	0.1428571	
	2008	1	2	0	5	0	
	2008	2	1	0	4	0	
	2008	2	2	0	1	0	
	2008	3	1	0	1	0	
	2008	3	2	0	1	0	
	2008	4	1	0	25	0	
	2008	4	2	0	6	0	
	2008	5	1	0	27	0	
	2008	5	2	0	10	0	
	2008	6	1	0	18	0	
	2008	6	2	0	6	0	
	2008	7	1	0	21	0	
	2008	7	2	0	14	0	
	2008	8	1	0	16	0	
	2008	8	2	0	7	0	
	2008	9	1	0	16	0	
	2008	9	2	0	24	0	
	2008	10	1	2	31	0.06451613	
	2008	10	2	1	14	0.07142857	
	2008	11	1	0	32	0	
	2008	11	2	1	18	0.05555556	
	2008	12	1	1	42	0.02380952	
	2008	12	2	1	28	0.03571429	
	2008	13	1	6	60	0.1	
	2008	13	2	0	25	0	
	2008	14	1	4	46	0.08695652	
	2008	14	2	1	25	0.04	
	2008	15	1	8	45	0.1777778	
	2008	15	2	4	23	0.173913	
	2008	16	1	3	49	0.06122449	
	2008	16	2	2	20	0.1	
	2008	17	1	2	43	0.04651163	
	2008	17	2	3	19	0.1578947	
	2008	18	1	3	7	0.4285714	
	2008	18	2	1	8	0.125	
	2008	19	1	0	1	0	
	2009	1	1	0	2	0	
	2009	1	2	0	7	0	
	2009	2	2	0	3	0	
	2009	3	2	0	1	0	
	2009	4	1	0	24	0	
	2009	4	2	0	1	0	
	2009	5	1	0	24	0	
	2009	5	2	0	10	0	
	2009	6	1	0	29	0	
	2009	6	2	0	14	0	
	2009	7	1	0	20	0	
	2009	7	2	0	11	0	
	2009	8	1	0	15	0	
	2009	8	2	0	10	0	
	2009	9	1	0	21	0	
	2009	9	2	0	19	0	
	2009	10	1	0	27	0	
	2009	10	2	0	16	0	
	2009	11	1	3	37	0.08108108	
	2009	11	2	1	16	0.0625	
	2009	12	1	3	42	0.07142857	
	2009	12	2	1	20	0.05	
	2009	13	1	2	41	0.04878049	
	2009	13	2	0	12	0	
	2009	14	1	1	51	0.01960784	
	2009	14	2	2	29	0.06896552	
	2009	15	1	4	51	0.07843137	
	2009	15	2	2	29	0.06896552	
	2009	16	1	8	50	0.16	
	2009	16	2	4	20	0.2	
	2009	17	1	0	13	0	
	2009	17	2	2	16	0.125	
	2009	18	1	1	9	0.1111111	
	2009	18	2	2	9	0.2222222	
	2009	19	1	1	1	1	
	2010	1	1	0	6	0	
	2010	1	2	0	6	0	
	2010	2	1	0	2	0	
	2010	2	2	0	1	0	
	2010	3	1	0	1	0	
	2010	4	1	0	26	0	
	2010	4	2	0	9	0	
	2010	5	1	0	26	0	
	2010	5	2	0	9	0	
	2010	6	1	0	23	0	
	2010	6	2	0	9	0	
	2010	7	1	0	16	0	
	2010	7	2	0	10	0	
	2010	8	1	0	17	0	
	2010	8	2	0	9	0	
	2010	9	1	1	24	0.04166667	
	2010	9	2	0	12	0	
	2010	10	1	1	37	0.02702703	
	2010	10	2	0	13	0	
	2010	11	1	0	31	0	
	2010	11	2	0	20	0	
	2010	12	1	1	51	0.01960784	
	2010	12	2	3	20	0.15	
	2010	13	1	3	78	0.03846154	
	2010	13	2	1	27	0.03703704	
