
	E1_01_M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität // Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité // Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	1	0	
	2008	2	1	0	1	0	
	2008	3	2	0	6	0	
	2008	4	1	0	28	0	
	2008	4	2	0	91	0	
	2008	5	1	0	30	0	
	2008	5	2	0	182	0	
	2008	6	1	0	94	0	
	2008	6	2	0	406	0	
	2008	7	1	0	160	0	
	2008	7	2	0	475	0	
	2008	8	1	0	234	0	
	2008	8	2	0	604	0	
	2008	9	1	0	398	0	
	2008	9	2	1	681	0.001468429	
	2008	10	1	0	409	0	
	2008	10	2	0	710	0	
	2008	11	1	0	461	0	
	2008	11	2	0	727	0	
	2008	12	1	0	428	0	
	2008	12	2	0	760	0	
	2008	13	1	1	501	0.001996008	
	2008	13	2	1	755	0.001324503	
	2008	14	1	1	515	0.001941748	
	2008	14	2	1	669	0.001494768	
	2008	15	1	4	435	0.009195402	
	2008	15	2	1	579	0.001727116	
	2008	16	1	6	333	0.01801802	
	2008	16	2	2	492	0.004065041	
	2008	17	1	7	229	0.03056769	
	2008	17	2	4	335	0.0119403	
	2008	18	1	4	93	0.04301075	
	2008	18	2	1	128	0.0078125	
	2008	19	1	0	17	0	
	2008	19	2	3	37	0.08108108	
	2008	20	1	0	1	0	
	2008	20	2	1	7	0.1428571	
	2009	2	2	0	6	0	
	2009	3	1	0	7	0	
	2009	3	2	0	15	0	
	2009	4	1	0	21	0	
	2009	4	2	0	74	0	
	2009	5	1	0	48	0	
	2009	5	2	0	210	0	
	2009	6	1	0	102	0	
	2009	6	2	0	409	0	
	2009	7	1	0	167	0	
	2009	7	2	0	564	0	
	2009	8	1	0	269	0	
	2009	8	2	0	610	0	
	2009	9	1	0	376	0	
	2009	9	2	1	694	0.001440922	
	2009	10	1	0	451	0	
	2009	10	2	0	713	0	
	2009	11	1	2	429	0.004662005	
	2009	11	2	0	689	0	
	2009	12	1	0	456	0	
	2009	12	2	0	683	0	
	2009	13	1	2	470	0.004255319	
	2009	13	2	0	750	0	
	2009	14	1	1	477	0.002096436	
	2009	14	2	0	658	0	
	2009	15	1	2	451	0.00443459	
	2009	15	2	1	556	0.001798561	
	2009	16	1	1	397	0.002518892	
	2009	16	2	1	457	0.002188184	
	2009	17	1	7	212	0.03301887	
	2009	17	2	5	317	0.01577287	
	2009	18	1	5	99	0.05050505	
	2009	18	2	4	156	0.02564103	
	2009	19	1	2	20	0.1	
	2009	19	2	0	26	0	
	2009	20	1	1	3	0.3333333	
	2009	20	2	1	4	0.25	
	2010	1	1	0	1	0	
	2010	1	2	0	1	0	
	2010	2	2	0	2	0	
	2010	3	1	0	1	0	
	2010	3	2	0	5	0	
	2010	4	1	0	28	0	
	2010	4	2	0	83	0	
	2010	5	1	0	40	0	
	2010	5	2	0	238	0	
	2010	6	1	0	101	0	
	2010	6	2	0	411	0	
	2010	7	1	0	176	0	
