
	E2_01_M Herniotomie ohne OP am Darm, Mortalität // Herniotomie sans OP de l'intestin, mortalité // Erniotomia senza OP all'intestino, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	315	0	
	2008	1	2	0	84	0	
	2008	2	1	0	28	0	
	2008	2	2	0	13	0	
	2008	3	1	0	19	0	
	2008	3	2	0	17	0	
	2008	4	1	0	244	0	
	2008	4	2	0	63	0	
	2008	5	1	0	453	0	
	2008	5	2	0	118	0	
	2008	6	1	0	506	0	
	2008	6	2	0	154	0	
	2008	7	1	0	571	0	
	2008	7	2	0	243	0	
	2008	8	1	0	874	0	
	2008	8	2	0	364	0	
	2008	9	1	0	1329	0	
	2008	9	2	0	384	0	
	2008	10	1	0	1582	0	
	2008	10	2	0	421	0	
	2008	11	1	0	1732	0	
	2008	11	2	0	331	0	
	2008	12	1	1	2015	0.0004962779	
	2008	12	2	1	350	0.002857143	
	2008	13	1	2	2258	0.0008857396	
	2008	13	2	0	383	0	
	2008	14	1	1	1857	0.000538503	
	2008	14	2	0	387	0	
	2008	15	1	1	1534	0.0006518905	
	2008	15	2	1	368	0.002717391	
	2008	16	1	2	1222	0.001636661	
	2008	16	2	4	366	0.01092896	
	2008	17	1	6	829	0.007237636	
	2008	17	2	2	257	0.007782101	
	2008	18	1	2	372	0.005376344	
	2008	18	2	4	153	0.02614379	
	2008	19	1	1	94	0.0106383	
	2008	19	2	1	35	0.02857143	
	2008	20	1	0	17	0	
	2008	20	2	0	7	0	
	2009	1	1	0	299	0	
	2009	1	2	0	66	0	
	2009	2	1	0	23	0	
	2009	2	2	0	15	0	
	2009	3	1	0	30	0	
	2009	3	2	0	19	0	
	2009	4	1	0	251	0	
	2009	4	2	0	67	0	
	2009	5	1	0	411	0	
	2009	5	2	0	115	0	
	2009	6	1	0	471	0	
	2009	6	2	0	160	0	
	2009	7	1	0	552	0	
	2009	7	2	1	249	0.004016064	
	2009	8	1	0	817	0	
	2009	8	2	0	319	0	
	2009	9	1	0	1262	0	
	2009	9	2	0	371	0	
	2009	10	1	0	1567	0	
	2009	10	2	0	370	0	
	2009	11	1	0	1721	0	
	2009	11	2	0	375	0	
	2009	12	1	0	1948	0	
	2009	12	2	0	318	0	
	2009	13	1	0	2316	0	
	2009	13	2	0	427	0	
	2009	14	1	3	1961	0.001529832	
	2009	14	2	0	413	0	
	2009	15	1	2	1686	0.00118624	
	2009	15	2	1	378	0.002645503	
	2009	16	1	3	1274	0.002354788	
	2009	16	2	2	388	0.005154639	
	2009	17	1	5	844	0.005924171	
	2009	17	2	6	293	0.02047782	
	2009	18	1	2	364	0.005494505	
	2009	18	2	5	143	0.03496503	
	2009	19	1	1	89	0.01123596	
	2009	19	2	0	31	0	
	2009	20	1	2	12	0.1666667	
	2009	20	2	1	9	0.1111111	
	2010	1	1	0	302	0	
	2010	1	2	0	92	0	
	2010	2	1	0	23	0	
	2010	2	2	0	13	0	
	2010	3	1	0	21	0	
	2010	3	2	0	10	0	
	2010	4	1	0	225	0	
	2010	4	2	0	53	0	
	2010	5	1	0	430	0	
	2010	5	2	0	103	0	
	2010	6	1	0	451	0	
	2010	6	2	0	146	0	
	2010	7	1	0	585	0	
	2010	7	2	0	243	0	
	2010	8	1	0	803	0	
	2010	8	2	0	370	0	
	2010	9	1	0	1227	0	
	2010	9	2	0	403	0	
	2010	10	1	0	1588	0	
	2010	10	2	1	402	0.002487562	
	2010	11	1	0	1720	0	
	2010	11	2	0	338	0	
	2010	12	1	0	1832	0	
	2010	12	2	0	351	0	
	2010	13	1	1	2219	0.0004506534	
	2010	13	2	0	441	0	
	2010	14	1	1	2050	0.0004878049	
	2010	14	2	2	456	0.004385965	
	2010	15	1	0	1659	0	
	2010	15	2	0	391	0	
	2010	16	1	5	1279	0.003909304	
