
	E2_01_M Herniotomie ohne OP am Darm, Mortalität // Herniotomie sans OP de l'intestin, mortalité // Erniotomia senza OP all'intestino, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	29	22349	0.1297597	
	2009	34	22424	0.1516233	
	2010	22	22368	0.09835479	
	2011	25	22830	0.109505	
	2012	33	23387	0.141104	
	2013	33	24017	0.1374027	
	2014	22	24600	0.08943089	
	2015	19	24763	0.07672738	
	2016	19	25148	0.07555273	
	2017	20	25655	0.07795751	
	2018	23	24050	0.0956341	
	2019	20	20389	0.09809211	
