
	E4_01_M Kolorektale Resektionen insgesamt, Mortalität // Total des résections colorectales, mortalité // Resezioni colorettali, totale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	33	0	
	2008	1	2	2	15	0.1333333	
	2008	2	1	0	6	0	
	2008	2	2	0	1	0	
	2008	3	1	0	4	0	
	2008	3	2	0	7	0	
	2008	4	1	0	19	0	
	2008	4	2	0	12	0	
	2008	5	1	1	27	0.03703704	
	2008	5	2	0	27	0	
	2008	6	1	0	49	0	
	2008	6	2	2	47	0.04255319	
	2008	7	1	0	64	0	
	2008	7	2	0	62	0	
	2008	8	1	0	87	0	
	2008	8	2	1	77	0.01298701	
	2008	9	1	1	177	0.005649718	
	2008	9	2	0	169	0	
	2008	10	1	2	261	0.007662835	
	2008	10	2	1	242	0.004132231	
	2008	11	1	2	344	0.005813953	
	2008	11	2	4	327	0.01223242	
	2008	12	1	10	518	0.01930502	
	2008	12	2	9	520	0.01730769	
	2008	13	1	17	643	0.02643857	
	2008	13	2	14	683	0.0204978	
	2008	14	1	24	673	0.03566122	
	2008	14	2	19	664	0.02861446	
	2008	15	1	33	661	0.04992436	
	2008	15	2	21	738	0.02845528	
	2008	16	1	39	611	0.06382979	
	2008	16	2	61	718	0.08495822	
	2008	17	1	57	403	0.1414392	
	2008	17	2	36	571	0.06304729	
	2008	18	1	39	179	0.2178771	
	2008	18	2	28	311	0.09003215	
	2008	19	1	6	37	0.1621622	
	2008	19	2	15	91	0.1648352	
	2008	20	1	3	6	0.5	
	2008	20	2	1	8	0.125	
	2009	1	1	0	34	0	
	2009	1	2	1	13	0.07692308	
	2009	2	1	0	4	0	
	2009	2	2	0	1	0	
	2009	3	1	1	7	0.1428571	
	2009	3	2	0	4	0	
	2009	4	1	0	14	0	
	2009	4	2	0	19	0	
	2009	5	1	1	39	0.02564103	
	2009	5	2	1	25	0.04	
	2009	6	1	0	37	0	
	2009	6	2	0	35	0	
	2009	7	1	0	64	0	
	2009	7	2	0	60	0	
	2009	8	1	0	97	0	
	2009	8	2	0	75	0	
	2009	9	1	1	187	0.005347594	
	2009	9	2	1	144	0.006944444	
	2009	10	1	1	239	0.0041841	
	2009	10	2	1	223	0.004484305	
	2009	11	1	8	355	0.02253521	
	2009	11	2	6	385	0.01558442	
	2009	12	1	13	468	0.02777778	
	2009	12	2	8	497	0.01609658	
	2009	13	1	17	630	0.02698413	
	2009	13	2	8	651	0.01228879	
	2009	14	1	33	699	0.0472103	
	2009	14	2	14	688	0.02034884	
	2009	15	1	36	662	0.05438066	
	2009	15	2	32	668	0.04790419	
	2009	16	1	46	564	0.08156028	
	2009	16	2	49	719	0.06815021	
	2009	17	1	53	402	0.1318408	
	2009	17	2	52	567	0.09171076	
	2009	18	1	43	173	0.2485549	
	2009	18	2	54	313	0.172524	
	2009	19	1	8	35	0.2285714	
	2009	19	2	19	73	0.260274	
	2009	20	1	0	3	0	
	2009	20	2	2	12	0.1666667	
	2010	1	1	0	35	0	
	2010	1	2	2	9	0.2222222	
	2010	2	1	0	6	0	
	2010	2	2	0	5	0	
	2010	3	1	0	2	0	
	2010	3	2	0	4	0	
	2010	4	1	0	16	0	
	2010	4	2	0	9	0	
	2010	5	1	0	19	0	
	2010	5	2	0	34	0	
	2010	6	1	0	42	0	
	2010	6	2	0	38	0	
	2010	7	1	0	76	0	
	2010	7	2	0	66	0	
	2010	8	1	2	103	0.01941748	
	2010	8	2	0	91	0	
	2010	9	1	0	168	0	
	2010	9	2	1	136	0.007352941	
	2010	10	1	7	276	0.02536232	
	2010	10	2	2	267	0.007490637	
	2010	11	1	6	376	0.01595745	
	2010	11	2	2	332	0.006024096	
	2010	12	1	5	456	0.01096491	
	2010	12	2	7	434	0.01612903	
	2010	13	1	15	620	0.02419355	
	2010	13	2	10	602	0.0166113	
	2010	14	1	20	717	0.027894	
	2010	14	2	22	764	0.02879581	
	2010	15	1	42	607	0.06919275	
	2010	15	2	19	643	0.02954899	
	2010	16	1	46	555	0.08288288	
	2010	16	2	33	625	0.0528	
	2010	17	1	47	419	0.1121718	
	2010	17	2	68	560	0.1214286	
	2010	18	1	27	156	0.1730769	
	2010	18	2	34	292	0.1164384	
	2010	19	1	6	30	0.2	
	2010	19	2	13	82	0.1585366	
	2010	20	1	0	5	0	
	2010	20	2	4	11	0.3636364	
	2011	1	1	2	44	0.04545455	
	2011	1	2	0	15	0	
	2011	2	1	0	4	0	
	2011	2	2	0	3	0	
	2011	3	1	0	2	0	
	2011	3	2	0	6	0	
	2011	4	1	0	15	0	
	2011	4	2	0	15	0	
	2011	5	1	1	36	0.02777778	
	2011	5	2	0	32	0	
	2011	6	1	2	42	0.04761905	
	2011	6	2	0	55	0	
	2011	7	1	0	69	0	
	2011	7	2	0	75	0	
	2011	8	1	0	90	0	
	2011	8	2	1	77	0.01298701	
	2011	9	1	3	174	0.01724138	
	2011	9	2	2	131	0.01526718	
