
	E4_02_M Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität // Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité // Resezioni del colon per carcinoma colorettale senza diagnosi complicante, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	4	2	0	2	0	
	2008	5	1	0	2	0	
	2008	5	2	0	3	0	
	2008	6	1	0	2	0	
	2008	6	2	0	7	0	
	2008	7	1	0	3	0	
	2008	7	2	0	5	0	
	2008	8	1	0	4	0	
	2008	8	2	0	10	0	
	2008	9	1	0	26	0	
	2008	9	2	0	25	0	
	2008	10	1	0	35	0	
	2008	10	2	0	28	0	
	2008	11	1	2	63	0.03174603	
	2008	11	2	0	38	0	
	2008	12	1	1	99	0.01010101	
	2008	12	2	3	63	0.04761905	
	2008	13	1	1	151	0.006622517	
	2008	13	2	3	114	0.02631579	
	2008	14	1	5	167	0.02994012	
	2008	14	2	2	108	0.01851852	
	2008	15	1	10	188	0.05319149	
	2008	15	2	4	128	0.03125	
	2008	16	1	8	215	0.0372093	
	2008	16	2	8	169	0.04733728	
	2008	17	1	16	154	0.1038961	
	2008	17	2	3	151	0.01986755	
	2008	18	1	16	79	0.2025316	
	2008	18	2	4	103	0.03883495	
	2008	19	1	3	15	0.2	
	2008	19	2	0	25	0	
	2008	20	1	1	3	0.3333333	
	2008	20	2	0	1	0	
	2009	4	2	0	2	0	
	2009	5	1	0	3	0	
	2009	5	2	0	3	0	
	2009	6	1	0	3	0	
	2009	6	2	0	2	0	
	2009	7	1	0	2	0	
	2009	7	2	0	5	0	
	2009	8	1	0	9	0	
	2009	8	2	0	8	0	
	2009	9	1	0	14	0	
	2009	9	2	0	22	0	
	2009	10	1	0	30	0	
	2009	10	2	0	31	0	
	2009	11	1	0	71	0	
	2009	11	2	1	58	0.01724138	
	2009	12	1	2	96	0.02083333	
	2009	12	2	1	89	0.01123596	
	2009	13	1	1	145	0.006896552	
	2009	13	2	1	94	0.0106383	
