
	E4_03_M Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität // Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité // Resezioni del colon per carcinoma colorettale con diagnosi complicante, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	6	2	0	1	0	
	2008	7	1	0	2	0	
	2008	8	1	0	1	0	
	2008	9	1	0	1	0	
	2008	10	1	0	3	0	
	2008	10	2	0	2	0	
	2008	11	1	0	6	0	
	2008	11	2	0	6	0	
	2008	12	1	0	17	0	
	2008	12	2	1	3	0.3333333	
	2008	13	1	0	12	0	
	2008	13	2	0	6	0	
	2008	14	1	1	17	0.05882353	
	2008	14	2	1	9	0.1111111	
	2008	15	1	2	29	0.06896552	
	2008	15	2	0	20	0	
	2008	16	1	6	22	0.2727273	
	2008	16	2	4	20	0.2	
	2008	17	1	2	24	0.08333333	
	2008	17	2	4	27	0.1481481	
	2008	18	1	4	16	0.25	
	2008	18	2	3	21	0.1428571	
	2008	19	2	2	7	0.2857143	
	2008	20	1	1	2	0.5	
	2009	5	2	0	1	0	
	2009	9	1	0	2	0	
	2009	10	1	0	9	0	
	2009	10	2	0	2	0	
	2009	11	1	0	5	0	
	2009	11	2	0	6	0	
	2009	12	1	0	13	0	
	2009	12	2	0	4	0	
	2009	13	1	0	18	0	
	2009	13	2	0	15	0	
	2009	14	1	3	26	0.1153846	
	2009	14	2	2	14	0.1428571	
	2009	15	1	5	16	0.3125	
	2009	15	2	2	15	0.1333333	
	2009	16	1	2	29	0.06896552	
	2009	16	2	5	28	0.1785714	
	2009	17	1	7	27	0.2592593	
	2009	17	2	6	23	0.2608696	
	2009	18	1	8	18	0.4444444	
	2009	18	2	1	13	0.07692308	
	2009	19	1	1	5	0.2	
	2009	19	2	3	8	0.375	
	2009	20	2	0	1	0	
	2010	4	2	0	1	0	
	2010	6	1	0	1	0	
	2010	8	1	0	2	0	
	2010	8	2	0	4	0	
	2010	9	1	0	1	0	
	2010	10	1	0	1	0	
	2010	10	2	0	4	0	
	2010	11	1	0	5	0	
	2010	11	2	0	4	0	
	2010	12	1	1	15	0.06666667	
	2010	12	2	0	6	0	
	2010	13	1	1	16	0.0625	
	2010	13	2	1	11	0.09090909	
