
	E4_04_M Rektumresektionen bei kolorektalem Karzinom, Mortalität // Résections du rectum pour cancer colorectal, mortalité // Resezioni del retto per carcinoma colorettale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	7	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	2	0	1	0	
	2008	9	1	0	3	0	
	2008	9	2	0	2	0	
	2008	10	1	0	6	0	
	2008	10	2	0	1	0	
	2008	11	1	0	7	0	
	2008	11	2	0	1	0	
	2008	12	1	1	11	0.09090909	
	2008	12	2	0	6	0	
	2008	13	1	0	15	0	
	2008	13	2	0	8	0	
	2008	14	1	0	15	0	
	2008	14	2	0	6	0	
	2008	15	1	1	28	0.03571429	
	2008	15	2	0	13	0	
	2008	16	1	2	20	0.1	
	2008	16	2	0	9	0	
	2008	17	1	0	12	0	
	2008	17	2	1	14	0.07142857	
	2008	18	1	0	1	0	
	2008	18	2	1	5	0.2	
	2008	19	1	0	2	0	
	2009	7	1	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	2	0	
	2009	8	2	0	2	0	
	2009	9	1	0	1	0	
	2009	9	2	0	3	0	
	2009	10	1	0	3	0	
	2009	10	2	0	2	0	
	2009	11	1	0	7	0	
	2009	11	2	0	4	0	
	2009	12	1	1	7	0.1428571	
	2009	12	2	1	11	0.09090909	
	2009	13	1	0	11	0	
	2009	13	2	0	3	0	
	2009	14	1	1	27	0.03703704	
	2009	14	2	0	12	0	
	2009	15	1	0	15	0	
	2009	15	2	0	8	0	
	2009	16	1	1	23	0.04347826	
	2009	16	2	1	8	0.125	
	2009	17	1	0	15	0	
	2009	17	2	0	9	0	
	2009	18	1	0	4	0	
	2009	18	2	0	5	0	
	2009	19	1	0	2	0	
	2009	19	2	1	1	1	
	2010	7	1	0	2	0	
	2010	7	2	0	1	0	
	2010	8	1	0	3	0	
	2010	9	1	0	4	0	
	2010	9	2	0	4	0	
	2010	10	1	0	7	0	
	2010	10	2	0	3	0	
	2010	11	1	0	3	0	
	2010	11	2	0	6	0	
	2010	12	1	0	13	0	
	2010	12	2	0	2	0	
	2010	13	1	0	17	0	
	2010	13	2	0	6	0	
	2010	14	1	1	26	0.03846154	
	2010	14	2	0	9	0	
	2010	15	1	0	16	0	
	2010	15	2	0	10	0	
	2010	16	1	2	18	0.1111111	
	2010	16	2	0	17	0	
	2010	17	1	1	14	0.07142857	
	2010	17	2	2	13	0.1538462	
	2010	18	1	0	3	0	
	2010	18	2	0	6	0	
	2010	19	1	0	1	0	
	2010	19	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	1	0	
	2011	9	2	0	2	0	
	2011	10	1	0	6	0	
	2011	10	2	0	2	0	
	2011	11	1	0	7	0	
	2011	11	2	0	1	0	
	2011	12	1	0	8	0	
	2011	12	2	0	6	0	
	2011	13	1	0	15	0	
	2011	13	2	1	7	0.1428571	
	2011	14	1	0	21	0	
	2011	14	2	0	16	0	
	2011	15	1	0	14	0	
	2011	15	2	0	7	0	
	2011	16	1	0	16	0	
	2011	16	2	0	19	0	
	2011	17	1	2	13	0.1538462	
	2011	17	2	0	6	0	
	2011	18	1	0	6	0	
	2011	18	2	0	2	0	
	2011	19	1	2	3	0.6666667	
	2011	19	2	0	2	0	
	2012	8	1	0	1	0	
	2012	9	1	0	2	0	
	2012	9	2	0	3	0	
	2012	10	1	0	2	0	
	2012	10	2	0	3	0	
	2012	11	1	0	3	0	
	2012	11	2	0	7	0	
	2012	12	1	0	10	0	
	2012	12	2	0	7	0	
	2012	13	1	0	19	0	
	2012	13	2	0	8	0	
	2012	14	1	1	25	0.04	
	2012	14	2	1	10	0.1	
	2012	15	1	0	14	0	
	2012	15	2	0	10	0	
	2012	16	1	0	19	0	
	2012	16	2	0	14	0	
	2012	17	1	1	18	0.05555556	
	2012	17	2	1	11	0.09090909	
	2012	18	1	1	6	0.1666667	
	2012	18	2	2	10	0.2	
	2012	19	2	0	1	0	
	2012	20	2	0	1	0	
	2013	6	1	0	1	0	
	2013	9	1	0	1	0	
	2013	9	2	0	1	0	
	2013	10	1	0	3	0	
	2013	10	2	0	1	0	
	2013	11	1	0	9	0	
	2013	11	2	0	5	0	
	2013	12	1	0	8	0	
	2013	12	2	0	3	0	
	2013	13	1	0	12	0	
	2013	13	2	0	6	0	
	2013	14	1	1	24	0.04166667	
	2013	14	2	0	8	0	
	2013	15	1	1	22	0.04545455	
	2013	15	2	1	11	0.09090909	
	2013	16	1	1	19	0.05263158	
	2013	16	2	0	15	0	
	2013	17	1	1	13	0.07692308	
	2013	17	2	1	16	0.0625	
	2013	18	1	1	8	0.125	
	2013	18	2	0	3	0	
	2013	19	1	1	1	1	
	2013	19	2	0	1	0	
	2014	8	2	0	2	0	
	2014	9	1	0	5	0	
	2014	10	1	0	3	0	
	2014	10	2	0	3	0	
	2014	11	1	0	6	0	
	2014	11	2	0	1	0	
	2014	12	1	0	16	0	
	2014	12	2	0	4	0	
	2014	13	1	0	15	0	
	2014	13	2	0	6	0	
	2014	14	1	0	20	0	
	2014	14	2	0	7	0	
	2014	15	1	0	15	0	
	2014	15	2	0	11	0	
	2014	16	1	1	15	0.06666667	
	2014	16	2	0	8	0	
	2014	17	1	2	15	0.1333333	
	2014	17	2	0	14	0	
	2014	18	1	0	6	0	
	2014	18	2	0	6	0	
	2014	19	2	0	1	0	
	2015	6	2	0	1	0	
	2015	7	2	0	1	0	
	2015	8	1	0	3	0	
	2015	9	1	0	1	0	
	2015	10	1	0	4	0	
	2015	11	1	0	12	0	
	2015	11	2	0	6	0	
	2015	12	1	0	16	0	
	2015	12	2	0	11	0	
	2015	13	1	0	11	0	
	2015	13	2	0	11	0	
	2015	14	1	0	22	0	
	2015	14	2	0	11	0	
	2015	15	1	1	24	0.04166667	
	2015	15	2	0	13	0	
	2015	16	1	2	19	0.1052632	
	2015	16	2	0	12	0	
	2015	17	1	1	13	0.07692308	
	2015	17	2	0	9	0	
	2015	18	1	1	9	0.1111111	
	2015	18	2	1	9	0.1111111	
	2015	19	1	0	3	0	
	2015	19	2	0	2	0	
	2016	6	1	0	3	0	
	2016	7	1	0	5	0	
	2016	7	2	0	3	0	
	2016	8	1	0	3	0	
	2016	8	2	0	5	0	
	2016	9	1	0	11	0	
	2016	9	2	0	16	0	
	2016	10	1	0	21	0	
	2016	10	2	0	19	0	
	2016	11	1	0	29	0	
	2016	11	2	0	25	0	
	2016	12	1	0	71	0	
	2016	12	2	0	49	0	
	2016	13	1	0	83	0	
	2016	13	2	1	29	0.03448276	
	2016	14	1	2	112	0.01785714	
	2016	14	2	0	53	0	
	2016	15	1	3	103	0.02912621	
	2016	15	2	2	56	0.03571429	
	2016	16	1	3	70	0.04285714	
	2016	16	2	0	43	0	
	2016	17	1	4	56	0.07142857	
	2016	17	2	2	42	0.04761905	
	2016	18	1	2	23	0.08695652	
	2016	18	2	0	16	0	
	2016	19	1	3	6	0.5	
	2016	19	2	1	4	0.25	
	2016	20	2	0	2	0	
	2017	5	1	0	1	0	
	2017	6	2	0	1	0	
	2017	7	1	0	1	0	
	2017	7	2	0	4	0	
	2017	8	1	0	7	0	
	2017	8	2	0	7	0	
	2017	9	1	0	6	0	
	2017	9	2	0	8	0	
	2017	10	1	0	26	0	
	2017	10	2	0	12	0	
	2017	11	1	1	51	0.01960784	
	2017	11	2	0	22	0	
	2017	12	1	0	59	0	
	2017	12	2	0	37	0	
	2017	13	1	0	87	0	
	2017	13	2	0	42	0	
	2017	14	1	2	88	0.02272727	
	2017	14	2	2	38	0.05263158	
	2017	15	1	2	87	0.02298851	
	2017	15	2	1	45	0.02222222	
	2017	16	1	2	82	0.02439024	
	2017	16	2	0	35	0	
	2017	17	1	6	63	0.0952381	
	2017	17	2	1	36	0.02777778	
	2017	18	1	3	17	0.1764706	
	2017	18	2	1	20	0.05	
	2017	19	1	0	6	0	
	2017	19	2	1	5	0.2	
	2018	4	2	0	1	0	
	2018	5	1	0	1	0	
	2018	6	1	0	1	0	
	2018	7	1	0	1	0	
	2018	7	2	0	3	0	
	2018	8	1	0	7	0	
	2018	8	2	0	5	0	
	2018	9	1	0	11	0	
	2018	9	2	0	7	0	
	2018	10	1	0	22	0	
	2018	10	2	0	15	0	
	2018	11	1	0	35	0	
	2018	11	2	0	21	0	
	2018	12	1	0	67	0	
	2018	12	2	1	30	0.03333333	
	2018	13	1	0	71	0	
	2018	13	2	1	39	0.02564103	
	2018	14	1	3	90	0.03333333	
	2018	14	2	0	47	0	
	2018	15	1	1	94	0.0106383	
	2018	15	2	0	37	0	
	2018	16	1	3	101	0.02970297	
	2018	16	2	1	42	0.02380952	
	2018	17	1	3	60	0.05	
	2018	17	2	0	36	0	
	2018	18	1	1	26	0.03846154	
	2018	18	2	0	17	0	
	2018	19	1	2	5	0.4	
	2018	19	2	1	7	0.1428571	
	2018	20	2	0	2	0	
	2019	6	1	0	3	0	
	2019	6	2	0	1	0	
	2019	7	1	0	1	0	
	2019	7	2	0	4	0	
	2019	8	1	0	4	0	
	2019	8	2	0	7	0	
	2019	9	1	0	13	0	
	2019	9	2	0	14	0	
	2019	10	1	0	23	0	
	2019	10	2	0	21	0	
	2019	11	1	0	41	0	
	2019	11	2	0	27	0	
	2019	12	1	0	62	0	
	2019	12	2	0	37	0	
	2019	13	1	2	79	0.02531646	
	2019	13	2	0	35	0	
	2019	14	1	1	87	0.01149425	
	2019	14	2	1	43	0.02325581	
	2019	15	1	0	67	0	
	2019	15	2	0	46	0	
	2019	16	1	0	85	0	
	2019	16	2	1	43	0.02325581	
	2019	17	1	4	48	0.08333333	
	2019	17	2	1	26	0.03846154	
	2019	18	1	2	29	0.06896552	
	2019	18	2	0	12	0	
	2019	19	1	0	1	0	
	2019	19	2	0	1	0	
	2019	20	1	1	1	1	
