
	E4_05_M Kolorektale Resektionen bei Divertikel ohne Abszess/Perforation, Mortalität // Résections colorectales pour diverticule sans abcès/perforation, mortalité // Resezioni colorettali per diverticolo senza ascesso/perforazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	2	0	
	2008	6	1	0	5	0	
	2008	6	2	0	2	0	
	2008	7	1	0	21	0	
	2008	7	2	0	2	0	
	2008	8	1	0	28	0	
	2008	8	2	0	9	0	
	2008	9	1	0	66	0	
	2008	9	2	0	39	0	
	2008	10	1	0	91	0	
	2008	10	2	0	70	0	
	2008	11	1	0	107	0	
	2008	11	2	0	108	0	
	2008	12	1	0	137	0	
	2008	12	2	0	194	0	
	2008	13	1	1	146	0.006849315	
	2008	13	2	0	247	0	
	2008	14	1	0	121	0	
	2008	14	2	0	227	0	
	2008	15	1	0	90	0	
	2008	15	2	0	221	0	
	2008	16	1	0	44	0	
	2008	16	2	0	143	0	
	2008	17	1	1	18	0.05555556	
	2008	17	2	0	67	0	
	2008	18	1	1	6	0.1666667	
	2008	18	2	0	21	0	
	2008	19	1	1	2	0.5	
	2008	19	2	0	8	0	
	2008	20	2	0	1	0	
	2009	5	1	0	1	0	
	2009	5	2	0	1	0	
	2009	6	1	0	2	0	
	2009	6	2	0	3	0	
	2009	7	1	0	18	0	
	2009	7	2	0	4	0	
	2009	8	1	0	28	0	
	2009	8	2	0	7	0	
	2009	9	1	0	64	0	
	2009	9	2	0	30	0	
	2009	10	1	0	88	0	
	2009	10	2	0	80	0	
	2009	11	1	0	111	0	
	2009	11	2	0	124	0	
	2009	12	1	0	139	0	
	2009	12	2	1	171	0.005847953	
	2009	13	1	0	150	0	
	2009	13	2	0	185	0	
	2009	14	1	0	121	0	
	2009	14	2	1	223	0.004484305	
	2009	15	1	0	100	0	
	2009	15	2	2	170	0.01176471	
	2009	16	1	3	52	0.05769231	
	2009	16	2	0	128	0	
	2009	17	1	2	25	0.08	
	2009	17	2	1	65	0.01538462	
	2009	18	1	0	9	0	
	2009	18	2	1	14	0.07142857	
	2009	19	1	0	1	0	
	2009	19	2	1	4	0.25	
	2010	5	1	0	1	0	
	2010	5	2	0	1	0	
	2010	6	1	0	7	0	
	2010	6	2	0	3	0	
	2010	7	1	0	10	0	
	2010	7	2	0	2	0	
	2010	8	1	0	35	0	
	2010	8	2	0	9	0	
	2010	9	1	0	51	0	
	2010	9	2	0	23	0	
	2010	10	1	0	87	0	
	2010	10	2	0	66	0	
	2010	11	1	0	127	0	
	2010	11	2	0	118	0	
	2010	12	1	0	134	0	
	2010	12	2	1	136	0.007352941	
	2010	13	1	1	139	0.007194245	
	2010	13	2	0	189	0	
	2010	14	1	0	121	0	
	2010	14	2	0	230	0	
	2010	15	1	1	71	0.01408451	
	2010	15	2	0	155	0	
	2010	16	1	2	53	0.03773585	
	2010	16	2	0	115	0	
	2010	17	1	6	29	0.2068966	
	2010	17	2	2	49	0.04081633	
	2010	18	1	0	6	0	
	2010	18	2	2	26	0.07692308	
	2010	19	1	0	1	0	
	2010	19	2	0	3	0	
	2011	5	1	0	1	0	
	2011	6	1	0	3	0	
	2011	6	2	0	1	0	
	2011	7	1	0	17	0	
	2011	7	2	0	8	0	
	2011	8	1	0	24	0	
	2011	8	2	0	4	0	
	2011	9	1	0	71	0	
	2011	9	2	0	24	0	
	2011	10	1	0	114	0	
	2011	10	2	0	60	0	
	2011	11	1	0	124	0	
	2011	11	2	0	127	0	
	2011	12	1	0	119	0	
	2011	12	2	0	171	0	
	2011	13	1	2	157	0.01273885	
	2011	13	2	0	194	0	
	2011	14	1	0	120	0	
	2011	14	2	1	195	0.005128205	
	2011	15	1	1	78	0.01282051	
	2011	15	2	2	178	0.01123596	
	2011	16	1	1	47	0.0212766	
	2011	16	2	0	119	0	
	2011	17	1	3	22	0.1363636	
	2011	17	2	1	62	0.01612903	
