
	E4_06_M Kolorektale Resektionen bei Divertikel mit Abszess/Perforation, Mortalität // Résections colorectales pour diverticule avec abcès/perforation, mortalité // Resezioni colorettali per diverticolo con ascesso/perforazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	2	0	
	2008	6	1	0	5	0	
	2008	6	2	0	1	0	
	2008	7	1	0	5	0	
	2008	7	2	0	3	0	
	2008	8	1	0	17	0	
	2008	8	2	0	3	0	
	2008	9	1	0	26	0	
	2008	9	2	0	12	0	
	2008	10	1	0	35	0	
	2008	10	2	0	20	0	
	2008	11	1	0	48	0	
	2008	11	2	0	24	0	
	2008	12	1	1	59	0.01694915	
	2008	12	2	1	49	0.02040816	
	2008	13	1	3	58	0.05172414	
	2008	13	2	1	73	0.01369863	
	2008	14	1	0	58	0	
	2008	14	2	4	67	0.05970149	
	2008	15	1	1	55	0.01818182	
	2008	15	2	3	84	0.03571429	
	2008	16	1	2	49	0.04081633	
	2008	16	2	17	105	0.1619048	
	2008	17	1	10	31	0.3225806	
	2008	17	2	6	80	0.075	
	2008	18	1	5	13	0.3846154	
	2008	18	2	5	44	0.1136364	
	2008	19	1	0	1	0	
	2008	19	2	9	25	0.36	
	2008	20	2	0	1	0	
	2009	4	1	0	1	0	
	2009	5	2	0	1	0	
	2009	6	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	8	0	
	2009	7	2	0	1	0	
	2009	8	1	0	25	0	
	2009	8	2	0	1	0	
	2009	9	1	0	38	0	
	2009	9	2	0	10	0	
	2009	10	1	0	30	0	
	2009	10	2	0	19	0	
	2009	11	1	3	55	0.05454545	
	2009	11	2	1	45	0.02222222	
	2009	12	1	0	59	0	
	2009	12	2	0	44	0	
	2009	13	1	4	59	0.06779661	
	2009	13	2	0	66	0	
	2009	14	1	4	60	0.06666667	
	2009	14	2	3	79	0.03797468	
	2009	15	1	4	66	0.06060606	
