
	E4_07_M Kolorektale Resektionen bei Darmischämie, Mortalität // Résections colorectales pour ischémie intestinale, mortalité // Resezione colorettale per ischemia intestinale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	2	2	0	1	0	
	2008	3	2	0	1	0	
	2008	4	2	0	1	0	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	1	0	
	2008	7	1	0	1	0	
	2008	8	1	0	1	0	
	2008	8	2	0	2	0	
	2008	9	1	0	2	0	
	2008	9	2	0	2	0	
	2008	10	1	1	5	0.2	
	2008	11	1	0	5	0	
	2008	11	2	1	5	0.2	
	2008	12	1	4	9	0.4444444	
	2008	12	2	0	3	0	
	2008	13	1	4	20	0.2	
	2008	13	2	4	8	0.5	
	2008	14	1	4	15	0.2666667	
	2008	14	2	1	10	0.1	
	2008	15	1	7	16	0.4375	
	2008	15	2	3	10	0.3	
	2008	16	1	7	17	0.4117647	
	2008	16	2	9	25	0.36	
	2008	17	1	3	9	0.3333333	
	2008	17	2	8	29	0.2758621	
	2008	18	1	4	7	0.5714286	
	2008	18	2	0	5	0	
	2008	19	1	0	2	0	
	2008	19	2	1	2	0.5	
	2008	20	2	1	1	1	
	2009	3	1	1	1	1	
	2009	7	1	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	1	0	
	2009	8	2	0	1	0	
	2009	9	2	0	2	0	
	2009	10	1	1	3	0.3333333	
	2009	10	2	0	1	0	
	2009	11	1	1	6	0.1666667	
	2009	11	2	0	5	0	
	2009	12	1	3	6	0.5	
	2009	12	2	0	4	0	
	2009	13	1	6	10	0.6	
	2009	13	2	2	7	0.2857143	
	2009	14	1	7	20	0.35	
	2009	14	2	4	11	0.3636364	
	2009	15	1	5	13	0.3846154	
	2009	15	2	7	25	0.28	
	2009	16	1	8	14	0.5714286	
	2009	16	2	8	19	0.4210526	
	2009	17	1	5	14	0.3571429	
	2009	17	2	7	16	0.4375	
	2009	18	1	3	8	0.375	
	2009	18	2	3	9	0.3333333	
	2009	19	1	1	2	0.5	
	2009	19	2	1	2	0.5	
	2010	1	2	1	1	1	
	2010	7	1	0	1	0	
	2010	8	1	1	1	1	
	2010	9	1	0	2	0	
	2010	9	2	0	2	0	
	2010	10	1	0	1	0	
	2010	10	2	1	2	0.5	
	2010	11	1	1	6	0.1666667	
	2010	11	2	2	3	0.6666667	
	2010	12	1	0	2	0	
