
	E4_08_M Kolorektale Resektionen bei anderer Diagnose, Mortalität // Résections du côlon pour autre diagnostic, mortalité // Resezioni colorettali per altra diagnosi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	33	0	
	2008	1	2	2	15	0.1333333	
	2008	2	1	0	6	0	
	2008	3	1	0	4	0	
	2008	3	2	0	4	0	
	2008	4	1	0	16	0	
	2008	4	2	0	8	0	
	2008	5	1	1	17	0.05882353	
	2008	5	2	0	11	0	
	2008	6	1	0	18	0	
	2008	6	2	2	19	0.1052632	
	2008	7	1	0	15	0	
	2008	7	2	0	37	0	
	2008	8	1	0	21	0	
	2008	8	2	1	39	0.02564103	
	2008	9	1	1	29	0.03448276	
	2008	9	2	0	66	0	
	2008	10	1	1	51	0.01960784	
	2008	10	2	1	77	0.01298701	
	2008	11	1	0	61	0	
	2008	11	2	3	96	0.03125	
	2008	12	1	3	108	0.02777778	
	2008	12	2	2	144	0.01388889	
	2008	13	1	7	143	0.04895105	
	2008	13	2	6	164	0.03658537	
	2008	14	1	11	141	0.07801418	
	2008	14	2	10	168	0.05952381	
	2008	15	1	10	126	0.07936508	
	2008	15	2	10	202	0.04950495	
	2008	16	1	10	144	0.06944444	
	2008	16	2	16	183	0.08743169	
	2008	17	1	20	92	0.2173913	
	2008	17	2	12	146	0.08219178	
	2008	18	1	5	34	0.1470588	
	2008	18	2	12	85	0.1411765	
	2008	19	1	2	7	0.2857143	
	2008	19	2	2	17	0.1176471	
	2008	20	1	1	1	1	
	2008	20	2	0	3	0	
	2009	1	1	0	34	0	
	2009	1	2	1	13	0.07692308	
	2009	2	1	0	3	0	
	2009	2	2	0	1	0	
	2009	3	1	0	6	0	
	2009	3	2	0	2	0	
	2009	4	1	0	7	0	
	2009	4	2	0	8	0	
	2009	5	1	0	19	0	
	2009	5	2	1	10	0.1	
	2009	6	1	0	13	0	
	2009	6	2	0	20	0	
	2009	7	1	0	22	0	
	2009	7	2	0	37	0	
	2009	8	1	0	17	0	
	2009	8	2	0	39	0	
	2009	9	1	1	48	0.02083333	
	2009	9	2	1	58	0.01724138	
	2009	10	1	0	48	0	
	2009	10	2	1	64	0.015625	
	2009	11	1	4	61	0.06557377	
	2009	11	2	4	107	0.03738318	
	2009	12	1	7	92	0.07608696	
	2009	12	2	4	117	0.03418803	
	2009	13	1	5	128	0.0390625	
	2009	13	2	5	206	0.02427184	
	2009	14	1	9	130	0.06923077	
	2009	14	2	4	168	0.02380952	
	2009	15	1	11	128	0.0859375	
	2009	15	2	11	164	0.06707317	
	2009	16	1	10	99	0.1010101	
	2009	16	2	16	158	0.1012658	
	2009	17	1	15	94	0.1595745	
	2009	17	2	17	146	0.1164384	
	2009	18	1	10	31	0.3225806	
	2009	18	2	19	82	0.2317073	
	2009	19	1	1	1	1	
	2009	19	2	5	23	0.2173913	
	2009	20	2	2	5	0.4	
	2010	1	1	0	35	0	
	2010	1	2	1	8	0.125	
	2010	2	1	0	6	0	
	2010	2	2	0	5	0	
	2010	3	1	0	2	0	
	2010	3	2	0	3	0	
	2010	4	1	0	9	0	
	2010	4	2	0	5	0	
	2010	5	1	0	10	0	
	2010	5	2	0	20	0	
	2010	6	1	0	17	0	
	2010	6	2	0	22	0	
	2010	7	1	0	19	0	
	2010	7	2	0	49	0	
	2010	8	1	0	21	0	
	2010	8	2	0	52	0	
	2010	9	1	0	34	0	
	2010	9	2	1	61	0.01639344	
	2010	10	1	3	60	0.05	
	2010	10	2	0	97	0	
	2010	11	1	3	62	0.0483871	
	2010	11	2	0	86	0	
	2010	12	1	3	79	0.03797468	
	2010	12	2	1	134	0.007462687	
	2010	13	1	4	113	0.03539823	
	2010	13	2	2	154	0.01298701	
	2010	14	1	6	170	0.03529412	
	2010	14	2	4	216	0.01851852	
	2010	15	1	18	136	0.1323529	
	2010	15	2	4	159	0.02515723	
	2010	16	1	11	95	0.1157895	
	2010	16	2	14	147	0.0952381	
	2010	17	1	7	66	0.1060606	
	2010	17	2	30	144	0.2083333	
	2010	18	1	8	27	0.2962963	
	2010	18	2	10	80	0.125	
	2010	19	1	3	10	0.3	
	2010	19	2	2	12	0.1666667	
	2010	20	2	2	4	0.5	
	2011	1	1	2	42	0.04761905	
	2011	1	2	0	13	0	
	2011	2	1	0	4	0	
	2011	2	2	0	2	0	
	2011	3	1	0	2	0	
	2011	3	2	0	4	0	
	2011	4	1	0	7	0	
	2011	4	2	0	7	0	
	2011	5	1	1	19	0.05263158	
	2011	5	2	0	21	0	
	2011	6	1	1	15	0.06666667	
	2011	6	2	0	30	0	
	2011	7	1	0	19	0	
	2011	7	2	0	42	0	
	2011	8	1	0	27	0	
	2011	8	2	1	39	0.02564103	
	2011	9	1	1	32	0.03125	
	2011	9	2	1	49	0.02040816	
	2011	10	1	1	51	0.01960784	
	2011	10	2	2	84	0.02380952	
	2011	11	1	3	77	0.03896104	
	2011	11	2	5	100	0.05	
