
	E4_13_M Kolorektale Resektionen bei Colitis ulcerosa oder Morbus Crohn, Mortalität // Résections colorectales pour colite ulcéreuse ou maladie de Crohn, mortalité // Resezione colorettale per colite ulcerosa o morbo di Crohn, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	3	2	0	2	0	
	2008	4	1	0	3	0	
	2008	4	2	0	1	0	
	2008	5	1	0	5	0	
	2008	5	2	0	9	0	
	2008	6	1	0	17	0	
	2008	6	2	0	15	0	
	2008	7	1	0	16	0	
	2008	7	2	0	11	0	
	2008	8	1	0	11	0	
	2008	8	2	0	8	0	
	2008	9	1	0	14	0	
	2008	9	2	0	11	0	
	2008	10	1	0	12	0	
	2008	10	2	0	19	0	
	2008	11	1	0	10	0	
	2008	11	2	0	14	0	
	2008	12	1	0	12	0	
	2008	12	2	0	8	0	
	2008	13	1	0	8	0	
	2008	13	2	0	9	0	
	2008	14	1	0	7	0	
	2008	14	2	0	2	0	
	2008	15	1	0	4	0	
	2008	15	2	0	10	0	
	2008	16	1	0	5	0	
	2008	16	2	2	6	0.3333333	
	2008	17	1	1	4	0.25	
	2008	17	2	1	4	0.25	
	2008	18	1	0	1	0	
	2008	18	2	1	2	0.5	
	2009	2	1	0	1	0	
	2009	3	2	0	2	0	
	2009	4	1	0	6	0	
	2009	4	2	0	8	0	
	2009	5	1	1	16	0.0625	
	2009	5	2	0	9	0	
	2009	6	1	0	16	0	
	2009	6	2	0	9	0	
	2009	7	1	0	9	0	
	2009	7	2	0	10	0	
	2009	8	1	0	14	0	
	2009	8	2	0	14	0	
	2009	9	1	0	10	0	
	2009	9	2	0	10	0	
	2009	10	1	0	12	0	
	2009	10	2	0	10	0	
	2009	11	1	0	8	0	
	2009	11	2	0	6	0	
	2009	12	1	0	7	0	
	2009	12	2	1	12	0.08333333	
	2009	13	1	0	10	0	
	2009	13	2	0	13	0	
	2009	14	1	0	8	0	
	2009	14	2	0	4	0	
	2009	15	1	1	5	0.2	
	2009	15	2	0	7	0	
	2009	16	1	0	5	0	
	2009	16	2	0	8	0	
	2009	17	2	1	6	0.1666667	
	2009	18	2	1	2	0.5	
	2010	4	1	0	5	0	
	2010	4	2	0	1	0	
	2010	5	1	0	7	0	
	2010	5	2	0	12	0	
	2010	6	1	0	12	0	
	2010	6	2	0	11	0	
	2010	7	1	0	18	0	
	2010	7	2	0	9	0	
	2010	8	1	1	12	0.08333333	
	2010	8	2	0	9	0	
	2010	9	1	0	10	0	
	2010	9	2	0	9	0	
	2010	10	1	0	14	0	
	2010	10	2	0	23	0	
	2010	11	1	0	13	0	
	2010	11	2	0	13	0	
