
	E4_15_M Kolorektale Resektionen (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) ohne tiefe Rektumresektionen mit Anastomoseninsuffizienz, Mortalität // Résections colorectales (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) sans résections profondes du rectum avec insuffisance anastomosique, mortalité // Resezione colorettale (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) senza resezione bassa del retto con deiscenza anastomotica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2015	2	2	0	1	0	
	2015	6	1	0	2	0	
	2015	7	1	0	2	0	
	2015	7	2	0	1	0	
	2015	8	1	0	4	0	
	2015	8	2	0	2	0	
	2015	9	1	0	4	0	
	2015	9	2	0	2	0	
	2015	10	1	0	15	0	
	2015	10	2	0	5	0	
	2015	11	1	0	24	0	
	2015	11	2	0	14	0	
	2015	12	1	2	23	0.08695652	
	2015	12	2	0	6	0	
	2015	13	1	0	22	0	
	2015	13	2	1	11	0.09090909	
	2015	14	1	3	28	0.1071429	
	2015	14	2	1	13	0.07692308	
	2015	15	1	3	34	0.08823529	
	2015	15	2	1	17	0.05882353	
	2015	16	1	2	25	0.08	
	2015	16	2	1	14	0.07142857	
	2015	17	1	4	16	0.25	
	2015	17	2	2	17	0.1176471	
	2015	18	1	2	7	0.2857143	
	2015	18	2	4	8	0.5	
	2015	19	1	2	4	0.5	
	2016	5	1	0	2	0	
	2016	6	1	0	4	0	
	2016	6	2	0	1	0	
	2016	7	1	0	1	0	
	2016	7	2	0	2	0	
	2016	8	1	0	1	0	
	2016	8	2	0	5	0	
	2016	9	1	0	3	0	
	2016	9	2	0	2	0	
	2016	10	1	0	7	0	
	2016	10	2	0	5	0	
	2016	11	1	0	15	0	
	2016	11	2	0	9	0	
	2016	12	1	0	20	0	
	2016	12	2	0	14	0	
	2016	13	1	2	22	0.09090909	
	2016	13	2	0	8	0	
	2016	14	1	0	27	0	
	2016	14	2	0	19	0	
	2016	15	1	2	19	0.1052632	
	2016	15	2	0	16	0	
	2016	16	1	1	21	0.04761905	
	2016	16	2	2	19	0.1052632	
	2016	17	1	7	30	0.2333333	
	2016	17	2	1	24	0.04166667	
	2016	18	1	1	5	0.2	
	2016	18	2	1	10	0.1	
	2016	19	1	0	2	0	
	2016	19	2	1	2	0.5	
	2017	5	1	0	1	0	
	2017	5	2	0	1	0	
	2017	6	1	0	2	0	
	2017	6	2	0	2	0	
	2017	7	1	0	4	0	
	2017	7	2	0	2	0	
	2017	8	1	0	6	0	
	2017	8	2	0	4	0	
	2017	9	1	0	8	0	
	2017	9	2	0	3	0	
	2017	10	1	0	13	0	
	2017	10	2	0	5	0	
	2017	11	1	0	11	0	
	2017	11	2	0	5	0	
	2017	12	1	1	28	0.03571429	
	2017	12	2	0	10	0	
	2017	13	1	2	20	0.1	
	2017	13	2	0	14	0	
	2017	14	1	2	28	0.07142857	
	2017	14	2	1	17	0.05882353	
	2017	15	1	4	32	0.125	
	2017	15	2	2	14	0.1428571	
	2017	16	1	2	21	0.0952381	
	2017	16	2	2	15	0.1333333	
	2017	17	1	6	16	0.375	
	2017	17	2	2	17	0.1176471	
	2017	18	1	3	10	0.3	
	2017	18	2	4	10	0.4	
	2017	19	1	1	2	0.5	
	2017	19	2	1	3	0.3333333	
	2017	20	1	1	1	1	
	2018	5	1	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	2	0	
	2018	6	2	0	2	0	
	2018	7	1	0	4	0	
	2018	7	2	0	2	0	
	2018	8	1	0	4	0	
	2018	8	2	0	1	0	
	2018	9	1	0	9	0	
	2018	9	2	0	2	0	
	2018	10	1	0	14	0	
	2018	10	2	0	8	0	
	2018	11	1	0	8	0	
	2018	11	2	1	10	0.1	
	2018	12	1	0	22	0	
	2018	12	2	1	8	0.125	
	2018	13	1	0	28	0	
	2018	13	2	1	15	0.06666667	
	2018	14	1	1	19	0.05263158	
	2018	14	2	0	13	0	
	2018	15	1	3	24	0.125	
	2018	15	2	1	24	0.04166667	
	2018	16	1	4	20	0.2	
	2018	16	2	1	20	0.05	
	2018	17	1	5	21	0.2380952	
	2018	17	2	0	14	0	
	2018	18	1	2	9	0.2222222	
	2018	18	2	3	9	0.3333333	
	2018	19	1	1	2	0.5	
	2018	19	2	1	2	0.5	
	2019	5	1	0	1	0	
	2019	5	2	0	1	0	
	2019	6	1	0	2	0	
	2019	6	2	0	3	0	
	2019	7	1	0	3	0	
	2019	7	2	0	2	0	
	2019	8	1	0	5	0	
	2019	8	2	0	2	0	
	2019	9	1	0	9	0	
	2019	9	2	0	3	0	
	2019	10	1	0	14	0	
	2019	10	2	0	6	0	
	2019	11	1	0	14	0	
	2019	11	2	0	13	0	
	2019	12	1	0	22	0	
	2019	12	2	0	10	0	
	2019	13	1	2	27	0.07407407	
	2019	13	2	0	15	0	
	2019	14	1	2	21	0.0952381	
	2019	14	2	3	18	0.1666667	
	2019	15	1	2	35	0.05714286	
	2019	15	2	0	24	0	
	2019	16	1	2	22	0.09090909	
	2019	16	2	0	16	0	
	2019	17	1	6	26	0.2307692	
	2019	17	2	3	20	0.15	
	2019	18	1	5	9	0.5555556	
	2019	18	2	3	11	0.2727273	
	2019	19	1	1	3	0.3333333	
	2019	19	2	0	2	0	
	2019	20	2	1	1	1	
