
	E4_16_M Tiefe anteriore Rektumresektionen mit Anastomoseninsuffizienz, Mortalität // Résections antérieures profondes du rectum avec insuffisance anastomosique, mortalité // Resezione anteriore bassa del retto con deiscenza anastomotica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2016	7	1	0	2	0	
	2016	9	1	0	1	0	
	2016	10	1	0	3	0	
	2016	10	2	0	4	0	
	2016	11	1	0	5	0	
	2016	11	2	0	3	0	
	2016	12	1	0	4	0	
	2016	12	2	0	3	0	
	2016	13	1	0	11	0	
	2016	13	2	0	1	0	
	2016	14	1	0	6	0	
	2016	14	2	0	3	0	
	2016	15	1	0	5	0	
	2016	15	2	2	6	0.3333333	
	2016	16	1	0	5	0	
	2016	16	2	1	2	0.5	
	2016	17	1	0	2	0	
	2016	17	2	0	2	0	
	2016	18	1	0	1	0	
	2017	8	1	0	1	0	
	2017	9	1	0	2	0	
	2017	10	1	0	2	0	
	2017	11	1	0	4	0	
	2017	11	2	0	1	0	
	2017	12	1	0	7	0	
	2017	12	2	0	4	0	
	2017	13	1	0	6	0	
	2017	13	2	0	2	0	
	2017	14	1	0	8	0	
	2017	15	1	0	6	0	
	2017	15	2	0	1	0	
	2017	16	1	0	6	0	
	2017	16	2	0	1	0	
	2017	17	1	2	8	0.25	
	2017	17	2	1	5	0.2	
	2017	18	1	1	2	0.5	
	2018	8	1	0	2	0	
	2018	8	2	0	1	0	
	2018	9	1	0	2	0	
	2018	9	2	0	1	0	
	2018	10	1	0	1	0	
	2018	11	1	0	2	0	
	2018	11	2	0	1	0	
	2018	12	1	0	7	0	
	2018	12	2	0	1	0	
	2018	13	1	0	5	0	
	2018	13	2	0	2	0	
	2018	14	1	1	11	0.09090909	
	2018	14	2	0	3	0	
	2018	15	1	0	13	0	
	2018	16	1	0	5	0	
	2018	16	2	0	2	0	
	2018	17	1	1	3	0.3333333	
	2018	17	2	0	1	0	
	2018	19	2	0	1	0	
	2019	9	1	0	2	0	
	2019	9	2	0	2	0	
	2019	10	1	0	4	0	
	2019	10	2	0	1	0	
	2019	11	1	0	3	0	
	2019	11	2	0	1	0	
	2019	12	1	0	6	0	
	2019	12	2	0	3	0	
	2019	13	1	1	4	0.25	
	2019	13	2	0	2	0	
	2019	14	1	0	9	0	
	2019	14	2	0	2	0	
	2019	15	1	0	8	0	
	2019	15	2	0	2	0	
	2019	16	1	0	6	0	
	2019	16	2	0	2	0	
	2019	17	1	0	5	0	
	2019	17	2	1	2	0.5	
	2019	18	1	1	2	0.5	
