
	E5_05_M HD Ulcus von Magen, Duodenum oder Jejunum, ohne Tumor, Mortalität // DP ulcère de l'estomac, du duodénum ou du jéjunum, sans tumeur, mortalité // DP ulcera gastrica, duodenale o digiunale, senza tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	1	0	
	2008	1	2	0	1	0	
	2008	2	1	0	1	0	
	2008	2	2	0	1	0	
	2008	3	1	0	3	0	
	2008	3	2	0	3	0	
	2008	4	1	0	15	0	
	2008	4	2	0	5	0	
	2008	5	1	0	19	0	
	2008	5	2	0	10	0	
	2008	6	1	0	37	0	
	2008	6	2	0	4	0	
	2008	7	1	0	35	0	
	2008	7	2	0	8	0	
	2008	8	1	0	41	0	
	2008	8	2	0	17	0	
	2008	9	1	0	72	0	
	2008	9	2	0	36	0	
	2008	10	1	0	84	0	
	2008	10	2	0	37	0	
	2008	11	1	0	85	0	
	2008	11	2	0	61	0	
	2008	12	1	2	105	0.01904762	
	2008	12	2	1	51	0.01960784	
	2008	13	1	1	120	0.008333333	
	2008	13	2	1	62	0.01612903	
	2008	14	1	3	112	0.02678571	
	2008	14	2	3	72	0.04166667	
	2008	15	1	3	138	0.02173913	
	2008	15	2	5	126	0.03968254	
	2008	16	1	11	157	0.07006369	
	2008	16	2	8	186	0.04301075	
	2008	17	1	10	169	0.0591716	
	2008	17	2	16	226	0.07079646	
	2008	18	1	15	88	0.1704545	
	2008	18	2	13	180	0.07222222	
	2008	19	1	7	33	0.2121212	
	2008	19	2	9	61	0.147541	
	2008	20	1	1	3	0.3333333	
	2008	20	2	3	6	0.5	
	2009	1	1	0	1	0	
	2009	2	1	0	1	0	
	2009	2	2	0	3	0	
	2009	3	1	0	2	0	
	2009	3	2	0	4	0	
	2009	4	1	0	17	0	
	2009	4	2	0	4	0	
	2009	5	1	0	41	0	
	2009	5	2	0	5	0	
	2009	6	1	0	36	0	
	2009	6	2	0	16	0	
	2009	7	1	0	29	0	
	2009	7	2	0	18	0	
	2009	8	1	0	51	0	
	2009	8	2	0	17	0	
	2009	9	1	1	58	0.01724138	
	2009	9	2	0	38	0	
	2009	10	1	0	72	0	
	2009	10	2	0	36	0	
	2009	11	1	0	95	0	
	2009	11	2	1	49	0.02040816	
	2009	12	1	0	74	0	
	2009	12	2	2	57	0.03508772	
	2009	13	1	4	102	0.03921569	
	2009	13	2	3	63	0.04761905	
	2009	14	1	3	118	0.02542373	
	2009	14	2	4	90	0.04444444	
	2009	15	1	8	156	0.05128205	
	2009	15	2	0	123	0	
	2009	16	1	7	140	0.05	
	2009	16	2	11	156	0.07051282	
	2009	17	1	14	155	0.09032258	
	2009	17	2	16	192	0.08333333	
	2009	18	1	11	83	0.1325301	
	2009	18	2	20	182	0.1098901	
	2009	19	1	2	24	0.08333333	
	2009	19	2	5	49	0.1020408	
	2009	20	1	2	12	0.1666667	
	2009	20	2	1	9	0.1111111	
	2010	1	2	0	1	0	
	2010	2	1	0	3	0	
	2010	3	1	0	1	0	
	2010	3	2	0	3	0	
	2010	4	1	0	20	0	
	2010	4	2	0	4	0	
	2010	5	1	0	33	0	
	2010	5	2	0	5	0	
	2010	6	1	0	34	0	
	2010	6	2	0	14	0	
	2010	7	1	0	32	0	
	2010	7	2	0	11	0	
	2010	8	1	0	45	0	
	2010	8	2	0	20	0	
	2010	9	1	0	64	0	
	2010	9	2	0	24	0	
	2010	10	1	0	76	0	
	2010	10	2	1	41	0.02439024	
	2010	11	1	1	97	0.01030928	
	2010	11	2	2	49	0.04081633	
	2010	12	1	0	101	0	
	2010	12	2	1	52	0.01923077	
	2010	13	1	2	121	0.01652893	
	2010	13	2	2	66	0.03030303	
	2010	14	1	5	123	0.04065041	
	2010	14	2	2	83	0.02409639	
	2010	15	1	5	145	0.03448276	
	2010	15	2	3	95	0.03157895	
	2010	16	1	5	155	0.03225806	
	2010	16	2	11	175	0.06285714	
	2010	17	1	19	162	0.117284	
	2010	17	2	15	241	0.06224066	
	2010	18	1	10	117	0.08547009	
	2010	18	2	12	211	0.05687204	
	2010	19	1	4	34	0.1176471	
	2010	19	2	5	84	0.05952381	
	2010	20	1	0	4	0	
	2010	20	2	2	13	0.1538462	
	2011	1	1	0	1	0	
	2011	1	2	0	1	0	
	2011	3	1	0	3	0	
	2011	3	2	0	1	0	
	2011	4	1	0	11	0	
	2011	4	2	0	4	0	
	2011	5	1	0	31	0	
	2011	5	2	0	8	0	
	2011	6	1	0	23	0	
	2011	6	2	0	14	0	
	2011	7	1	0	31	0	
	2011	7	2	0	17	0	
	2011	8	1	1	44	0.02272727	
	2011	8	2	0	23	0	
	2011	9	1	0	51	0	
	2011	9	2	1	19	0.05263158	
	2011	10	1	1	99	0.01010101	
	2011	10	2	0	38	0	
	2011	11	1	1	78	0.01282051	
	2011	11	2	1	51	0.01960784	
	2011	12	1	0	119	0	
	2011	12	2	2	57	0.03508772	
	2011	13	1	1	158	0.006329114	
	2011	13	2	1	69	0.01449275	
	2011	14	1	1	159	0.006289308	
	2011	14	2	5	86	0.05813953	
	2011	15	1	4	147	0.02721088	
	2011	15	2	3	116	0.02586207	
	2011	16	1	12	164	0.07317073	
	2011	16	2	7	143	0.04895105	
	2011	17	1	7	166	0.04216867	
	2011	17	2	10	201	0.04975124	
	2011	18	1	15	126	0.1190476	
	2011	18	2	15	188	0.07978723	
	2011	19	1	4	52	0.07692308	
	2011	19	2	8	81	0.09876543	
	2011	20	1	0	7	0	
	2011	20	2	4	14	0.2857143	
	2012	1	1	0	1	0	
	2012	1	2	0	1	0	
	2012	2	1	0	1	0	
	2012	3	1	0	1	0	
	2012	4	1	0	18	0	
	2012	4	2	0	5	0	
	2012	5	1	0	24	0	
	2012	5	2	0	9	0	
	2012	6	1	0	34	0	
	2012	6	2	0	11	0	
	2012	7	1	0	36	0	
	2012	7	2	0	17	0	
	2012	8	1	0	39	0	
	2012	8	2	0	13	0	
	2012	9	1	1	56	0.01785714	
	2012	9	2	0	29	0	
	2012	10	1	1	93	0.01075269	
	2012	10	2	0	43	0	
	2012	11	1	0	92	0	
	2012	11	2	1	51	0.01960784	
	2012	12	1	3	120	0.025	
	2012	12	2	1	51	0.01960784	
	2012	13	1	3	138	0.02173913	
	2012	13	2	2	66	0.03030303	
	2012	14	1	5	150	0.03333333	
	2012	14	2	2	90	0.02222222	
	2012	15	1	4	173	0.02312139	
	2012	15	2	2	130	0.01538462	
	2012	16	1	10	192	0.05208333	
	2012	16	2	7	195	0.03589744	
	2012	17	1	12	182	0.06593407	
	2012	17	2	11	221	0.04977376	
	2012	18	1	15	150	0.1	
	2012	18	2	11	181	0.06077348	
	2012	19	1	8	46	0.173913	
	2012	19	2	8	100	0.08	
	2012	20	1	3	6	0.5	
	2012	20	2	1	13	0.07692308	
	2013	1	1	0	1	0	
	2013	1	2	0	1	0	
	2013	2	1	0	5	0	
	2013	3	1	0	1	0	
	2013	3	2	0	2	0	
	2013	4	1	0	16	0	
	2013	4	2	0	2	0	
	2013	5	1	0	33	0	
	2013	5	2	0	7	0	
	2013	6	1	0	32	0	
	2013	6	2	0	15	0	
	2013	7	1	0	31	0	
	2013	7	2	0	13	0	
	2013	8	1	0	43	0	
	2013	8	2	0	14	0	
	2013	9	1	0	52	0	
	2013	9	2	0	30	0	
	2013	10	1	0	66	0	
	2013	10	2	0	38	0	
	2013	11	1	2	87	0.02298851	
	2013	11	2	1	44	0.02272727	
	2013	12	1	2	78	0.02564103	
	2013	12	2	0	33	0	
	2013	13	1	2	129	0.01550388	
	2013	13	2	0	38	0	
	2013	14	1	8	147	0.05442177	
	2013	14	2	2	73	0.02739726	
	2013	15	1	3	130	0.02307692	
	2013	15	2	5	113	0.04424779	
	2013	16	1	10	186	0.05376344	
	2013	16	2	4	173	0.02312139	
	2013	17	1	12	173	0.06936416	
	2013	17	2	16	215	0.0744186	
	2013	18	1	8	133	0.06015038	
	2013	18	2	18	221	0.08144796	
	2013	19	1	9	50	0.18	
	2013	19	2	9	85	0.1058824	
	2013	20	1	0	11	0	
	2013	20	2	3	15	0.2	
	2014	1	1	0	1	0	
	2014	1	2	0	1	0	
	2014	2	1	0	2	0	
	2014	2	2	0	1	0	
	2014	3	1	0	1	0	
	2014	3	2	0	2	0	
	2014	4	1	0	11	0	
	2014	4	2	0	2	0	
	2014	5	1	0	27	0	
	2014	5	2	0	10	0	
	2014	6	1	0	42	0	
	2014	6	2	0	18	0	
	2014	7	1	0	28	0	
	2014	7	2	0	18	0	
	2014	8	1	0	47	0	
	2014	8	2	0	21	0	
	2014	9	1	0	37	0	
	2014	9	2	0	25	0	
	2014	10	1	1	64	0.015625	
	2014	10	2	0	45	0	
	2014	11	1	0	99	0	
	2014	11	2	0	55	0	
	2014	12	1	4	103	0.03883495	
	2014	12	2	0	50	0	
	2014	13	1	2	113	0.01769912	
	2014	13	2	2	53	0.03773585	
	2014	14	1	2	143	0.01398601	
	2014	14	2	0	70	0	
	2014	15	1	5	147	0.03401361	
	2014	15	2	3	111	0.02702703	
	2014	16	1	4	170	0.02352941	
	2014	16	2	3	142	0.02112676	
	2014	17	1	9	172	0.05232558	
	2014	17	2	16	224	0.07142857	
	2014	18	1	9	107	0.08411215	
	2014	18	2	15	206	0.07281553	
	2014	19	1	2	41	0.04878049	
	2014	19	2	7	80	0.0875	
	2014	20	1	1	6	0.1666667	
	2014	20	2	4	13	0.3076923	
	2015	1	1	0	3	0	
	2015	2	1	0	1	0	
	2015	2	2	0	1	0	
	2015	3	1	0	2	0	
	2015	3	2	0	1	0	
	2015	4	1	0	19	0	
	2015	4	2	0	4	0	
	2015	5	1	0	17	0	
	2015	5	2	0	12	0	
	2015	6	1	0	29	0	
	2015	6	2	0	12	0	
	2015	7	1	1	38	0.02631579	
	2015	7	2	0	14	0	
	2015	8	1	0	32	0	
	2015	8	2	0	23	0	
	2015	9	1	0	40	0	
	2015	9	2	0	38	0	
	2015	10	1	1	86	0.01162791	
	2015	10	2	0	35	0	
	2015	11	1	1	84	0.01190476	
	2015	11	2	0	48	0	
	2015	12	1	1	98	0.01020408	
	2015	12	2	3	59	0.05084746	
	2015	13	1	1	103	0.009708738	
	2015	13	2	0	60	0	
	2015	14	1	4	135	0.02962963	
	2015	14	2	2	95	0.02105263	
	2015	15	1	4	159	0.02515723	
	2015	15	2	1	93	0.01075269	
	2015	16	1	8	187	0.04278075	
	2015	16	2	7	126	0.05555556	
	2015	17	1	9	193	0.04663212	
	2015	17	2	4	208	0.01923077	
	2015	18	1	15	122	0.1229508	
	2015	18	2	11	187	0.05882353	
	2015	19	1	6	56	0.1071429	
	2015	19	2	4	90	0.04444444	
	2015	20	1	2	5	0.4	
	2015	20	2	0	19	0	
	2016	1	2	0	3	0	
	2016	3	1	0	1	0	
	2016	3	2	0	1	0	
	2016	4	1	0	19	0	
	2016	4	2	0	7	0	
	2016	5	1	0	34	0	
	2016	5	2	0	4	0	
	2016	6	1	0	42	0	
	2016	6	2	0	15	0	
	2016	7	1	0	56	0	
	2016	7	2	0	11	0	
	2016	8	1	0	38	0	
	2016	8	2	0	22	0	
	2016	9	1	0	46	0	
	2016	9	2	1	43	0.02325581	
	2016	10	1	1	76	0.01315789	
	2016	10	2	0	42	0	
	2016	11	1	0	76	0	
	2016	11	2	1	55	0.01818182	
	2016	12	1	0	99	0	
	2016	12	2	1	47	0.0212766	
	2016	13	1	1	96	0.01041667	
	2016	13	2	0	57	0	
	2016	14	1	4	147	0.02721088	
	2016	14	2	3	78	0.03846154	
	2016	15	1	2	169	0.01183432	
	2016	15	2	4	128	0.03125	
	2016	16	1	5	175	0.02857143	
	2016	16	2	5	136	0.03676471	
	2016	17	1	11	200	0.055	
	2016	17	2	15	188	0.07978723	
	2016	18	1	13	137	0.09489051	
	2016	18	2	18	213	0.08450704	
	2016	19	1	6	50	0.12	
	2016	19	2	11	106	0.1037736	
	2016	20	1	0	3	0	
	2016	20	2	1	18	0.05555556	
	2017	1	1	0	4	0	
	2017	2	2	0	1	0	
	2017	3	1	0	1	0	
	2017	4	1	0	15	0	
	2017	4	2	0	3	0	
	2017	5	1	0	31	0	
	2017	5	2	0	10	0	
	2017	6	1	0	21	0	
	2017	6	2	0	11	0	
	2017	7	1	0	34	0	
	2017	7	2	0	17	0	
	2017	8	1	0	47	0	
	2017	8	2	0	21	0	
	2017	9	1	0	53	0	
	2017	9	2	0	34	0	
	2017	10	1	1	78	0.01282051	
	2017	10	2	0	40	0	
	2017	11	1	0	90	0	
	2017	11	2	1	49	0.02040816	
	2017	12	1	0	95	0	
	2017	12	2	0	58	0	
	2017	13	1	1	109	0.009174312	
	2017	13	2	0	70	0	
	2017	14	1	4	121	0.03305785	
	2017	14	2	3	78	0.03846154	
	2017	15	1	3	128	0.0234375	
	2017	15	2	5	112	0.04464286	
	2017	16	1	4	165	0.02424242	
	2017	16	2	6	130	0.04615385	
	2017	17	1	7	207	0.03381643	
	2017	17	2	8	201	0.039801	
	2017	18	1	9	141	0.06382979	
	2017	18	2	20	208	0.09615385	
	2017	19	1	2	39	0.05128205	
	2017	19	2	14	88	0.1590909	
	2017	20	1	2	9	0.2222222	
	2017	20	2	2	17	0.1176471	
	2018	1	1	0	2	0	
	2018	3	1	0	2	0	
	2018	3	2	0	1	0	
	2018	4	1	0	14	0	
	2018	4	2	0	4	0	
	2018	5	1	0	18	0	
	2018	5	2	0	9	0	
	2018	6	1	0	34	0	
	2018	6	2	0	23	0	
	2018	7	1	0	31	0	
	2018	7	2	0	17	0	
	2018	8	1	0	38	0	
	2018	8	2	0	27	0	
	2018	9	1	0	49	0	
	2018	9	2	0	28	0	
	2018	10	1	0	68	0	
	2018	10	2	0	50	0	
	2018	11	1	2	86	0.02325581	
	2018	11	2	0	55	0	
	2018	12	1	0	108	0	
	2018	12	2	2	50	0.04	
	2018	13	1	1	102	0.009803922	
	2018	13	2	0	65	0	
	2018	14	1	1	112	0.008928571	
	2018	14	2	0	81	0	
	2018	15	1	7	173	0.04046243	
	2018	15	2	5	104	0.04807692	
	2018	16	1	10	161	0.0621118	
	2018	16	2	4	163	0.02453988	
	2018	17	1	17	192	0.08854167	
	2018	17	2	9	190	0.04736842	
	2018	18	1	17	174	0.09770115	
	2018	18	2	14	193	0.07253886	
	2018	19	1	5	49	0.1020408	
	2018	19	2	9	93	0.09677419	
	2018	20	1	0	10	0	
	2018	20	2	7	18	0.3888889	
	2019	1	1	0	3	0	
	2019	1	2	0	1	0	
	2019	2	1	0	2	0	
	2019	2	2	0	1	0	
	2019	3	1	0	3	0	
	2019	3	2	0	1	0	
	2019	4	1	0	9	0	
	2019	4	2	0	5	0	
	2019	5	1	0	21	0	
	2019	5	2	0	12	0	
	2019	6	1	0	25	0	
	2019	6	2	0	30	0	
	2019	7	1	0	34	0	
	2019	7	2	0	16	0	
	2019	8	1	0	42	0	
	2019	8	2	0	15	0	
	2019	9	1	1	63	0.01587302	
	2019	9	2	0	37	0	
	2019	10	1	0	61	0	
	2019	10	2	0	52	0	
	2019	11	1	0	101	0	
	2019	11	2	1	36	0.02777778	
	2019	12	1	0	114	0	
	2019	12	2	1	57	0.01754386	
	2019	13	1	1	126	0.007936508	
	2019	13	2	1	58	0.01724138	
	2019	14	1	6	142	0.04225352	
	2019	14	2	2	72	0.02777778	
	2019	15	1	1	144	0.006944444	
	2019	15	2	5	121	0.04132231	
	2019	16	1	1	166	0.006024096	
	2019	16	2	6	150	0.04	
	2019	17	1	14	186	0.07526882	
	2019	17	2	9	214	0.04205607	
	2019	18	1	6	132	0.04545455	
	2019	18	2	11	196	0.05612245	
	2019	19	1	7	69	0.1014493	
	2019	19	2	8	98	0.08163265	
	2019	20	1	1	8	0.125	
	2019	20	2	1	17	0.05882353	
