
	E5_06_M Partielle und totale Magenresektionen bei anderer Diagnose, Mortalität // Gastrectomies partielles ou totales pour autre diagnostic, mortalité // Resezione gastrica parziale o totale per altra diagnosi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	4	1	0	8	0	
	2008	4	2	0	13	0	
	2008	5	1	1	21	0.04761905	
	2008	5	2	0	52	0	
	2008	6	1	0	21	0	
	2008	6	2	0	86	0	
	2008	7	1	0	26	0	
	2008	7	2	0	128	0	
	2008	8	1	0	39	0	
	2008	8	2	0	140	0	
	2008	9	1	0	49	0	
	2008	9	2	0	144	0	
	2008	10	1	0	41	0	
	2008	10	2	0	129	0	
	2008	11	1	1	54	0.01851852	
	2008	11	2	0	107	0	
	2008	12	1	3	54	0.05555556	
	2008	12	2	1	76	0.01315789	
	2008	13	1	2	15	0.1333333	
	2008	13	2	0	53	0	
	2008	14	1	4	24	0.1666667	
	2008	14	2	4	24	0.1666667	
	2008	15	1	1	22	0.04545455	
	2008	15	2	2	19	0.1052632	
	2008	16	1	3	17	0.1764706	
	2008	16	2	0	11	0	
	2008	17	1	3	9	0.3333333	
	2008	17	2	2	9	0.2222222	
	2008	18	1	3	3	1	
	2008	18	2	1	3	0.3333333	
	2008	19	2	0	3	0	
	2008	20	2	1	1	1	
	2009	4	1	0	8	0	
	2009	4	2	0	8	0	
	2009	5	1	0	11	0	
	2009	5	2	0	56	0	
	2009	6	1	0	24	0	
	2009	6	2	0	89	0	
	2009	7	1	0	25	0	
	2009	7	2	0	120	0	
	2009	8	1	0	35	0	
	2009	8	2	1	155	0.006451613	
	2009	9	1	0	71	0	
	2009	9	2	0	157	0	
	2009	10	1	0	65	0	
	2009	10	2	0	132	0	
	2009	11	1	0	56	0	
	2009	11	2	1	123	0.008130081	
	2009	12	1	0	57	0	
	2009	12	2	1	82	0.01219512	
	2009	13	1	2	31	0.06451613	
	2009	13	2	3	56	0.05357143	
	2009	14	1	2	23	0.08695652	
	2009	14	2	2	29	0.06896552	
	2009	15	1	1	14	0.07142857	
	2009	15	2	1	17	0.05882353	
	2009	16	1	5	15	0.3333333	
	2009	16	2	6	25	0.24	
	2009	17	1	2	9	0.2222222	
	2009	17	2	1	14	0.07142857	
	2009	18	1	0	2	0	
	2009	18	2	1	2	0.5	
	2009	19	2	0	1	0	
	2010	2	2	0	1	0	
	2010	3	1	0	1	0	
	2010	4	1	0	8	0	
	2010	4	2	0	10	0	
	2010	5	1	0	16	0	
	2010	5	2	0	75	0	
	2010	6	1	0	19	0	
	2010	6	2	0	94	0	
	2010	7	1	0	34	0	
	2010	7	2	0	107	0	
	2010	8	1	1	64	0.015625	
	2010	8	2	0	144	0	
	2010	9	1	0	66	0	
	2010	9	2	1	172	0.005813953	
	2010	10	1	2	74	0.02702703	
	2010	10	2	0	166	0	
	2010	11	1	2	64	0.03125	
	2010	11	2	1	114	0.00877193	
	2010	12	1	0	52	0	
	2010	12	2	0	94	0	
	2010	13	1	0	47	0	
	2010	13	2	2	63	0.03174603	
	2010	14	1	4	33	0.1212121	
	2010	14	2	1	30	0.03333333	
	2010	15	1	4	23	0.173913	
	2010	15	2	1	12	0.08333333	
	2010	16	1	5	26	0.1923077	
	2010	16	2	1	15	0.06666667	
	2010	17	1	5	10	0.5	
	2010	17	2	5	11	0.4545455	
	2010	18	1	3	4	0.75	
	2010	18	2	1	7	0.1428571	
	2010	19	2	3	4	0.75	
	2011	3	2	0	1	0	
	2011	4	1	0	10	0	
	2011	4	2	0	16	0	
	2011	5	1	0	30	0	
	2011	5	2	0	98	0	
	2011	6	1	0	38	0	
	2011	6	2	0	143	0	
	2011	7	1	0	44	0	
	2011	7	2	0	165	0	
	2011	8	1	0	73	0	
	2011	8	2	0	231	0	
	2011	9	1	0	88	0	
	2011	9	2	1	250	0.004	
	2011	10	1	0	92	0	
	2011	10	2	0	231	0	
	2011	11	1	1	93	0.01075269	
	2011	11	2	1	184	0.005434783	
	2011	12	1	0	80	0	
	2011	12	2	1	142	0.007042254	
	2011	13	1	2	67	0.02985075	
	2011	13	2	0	85	0	
	2011	14	1	1	41	0.02439024	
	2011	14	2	3	59	0.05084746	
	2011	15	1	0	19	0	
	2011	15	2	2	26	0.07692308	
	2011	16	1	5	24	0.2083333	
	2011	16	2	4	16	0.25	
	2011	17	1	2	9	0.2222222	
	2011	17	2	4	18	0.2222222	
	2011	18	1	3	5	0.6	
	2011	18	2	2	4	0.5	
	2012	3	2	0	2	0	
	2012	4	1	0	8	0	
	2012	4	2	0	16	0	
	2012	5	1	0	30	0	
	2012	5	2	0	65	0	
	2012	6	1	0	27	0	
	2012	6	2	1	97	0.01030928	
	2012	7	1	0	34	0	
	2012	7	2	0	125	0	
	2012	8	1	0	47	0	
	2012	8	2	2	147	0.01360544	
	2012	9	1	0	67	0	
	2012	9	2	0	181	0	
	2012	10	1	0	82	0	
	2012	10	2	0	162	0	
	2012	11	1	0	66	0	
	2012	11	2	1	140	0.007142857	
	2012	12	1	0	65	0	
	2012	12	2	0	109	0	
	2012	13	1	2	52	0.03846154	
	2012	13	2	0	81	0	
	2012	14	1	5	43	0.1162791	
	2012	14	2	0	51	0	
	2012	15	1	1	29	0.03448276	
	2012	15	2	1	23	0.04347826	
	2012	16	1	3	17	0.1764706	
	2012	16	2	4	18	0.2222222	
	2012	17	1	4	14	0.2857143	
	2012	17	2	3	14	0.2142857	
	2012	18	1	0	1	0	
	2012	18	2	2	9	0.2222222	
	2012	19	2	0	2	0	
