
	E7_01_M Eingriffe am Pankreas insgesamt (ohne Transplantation, Alter >19), Mortalität // Total des interventions sur le pancréas (sans transplantation, âge >19), mortalité // Interventi al pancreas (senza trapianto, età >19), totale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	1	7	0.1428571	
	2008	5	2	0	2	0	
	2008	6	1	0	4	0	
	2008	6	2	0	2	0	
	2008	7	1	0	1	0	
	2008	7	2	0	2	0	
	2008	8	1	1	11	0.09090909	
	2008	8	2	0	4	0	
	2008	9	1	1	25	0.04	
	2008	9	2	0	14	0	
	2008	10	1	0	24	0	
	2008	10	2	0	23	0	
	2008	11	1	0	43	0	
	2008	11	2	1	20	0.05	
	2008	12	1	2	45	0.04444444	
	2008	12	2	1	34	0.02941176	
	2008	13	1	2	65	0.03076923	
	2008	13	2	4	49	0.08163265	
	2008	14	1	8	56	0.1428571	
	2008	14	2	2	49	0.04081633	
	2008	15	1	5	50	0.1	
	2008	15	2	0	41	0	
	2008	16	1	5	47	0.106383	
	2008	16	2	4	53	0.0754717	
	2008	17	1	2	21	0.0952381	
	2008	17	2	2	19	0.1052632	
	2008	18	1	0	4	0	
	2008	18	2	0	3	0	
	2008	19	1	0	1	0	
	2008	19	2	0	1	0	
	2009	5	1	0	3	0	
	2009	6	2	0	3	0	
	2009	7	1	1	1	1	
	2009	7	2	0	3	0	
	2009	8	1	0	8	0	
	2009	8	2	0	5	0	
	2009	9	1	0	20	0	
	2009	9	2	0	11	0	
	2009	10	1	0	42	0	
	2009	10	2	0	19	0	
	2009	11	1	3	34	0.08823529	
	2009	11	2	1	29	0.03448276	
	2009	12	1	1	49	0.02040816	
	2009	12	2	3	29	0.1034483	
	2009	13	1	7	74	0.09459459	
	2009	13	2	5	50	0.1	
	2009	14	1	3	71	0.04225352	
	2009	14	2	0	51	0	
	2009	15	1	4	58	0.06896552	
	2009	15	2	3	58	0.05172414	
	2009	16	1	8	37	0.2162162	
	2009	16	2	7	54	0.1296296	
	2009	17	1	2	16	0.125	
	2009	17	2	0	23	0	
	2009	18	1	1	3	0.3333333	
	2009	18	2	2	6	0.3333333	
	2009	19	2	1	1	1	
	2010	5	1	0	3	0	
	2010	5	2	0	6	0	
	2010	6	1	0	1	0	
	2010	6	2	0	3	0	
	2010	7	1	0	7	0	
	2010	7	2	0	3	0	
	2010	8	1	1	11	0.09090909	
	2010	8	2	0	10	0	
	2010	9	1	0	23	0	
	2010	9	2	1	17	0.05882353	
	2010	10	1	0	27	0	
	2010	10	2	0	22	0	
	2010	11	1	4	51	0.07843137	
	2010	11	2	2	22	0.09090909	
	2010	12	1	3	36	0.08333333	
	2010	12	2	0	38	0	
	2010	13	1	3	57	0.05263158	
	2010	13	2	3	55	0.05454545	
	2010	14	1	7	79	0.08860759	
	2010	14	2	3	57	0.05263158	
	2010	15	1	13	66	0.1969697	
	2010	15	2	5	39	0.1282051	
	2010	16	1	3	45	0.06666667	
	2010	16	2	4	46	0.08695652	
	2010	17	1	3	18	0.1666667	
	2010	17	2	4	25	0.16	
	2010	18	1	0	5	0	
	2010	18	2	1	5	0.2	
	2011	5	1	0	2	0	
	2011	5	2	0	2	0	
	2011	6	1	0	5	0	
	2011	6	2	0	3	0	
	2011	7	1	0	4	0	
	2011	7	2	0	6	0	
	2011	8	1	1	3	0.3333333	
	2011	8	2	0	5	0	
	2011	9	1	0	19	0	
	2011	9	2	0	15	0	
	2011	10	1	1	23	0.04347826	
	2011	10	2	0	21	0	
	2011	11	1	0	32	0	
	2011	11	2	0	22	0	
	2011	12	1	0	47	0	
	2011	12	2	1	22	0.04545455	
	2011	13	1	3	60	0.05	
	2011	13	2	0	41	0	
	2011	14	1	5	68	0.07352941	
	2011	14	2	4	48	0.08333333	
	2011	15	1	9	66	0.1363636	
	2011	15	2	4	63	0.06349206	
	2011	16	1	3	46	0.06521739	
	2011	16	2	4	42	0.0952381	
	2011	17	1	2	23	0.08695652	
	2011	17	2	4	27	0.1481481	
	2011	18	1	1	6	0.1666667	
	2011	18	2	1	4	0.25	
	2011	19	2	0	2	0	
	2012	5	1	0	2	0	
	2012	5	2	0	5	0	
	2012	6	1	0	4	0	
	2012	6	2	0	3	0	
	2012	7	1	0	7	0	
	2012	7	2	0	7	0	
	2012	8	1	0	8	0	
	2012	8	2	0	5	0	
	2012	9	1	1	15	0.06666667	
	2012	9	2	0	12	0	
	2012	10	1	0	28	0	
	2012	10	2	0	13	0	
	2012	11	1	0	43	0	
	2012	11	2	0	19	0	
	2012	12	1	2	47	0.04255319	
	2012	12	2	3	32	0.09375	
	2012	13	1	1	59	0.01694915	
	2012	13	2	4	62	0.06451613	
	2012	14	1	8	89	0.08988764	
	2012	14	2	1	54	0.01851852	
	2012	15	1	6	62	0.09677419	
	2012	15	2	3	67	0.04477612	
	2012	16	1	8	46	0.173913	
	2012	16	2	5	53	0.09433962	
