
	E7_03_M Pankreasresektionen bei bösartigen Neubildungen des Pankreas (inkl. IPMN, Alter >19), Mortalität // Résections du pancréas en cas de tumeurs malignes du pancréas (TIPMP inclus, âge >19), mortalité // Resezione del pancreas in caso di tumori maligni del pancreas (IPMN inclusi, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	2	0	
	2008	8	2	0	1	0	
	2008	9	1	0	8	0	
	2008	9	2	0	5	0	
	2008	10	1	0	6	0	
	2008	10	2	0	8	0	
	2008	11	1	0	11	0	
	2008	11	2	0	11	0	
	2008	12	1	1	22	0.04545455	
	2008	12	2	0	16	0	
	2008	13	1	2	33	0.06060606	
	2008	13	2	1	23	0.04347826	
	2008	14	1	3	25	0.12	
	2008	14	2	2	32	0.0625	
	2008	15	1	1	28	0.03571429	
	2008	15	2	0	25	0	
	2008	16	1	1	24	0.04166667	
	2008	16	2	0	30	0	
	2008	17	1	2	15	0.1333333	
	2008	17	2	1	13	0.07692308	
	2008	18	1	0	3	0	
	2008	18	2	0	1	0	
	2008	19	1	0	1	0	
	2009	8	1	0	1	0	
	2009	8	2	0	1	0	
	2009	9	1	0	5	0	
	2009	9	2	0	4	0	
	2009	10	1	0	15	0	
	2009	10	2	0	3	0	
	2009	11	1	0	5	0	
	2009	11	2	0	15	0	
	2009	12	1	0	21	0	
	2009	12	2	0	10	0	
	2009	13	1	3	30	0.1	
	2009	13	2	5	30	0.1666667	
	2009	14	1	2	30	0.06666667	
	2009	14	2	0	24	0	
	2009	15	1	0	27	0	
	2009	15	2	1	33	0.03030303	
	2009	16	1	4	21	0.1904762	
	2009	16	2	1	29	0.03448276	
	2009	17	1	2	7	0.2857143	
	2009	17	2	0	16	0	
	2009	18	1	0	1	0	
	2009	18	2	0	2	0	
	2010	5	2	0	1	0	
	2010	7	1	0	1	0	
	2010	7	2	0	2	0	
	2010	8	1	0	2	0	
	2010	9	1	0	3	0	
	2010	9	2	1	5	0.2	
	2010	10	1	0	10	0	
	2010	10	2	0	6	0	
	2010	11	1	2	16	0.125	
	2010	11	2	1	6	0.1666667	
	2010	12	1	1	9	0.1111111	
	2010	12	2	0	18	0	
	2010	13	1	1	31	0.03225806	
	2010	13	2	0	27	0	
	2010	14	1	4	49	0.08163265	
	2010	14	2	2	36	0.05555556	
	2010	15	1	5	33	0.1515152	
	2010	15	2	2	22	0.09090909	
	2010	16	1	0	25	0	
	2010	16	2	1	25	0.04	
	2010	17	1	1	9	0.1111111	
	2010	17	2	2	11	0.1818182	
	2010	18	1	0	2	0	
	2010	18	2	0	1	0	
	2011	5	1	0	1	0	
	2011	7	2	0	2	0	
	2011	8	1	0	2	0	
	2011	8	2	0	2	0	
	2011	9	1	0	4	0	
	2011	9	2	0	5	0	
	2011	10	1	0	5	0	
	2011	10	2	0	11	0	
	2011	11	1	0	14	0	
	2011	11	2	0	9	0	
	2011	12	1	0	20	0	
	2011	12	2	0	11	0	
	2011	13	1	0	33	0	
	2011	13	2	0	17	0	
	2011	14	1	2	37	0.05405405	
	2011	14	2	3	23	0.1304348	
	2011	15	1	3	39	0.07692308	
	2011	15	2	2	37	0.05405405	
	2011	16	1	1	25	0.04	
	2011	16	2	4	22	0.1818182	
	2011	17	1	1	16	0.0625	
	2011	17	2	2	20	0.1	
	2011	18	1	0	2	0	
	2011	18	2	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	3	0	
	2012	7	1	0	3	0	
	2012	7	2	0	2	0	
	2012	8	1	0	2	0	
	2012	9	1	1	10	0.1	
	2012	9	2	0	3	0	
	2012	10	1	0	6	0	
	2012	10	2	0	5	0	
	2012	11	1	0	19	0	
	2012	11	2	0	8	0	
	2012	12	1	0	18	0	
	2012	12	2	2	18	0.1111111	
	2012	13	1	0	34	0	
	2012	13	2	2	30	0.06666667	
	2012	14	1	5	50	0.1	
	2012	14	2	1	29	0.03448276	
	2012	15	1	5	39	0.1282051	
	2012	15	2	1	39	0.02564103	
	2012	16	1	5	23	0.2173913	
	2012	16	2	5	31	0.1612903	
	2012	17	1	1	8	0.125	
	2012	17	2	4	26	0.1538462	
	2012	18	1	1	5	0.2	
	2012	18	2	0	3	0	
	2013	8	1	0	2	0	
	2013	8	2	0	3	0	
	2013	9	1	0	5	0	
