
	E7_05_M Anatomische Leberresektionen (Alter >19), Mortalität // Résections anatomiques du foie (âge >19), mortalité // Resezioni anatomiche del fegato (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2016	5	1	0	2	0	
	2016	6	1	0	5	0	
	2016	6	2	0	6	0	
	2016	7	1	0	2	0	
	2016	7	2	0	4	0	
	2016	8	1	0	8	0	
	2016	8	2	0	9	0	
	2016	9	1	0	7	0	
	2016	9	2	0	9	0	
	2016	10	1	0	11	0	
	2016	10	2	0	6	0	
	2016	11	1	1	18	0.05555556	
	2016	11	2	0	18	0	
	2016	12	1	0	43	0	
	2016	12	2	1	24	0.04166667	
	2016	13	1	0	33	0	
	2016	13	2	0	21	0	
	2016	14	1	2	39	0.05128205	
	2016	14	2	0	21	0	
	2016	15	1	0	43	0	
	2016	15	2	1	17	0.05882353	
	2016	16	1	1	31	0.03225806	
	2016	16	2	0	12	0	
	2016	17	1	3	14	0.2142857	
	2016	17	2	2	10	0.2	
	2016	18	1	1	6	0.1666667	
	2016	18	2	0	1	0	
	2017	5	2	0	1	0	
	2017	6	1	0	2	0	
	2017	6	2	0	2	0	
	2017	7	1	0	3	0	
	2017	7	2	0	7	0	
	2017	8	1	0	3	0	
	2017	8	2	0	7	0	
	2017	9	1	0	2	0	
	2017	9	2	0	1	0	
	2017	10	1	0	6	0	
	2017	10	2	0	11	0	
	2017	11	1	1	21	0.04761905	
	2017	11	2	0	17	0	
	2017	12	1	1	33	0.03030303	
	2017	12	2	0	23	0	
	2017	13	1	0	43	0	
	2017	13	2	1	22	0.04545455	
	2017	14	1	1	61	0.01639344	
	2017	14	2	1	26	0.03846154	
	2017	15	1	3	41	0.07317073	
	2017	15	2	1	21	0.04761905	
	2017	16	1	1	28	0.03571429	
	2017	16	2	1	18	0.05555556	
	2017	17	1	1	20	0.05	
	2017	17	2	0	8	0	
	2017	18	2	0	1	0	
	2018	5	1	0	2	0	
	2018	5	2	0	1	0	
	2018	6	1	0	2	0	
	2018	6	2	0	1	0	
	2018	7	1	0	2	0	
	2018	7	2	0	1	0	
	2018	8	1	0	1	0	
	2018	8	2	0	11	0	
	2018	9	1	0	6	0	
	2018	9	2	0	4	0	
	2018	10	1	0	14	0	
	2018	10	2	1	15	0.06666667	
	2018	11	1	0	18	0	
	2018	11	2	0	14	0	
	2018	12	1	1	31	0.03225806	
	2018	12	2	0	22	0	
	2018	13	1	3	28	0.1071429	
	2018	13	2	0	28	0	
	2018	14	1	1	28	0.03571429	
	2018	14	2	0	26	0	
	2018	15	1	1	29	0.03448276	
	2018	15	2	0	28	0	
	2018	16	1	3	20	0.15	
	2018	16	2	0	15	0	
	2018	17	1	0	6	0	
	2018	17	2	0	11	0	
	2018	18	1	2	4	0.5	
	2018	18	2	2	3	0.6666667	
	2018	19	2	0	1	0	
	2019	5	1	0	1	0	
	2019	5	2	0	3	0	
	2019	6	1	0	2	0	
	2019	6	2	0	2	0	
	2019	7	1	0	1	0	
	2019	7	2	0	4	0	
	2019	8	1	0	6	0	
	2019	8	2	0	7	0	
	2019	9	1	0	3	0	
	2019	9	2	0	8	0	
	2019	10	1	0	9	0	
	2019	10	2	0	11	0	
	2019	11	1	0	14	0	
	2019	11	2	1	14	0.07142857	
	2019	12	1	0	28	0	
	2019	12	2	0	26	0	
	2019	13	1	2	26	0.07692308	
	2019	13	2	0	24	0	
	2019	14	1	5	41	0.1219512	
	2019	14	2	1	29	0.03448276	
	2019	15	1	1	45	0.02222222	
	2019	15	2	1	27	0.03703704	
	2019	16	1	4	32	0.125	
	2019	16	2	0	14	0	
	2019	17	1	0	14	0	
	2019	17	2	1	9	0.1111111	
	2019	18	1	1	1	1	
	2019	18	2	0	4	0	
	2019	19	2	0	1	0	
