
	E7_06_M Anatomische Leberresektionen von 4 und mehr Lebersegmenten (Alter >19), Mortalität // Résections anatomiques du foie avec quatre segments et plus (âge >19), mortalité // Resezioni anatomiche di 4 e più segmenti del fegato (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2016	5	1	0	1	0	
	2016	6	1	0	2	0	
	2016	7	1	0	2	0	
	2016	7	2	0	1	0	
	2016	8	1	0	3	0	
	2016	8	2	0	7	0	
	2016	9	1	0	3	0	
	2016	9	2	0	4	0	
	2016	10	1	0	10	0	
	2016	10	2	0	3	0	
	2016	11	1	1	11	0.09090909	
	2016	11	2	0	9	0	
	2016	12	1	0	28	0	
	2016	12	2	1	16	0.0625	
	2016	13	1	0	20	0	
	2016	13	2	0	14	0	
	2016	14	1	2	26	0.07692308	
	2016	14	2	0	12	0	
	2016	15	1	0	22	0	
	2016	15	2	1	11	0.09090909	
	2016	16	1	1	20	0.05	
	2016	16	2	0	7	0	
	2016	17	1	2	8	0.25	
	2016	17	2	2	4	0.5	
	2016	18	1	0	2	0	
	2016	18	2	0	1	0	
	2017	5	2	0	1	0	
	2017	6	1	0	1	0	
	2017	6	2	0	1	0	
	2017	7	1	0	3	0	
	2017	7	2	0	4	0	
	2017	8	1	0	2	0	
	2017	8	2	0	3	0	
	2017	9	1	0	1	0	
	2017	10	1	0	4	0	
	2017	10	2	0	8	0	
	2017	11	1	1	15	0.06666667	
	2017	11	2	0	10	0	
	2017	12	1	0	21	0	
	2017	12	2	0	9	0	
	2017	13	1	0	22	0	
	2017	13	2	1	14	0.07142857	
	2017	14	1	1	37	0.02702703	
	2017	14	2	0	15	0	
	2017	15	1	3	24	0.125	
	2017	15	2	1	14	0.07142857	
	2017	16	1	1	15	0.06666667	
	2017	16	2	0	12	0	
	2017	17	1	1	12	0.08333333	
	2017	17	2	0	6	0	
	2017	18	2	0	1	0	
	2018	5	1	0	2	0	
	2018	6	1	0	1	0	
	2018	6	2	0	1	0	
	2018	7	1	0	2	0	
	2018	7	2	0	1	0	
	2018	8	1	0	1	0	
	2018	8	2	0	7	0	
	2018	9	1	0	5	0	
	2018	9	2	0	3	0	
	2018	10	1	0	8	0	
	2018	10	2	0	11	0	
	2018	11	1	0	12	0	
	2018	11	2	0	11	0	
	2018	12	1	0	22	0	
	2018	12	2	0	9	0	
	2018	13	1	1	18	0.05555556	
	2018	13	2	0	21	0	
	2018	14	1	1	17	0.05882353	
	2018	14	2	0	23	0	
	2018	15	1	1	18	0.05555556	
	2018	15	2	0	17	0	
	2018	16	1	3	9	0.3333333	
	2018	16	2	0	7	0	
	2018	17	1	0	4	0	
	2018	17	2	0	6	0	
	2018	18	1	1	2	0.5	
	2018	18	2	2	2	1	
	2019	5	2	0	2	0	
	2019	6	1	0	2	0	
	2019	6	2	0	1	0	
	2019	7	1	0	1	0	
	2019	7	2	0	2	0	
	2019	8	1	0	3	0	
	2019	8	2	0	3	0	
	2019	9	1	0	2	0	
	2019	9	2	0	2	0	
	2019	10	1	0	4	0	
	2019	10	2	0	9	0	
	2019	11	1	0	8	0	
	2019	11	2	1	11	0.09090909	
	2019	12	1	0	22	0	
	2019	12	2	0	14	0	
	2019	13	1	1	17	0.05882353	
	2019	13	2	0	16	0	
	2019	14	1	4	22	0.1818182	
	2019	14	2	1	17	0.05882353	
	2019	15	1	1	21	0.04761905	
	2019	15	2	1	14	0.07142857	
	2019	16	1	3	14	0.2142857	
	2019	16	2	0	9	0	
	2019	17	1	0	8	0	
	2019	17	2	1	8	0.125	
	2019	18	2	0	2	0	
