
	E8_01_M Bariatrische Chirurgie, Mortalität // Chirurgie bariatrique, mortalité // Chirurgia bariatrica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	4	1	0	7	0	
	2008	4	2	0	8	0	
	2008	5	1	0	13	0	
	2008	5	2	0	39	0	
	2008	6	1	0	15	0	
	2008	6	2	0	64	0	
	2008	7	1	0	19	0	
	2008	7	2	0	101	0	
	2008	8	1	0	26	0	
	2008	8	2	0	100	0	
	2008	9	1	0	33	0	
	2008	9	2	0	96	0	
	2008	10	1	0	28	0	
	2008	10	2	0	86	0	
	2008	11	1	1	32	0.03125	
	2008	11	2	0	67	0	
	2008	12	1	0	36	0	
	2008	12	2	0	41	0	
	2008	13	1	0	5	0	
	2008	13	2	0	21	0	
	2008	14	2	0	7	0	
	2008	15	2	0	1	0	
	2009	4	1	0	5	0	
	2009	4	2	0	9	0	
	2009	5	1	0	7	0	
	2009	5	2	0	41	0	
	2009	6	1	0	17	0	
	2009	6	2	0	64	0	
	2009	7	1	0	15	0	
	2009	7	2	0	85	0	
	2009	8	1	0	20	0	
	2009	8	2	1	100	0.01	
	2009	9	1	0	50	0	
	2009	9	2	0	91	0	
	2009	10	1	0	39	0	
	2009	10	2	0	85	0	
	2009	11	1	0	31	0	
	2009	11	2	1	76	0.01315789	
	2009	12	1	0	32	0	
	2009	12	2	0	49	0	
	2009	13	1	0	11	0	
	2009	13	2	1	21	0.04761905	
	2009	14	1	0	4	0	
	2009	14	2	0	4	0	
	2009	15	1	0	1	0	
	2010	4	1	0	4	0	
	2010	4	2	0	6	0	
	2010	5	1	0	6	0	
	2010	5	2	0	45	0	
	2010	6	1	0	14	0	
	2010	6	2	0	58	0	
	2010	7	1	0	20	0	
	2010	7	2	0	64	0	
	2010	8	1	1	35	0.02857143	
	2010	8	2	0	92	0	
	2010	9	1	0	38	0	
	2010	9	2	0	97	0	
	2010	10	1	0	34	0	
	2010	10	2	0	99	0	
	2010	11	1	0	24	0	
	2010	11	2	0	54	0	
	2010	12	1	0	18	0	
	2010	12	2	0	48	0	
	2010	13	1	0	13	0	
	2010	13	2	0	23	0	
	2010	14	1	0	2	0	
	2010	14	2	0	5	0	
	2010	15	2	0	1	0	
	2010	16	2	0	1	0	
	2011	4	1	0	7	0	
	2011	4	2	0	12	0	
	2011	5	1	0	23	0	
	2011	5	2	0	77	0	
	2011	6	1	0	30	0	
	2011	6	2	0	116	0	
	2011	7	1	0	34	0	
	2011	7	2	0	136	0	
	2011	8	1	0	62	0	
	2011	8	2	0	180	0	
	2011	9	1	0	72	0	
	2011	9	2	1	186	0.005376344	
	2011	10	1	0	69	0	
	2011	10	2	0	188	0	
	2011	11	1	0	63	0	
	2011	11	2	0	130	0	
	2011	12	1	0	48	0	
	2011	12	2	0	98	0	
	2011	13	1	0	33	0	
	2011	13	2	0	46	0	
	2011	14	1	0	15	0	
	2011	14	2	1	28	0.03571429	
	2011	15	1	0	4	0	
	2011	15	2	0	6	0	
	2012	4	1	0	7	0	
	2012	4	2	0	12	0	
	2012	5	1	0	27	0	
	2012	5	2	0	52	0	
	2012	6	1	0	24	0	
	2012	6	2	1	72	0.01388889	
	2012	7	1	0	29	0	
	2012	7	2	0	88	0	
	2012	8	1	0	33	0	
	2012	8	2	1	105	0.00952381	
	2012	9	1	0	51	0	
	2012	9	2	0	125	0	
	2012	10	1	0	60	0	
	2012	10	2	0	125	0	
	2012	11	1	0	43	0	
	2012	11	2	0	87	0	
	2012	12	1	0	40	0	
	2012	12	2	0	81	0	
	2012	13	1	0	25	0	
	2012	13	2	0	47	0	
	2012	14	1	0	16	0	
	2012	14	2	0	23	0	
	2012	15	1	0	3	0	
	2012	15	2	0	3	0	
	2012	16	1	0	1	0	
	2012	16	2	0	1	0	
	2013	4	1	0	9	0	
	2013	4	2	0	5	0	
	2013	5	1	0	12	0	
	2013	5	2	0	49	0	
	2013	6	1	0	21	0	
	2013	6	2	0	73	0	
	2013	7	1	0	28	0	
	2013	7	2	0	97	0	
	2013	8	1	0	48	0	
	2013	8	2	0	95	0	
	2013	9	1	0	57	0	
	2013	9	2	0	114	0	
	2013	10	1	0	60	0	
	2013	10	2	0	99	0	
	2013	11	1	0	52	0	
	2013	11	2	0	86	0	
	2013	12	1	0	47	0	
	2013	12	2	0	76	0	
	2013	13	1	0	30	0	
	2013	13	2	0	41	0	
	2013	14	1	0	12	0	
	2013	14	2	0	11	0	
	2013	15	1	0	5	0	
	2013	15	2	0	8	0	
	2013	16	2	0	3	0	
	2014	3	2	0	1	0	
	2014	4	1	0	7	0	
	2014	4	2	0	12	0	
	2014	5	1	0	18	0	
	2014	5	2	0	57	0	
	2014	6	1	0	27	0	
	2014	6	2	0	79	0	
	2014	7	1	0	26	0	
	2014	7	2	0	72	0	
	2014	8	1	0	46	0	
	2014	8	2	0	88	0	
	2014	9	1	0	51	0	
	2014	9	2	0	103	0	
	2014	10	1	0	56	0	
	2014	10	2	0	93	0	
