
	F1_06_M Extrakranielle Gefäss­OP A. carotis (Alter >19), Mortalität // OP des vaisseaux extra­crâniens sur l'artère carotide (âge >19), mortalité // OP sui vasi extracranici all'arteria carotide (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	7	1	0	1	0	
	2008	7	2	0	1	0	
	2008	9	1	0	3	0	
	2008	10	1	0	6	0	
	2008	10	2	0	4	0	
	2008	11	1	0	27	0	
	2008	11	2	0	8	0	
	2008	12	1	1	39	0.02564103	
	2008	12	2	0	19	0	
	2008	13	1	0	89	0	
	2008	13	2	0	22	0	
	2008	14	1	0	122	0	
	2008	14	2	1	44	0.02272727	
	2008	15	1	0	157	0	
	2008	15	2	0	72	0	
	2008	16	1	1	151	0.006622517	
	2008	16	2	1	65	0.01538462	
	2008	17	1	0	73	0	
	2008	17	2	0	34	0	
	2008	18	1	0	18	0	
	2008	18	2	0	9	0	
	2008	19	1	0	4	0	
	2009	5	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	0	1	0	
	2009	9	1	0	1	0	
	2009	9	2	0	3	0	
	2009	10	1	0	10	0	
	2009	10	2	0	6	0	
	2009	11	1	0	19	0	
	2009	11	2	0	9	0	
	2009	12	1	0	46	0	
	2009	12	2	0	11	0	
	2009	13	1	0	98	0	
	2009	13	2	0	39	0	
	2009	14	1	0	115	0	
	2009	14	2	0	46	0	
	2009	15	1	3	146	0.02054795	
	2009	15	2	0	65	0	
	2009	16	1	0	146	0	
	2009	16	2	0	65	0	
	2009	17	1	0	70	0	
	2009	17	2	0	40	0	
	2009	18	1	1	19	0.05263158	
	2009	18	2	1	16	0.0625	
	2009	19	1	0	2	0	
	2010	5	1	0	1	0	
	2010	6	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	2	0	1	0	
	2010	10	1	0	5	0	
	2010	10	2	0	3	0	
	2010	11	1	0	26	0	
	2010	11	2	0	5	0	
	2010	12	1	0	47	0	
	2010	12	2	0	18	0	
	2010	13	1	0	92	0	
	2010	13	2	0	27	0	
	2010	14	1	0	111	0	
