
	F1_13_M Weitere extrakranielle Gefäss­OP bei OP an Herz, Aorta, Beinarterien, Trauma oder bei HNO-Malignom (Alter >19), Mortalität // Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur, de l'aorte, des artères des jambes, de traumatisme ou de tumeurs malignes ORL (âge >19), mortalité // Altre OP sui vasi extracranici in caso di OP al cuore, all'aorta, alle arterie delle gambe, di trauma o di tumori maligni ORL (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	1	1	1	
	2008	10	1	0	1	0	
	2008	11	1	0	4	0	
	2008	12	1	0	3	0	
	2008	13	1	1	10	0.1	
	2008	13	2	0	1	0	
	2008	14	1	0	14	0	
	2008	14	2	0	2	0	
	2008	15	1	1	15	0.06666667	
	2008	15	2	0	5	0	
	2008	16	1	1	16	0.0625	
	2008	16	2	1	5	0.2	
	2008	17	1	1	3	0.3333333	
	2008	17	2	0	5	0	
	2008	18	1	0	2	0	
	2009	5	1	0	2	0	
	2009	6	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	1	0	
	2009	11	2	0	2	0	
	2009	12	1	0	6	0	
	2009	12	2	0	1	0	
	2009	13	1	0	7	0	
	2009	13	2	0	1	0	
	2009	14	1	2	14	0.1428571	
	2009	14	2	0	4	0	
	2009	15	1	1	16	0.0625	
	2009	15	2	0	7	0	
	2009	16	1	1	12	0.08333333	
	2009	16	2	0	3	0	
	2009	17	1	1	11	0.09090909	
	2009	17	2	1	3	0.3333333	
	2009	18	1	0	1	0	
	2009	18	2	0	2	0	
	2010	10	1	0	1	0	
	2010	11	1	0	2	0	
	2010	11	2	0	1	0	
	2010	12	1	1	4	0.25	
	2010	12	2	0	1	0	
	2010	13	1	0	10	0	
	2010	13	2	0	2	0	
	2010	14	1	0	13	0	
	2010	14	2	0	5	0	
	2010	15	1	1	11	0.09090909	
	2010	15	2	0	4	0	
	2010	16	1	0	15	0	
	2010	16	2	0	4	0	
	2010	17	1	0	3	0	
	2010	17	2	0	2	0	
	2010	18	1	0	1	0	
	2010	18	2	0	1	0	
	2011	10	2	0	2	0	
	2011	11	1	0	2	0	
	2011	11	2	0	1	0	
	2011	12	1	0	6	0	
	2011	12	2	1	8	0.125	
	2011	13	1	1	17	0.05882353	
	2011	13	2	1	6	0.1666667	
	2011	14	1	1	18	0.05555556	
	2011	14	2	0	6	0	
	2011	15	1	0	17	0	
	2011	15	2	1	5	0.2	
	2011	16	1	1	27	0.03703704	
	2011	16	2	0	8	0	
	2011	17	1	0	9	0	
	2011	17	2	0	6	0	
	2011	18	1	0	1	0	
	2011	18	2	0	1	0	
	2012	6	1	0	2	0	
	2012	7	1	0	1	0	
	2012	9	1	0	1	0	
	2012	9	2	0	1	0	
	2012	10	1	0	2	0	
	2012	10	2	0	2	0	
	2012	11	1	0	5	0	
	2012	11	2	0	3	0	
	2012	12	1	0	5	0	
	2012	12	2	1	4	0.25	
	2012	13	1	0	8	0	
	2012	13	2	0	1	0	
	2012	14	1	1	19	0.05263158	
	2012	14	2	1	5	0.2	
	2012	15	1	2	11	0.1818182	
	2012	15	2	1	3	0.3333333	
	2012	16	1	0	21	0	
	2012	16	2	0	5	0	
	2012	17	1	1	9	0.1111111	
	2012	17	2	0	5	0	
	2012	18	1	0	1	0	
	2013	5	1	0	2	0	
	2013	7	1	0	1	0	
