
	F2_03_M Endovaskuläre Stent­Prothese der abdominalen Aorta bei Aneurysma (EVAR), nicht rupturiert, Mortalität // Prothèse stentgraft endovasculaire de l'aorte abdominale en cas d'anévrisme (EVAR), sans rupture, mortalité // Protesi endovascolare dell'aorta addominale in caso di aneurisma (EVAR), senza lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	11	1	0	2	0	
	2008	12	1	0	11	0	
	2008	13	1	0	22	0	
	2008	13	2	0	3	0	
	2008	14	1	1	56	0.01785714	
	2008	14	2	0	2	0	
	2008	15	1	2	61	0.03278689	
	2008	15	2	1	6	0.1666667	
	2008	16	1	0	60	0	
	2008	16	2	0	5	0	
	2008	17	1	1	49	0.02040816	
	2008	17	2	0	6	0	
	2008	18	1	2	16	0.125	
	2008	18	2	0	2	0	
	2009	11	1	1	6	0.1666667	
	2009	12	1	0	7	0	
	2009	13	1	1	35	0.02857143	
	2009	13	2	0	3	0	
	2009	14	1	0	53	0	
	2009	14	2	0	8	0	
	2009	15	1	0	71	0	
	2009	15	2	0	3	0	
	2009	16	1	3	68	0.04411765	
	2009	16	2	0	11	0	
	2009	17	1	1	45	0.02222222	
	2009	17	2	1	7	0.1428571	
	2009	18	1	1	23	0.04347826	
	2009	18	2	0	2	0	
	2009	19	1	0	1	0	
	2010	9	1	0	1	0	
	2010	10	1	0	1	0	
	2010	11	1	0	4	0	
	2010	12	1	0	20	0	
	2010	12	2	0	1	0	
	2010	13	1	0	39	0	
	2010	14	1	0	52	0	
	2010	14	2	0	4	0	
	2010	15	1	2	77	0.02597403	
	2010	15	2	1	9	0.1111111	
	2010	16	1	0	93	0	
	2010	16	2	1	9	0.1111111	
	2010	17	1	0	49	0	
	2010	17	2	0	8	0	
	2010	18	1	0	21	0	
	2010	18	2	0	3	0	
	2010	19	1	0	1	0	
	2010	19	2	0	1	0	
	2011	9	2	1	1	1	
	2011	10	1	0	3	0	
	2011	11	1	0	5	0	
	2011	12	1	0	22	0	
	2011	12	2	0	1	0	
	2011	13	1	1	37	0.02702703	
	2011	13	2	0	1	0	
	2011	14	1	0	64	0	
	2011	14	2	0	7	0	
	2011	15	1	0	64	0	
	2011	15	2	0	5	0	
	2011	16	1	1	89	0.01123596	
	2011	16	2	0	11	0	
	2011	17	1	2	49	0.04081633	
	2011	17	2	1	13	0.07692308	
	2011	18	1	0	28	0	
	2011	18	2	0	1	0	
	2011	19	1	0	1	0	
	2012	11	1	0	4	0	
	2012	12	1	0	13	0	
	2012	13	1	1	50	0.02	
