
	F2_05_M Aortenaneurysma rupturiert, Mortalität // Anévrisme de l'aorte avec rupture, mortalité // Aneurisma aortico con lacerazione, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	8	1	0	4	0	
	2008	8	2	1	2	0.5	
	2008	9	1	0	2	0	
	2008	9	2	0	2	0	
	2008	10	1	1	4	0.25	
	2008	10	2	0	1	0	
	2008	11	1	3	6	0.5	
	2008	11	2	1	1	1	
	2008	12	1	5	16	0.3125	
	2008	13	1	4	27	0.1481481	
	2008	13	2	1	6	0.1666667	
	2008	14	1	10	29	0.3448276	
	2008	14	2	3	13	0.2307692	
	2008	15	1	15	49	0.3061224	
	2008	15	2	3	6	0.5	
	2008	16	1	19	57	0.3333333	
	2008	16	2	6	21	0.2857143	
	2008	17	1	32	61	0.5245902	
	2008	17	2	17	21	0.8095238	
	2008	18	1	23	28	0.8214286	
	2008	18	2	15	23	0.6521739	
	2008	19	1	8	11	0.7272727	
	2008	19	2	6	8	0.75	
	2008	20	2	1	1	1	
	2009	4	1	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	3	0	
	2009	9	1	0	4	0	
	2009	9	2	1	2	0.5	
	2009	10	1	3	8	0.375	
	2009	10	2	0	2	0	
	2009	11	1	1	6	0.1666667	
	2009	11	2	0	3	0	
	2009	12	1	5	26	0.1923077	
	2009	12	2	2	3	0.6666667	
	2009	13	1	6	33	0.1818182	
	2009	13	2	1	4	0.25	
	2009	14	1	9	52	0.1730769	
	2009	14	2	4	12	0.3333333	
	2009	15	1	17	45	0.3777778	
	2009	15	2	5	14	0.3571429	
	2009	16	1	24	68	0.3529412	
	2009	16	2	9	25	0.36	
	2009	17	1	36	60	0.6	
	2009	17	2	15	23	0.6521739	
	2009	18	1	28	35	0.8	
	2009	18	2	13	23	0.5652174	
	2009	19	1	8	9	0.8888889	
	2009	19	2	4	6	0.6666667	
	2009	20	2	2	4	0.5	
	2010	3	1	0	1	0	
	2010	6	2	0	2	0	
	2010	7	1	0	2	0	
	2010	9	1	0	2	0	
	2010	10	1	1	4	0.25	
	2010	10	2	3	4	0.75	
	2010	11	1	3	8	0.375	
	2010	11	2	0	4	0	
	2010	12	1	5	18	0.2777778	
	2010	12	2	0	3	0	
	2010	13	1	9	37	0.2432432	
	2010	13	2	3	7	0.4285714	
	2010	14	1	15	59	0.2542373	
	2010	14	2	3	7	0.4285714	
	2010	15	1	15	65	0.2307692	
	2010	15	2	1	14	0.07142857	
	2010	16	1	24	66	0.3636364	
	2010	16	2	8	17	0.4705882	
	2010	17	1	38	76	0.5	
	2010	17	2	21	26	0.8076923	
	2010	18	1	21	31	0.6774194	
	2010	18	2	18	23	0.7826087	
	2010	19	1	14	16	0.875	
	2010	19	2	6	7	0.8571429	
	2010	20	1	5	5	1	
	2011	7	1	0	2	0	
	2011	8	1	0	3	0	
	2011	9	2	0	1	0	
	2011	10	1	0	7	0	
	2011	11	1	4	8	0.5	
	2011	11	2	0	1	0	
	2011	12	1	2	19	0.1052632	
	2011	12	2	0	5	0	
	2011	13	1	6	21	0.2857143	
	2011	13	2	2	5	0.4	
	2011	14	1	9	57	0.1578947	
	2011	14	2	1	8	0.125	
	2011	15	1	16	43	0.372093	
	2011	15	2	7	14	0.5	
	2011	16	1	21	58	0.362069	
	2011	16	2	5	21	0.2380952	
	2011	17	1	25	44	0.5681818	
	2011	17	2	12	25	0.48	
	2011	18	1	33	56	0.5892857	
	2011	18	2	13	17	0.7647059	
	2011	19	1	5	8	0.625	
	2011	19	2	7	8	0.875	
	2011	20	1	2	2	1	
	2011	20	2	1	3	0.3333333	
	2012	4	1	0	1	0	
	2012	6	1	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	1	2	0.5	
	2012	9	2	1	1	1	
	2012	10	1	3	7	0.4285714	
	2012	11	1	1	4	0.25	
	2012	11	2	1	3	0.3333333	
	2012	12	1	3	20	0.15	
	2012	12	2	3	5	0.6	
	2012	13	1	8	44	0.1818182	
	2012	13	2	0	2	0	
	2012	14	1	10	54	0.1851852	
	2012	14	2	2	10	0.2	
	2012	15	1	20	48	0.4166667	
	2012	15	2	7	17	0.4117647	
	2012	16	1	28	60	0.4666667	
	2012	16	2	6	24	0.25	
	2012	17	1	22	65	0.3384615	
	2012	17	2	19	29	0.6551724	
	2012	18	1	27	38	0.7105263	
	2012	18	2	16	25	0.64	
	2012	19	1	9	13	0.6923077	
	2012	19	2	8	9	0.8888889	
	2012	20	1	2	2	1	
	2012	20	2	2	3	0.6666667	
	2013	6	1	1	2	0.5	
	2013	7	2	0	1	0	
	2013	8	1	0	2	0	
	2013	9	1	1	1	1	
	2013	9	2	1	1	1	
	2013	10	1	1	4	0.25	
	2013	11	1	0	15	0	
	2013	11	2	1	2	0.5	
	2013	12	1	4	23	0.173913	
	2013	12	2	2	3	0.6666667	
	2013	13	1	5	29	0.1724138	
	2013	13	2	0	3	0	
	2013	14	1	14	42	0.3333333	
	2013	14	2	4	6	0.6666667	
	2013	15	1	13	53	0.245283	
	2013	15	2	6	14	0.4285714	
	2013	16	1	13	50	0.26	
	2013	16	2	11	26	0.4230769	
