
	F2_06_M Aortenaneurysma rupturiert, mit OP, Mortalität // Anévrisme de l'aorte avec rupture, avec OP, mortalité // Aneurisma aortico con lacerazione, con OP, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	8	1	0	1	0	
	2008	9	2	0	1	0	
	2008	10	1	1	3	0.3333333	
	2008	11	1	1	3	0.3333333	
	2008	12	1	1	5	0.2	
	2008	13	1	1	13	0.07692308	
	2008	13	2	0	3	0	
	2008	14	1	5	13	0.3846154	
	2008	14	2	1	4	0.25	
	2008	15	1	3	23	0.1304348	
	2008	15	2	0	3	0	
	2008	16	1	7	26	0.2692308	
	2008	16	2	1	7	0.1428571	
	2008	17	1	9	20	0.45	
	2008	17	2	0	1	0	
	2008	18	1	4	5	0.8	
	2008	18	2	0	2	0	
	2008	19	1	0	1	0	
	2008	19	2	1	1	1	
	2009	9	1	0	1	0	
	2009	10	1	0	2	0	
	2009	12	1	1	8	0.125	
	2009	13	1	2	16	0.125	
	2009	14	1	2	14	0.1428571	
	2009	14	2	1	4	0.25	
	2009	15	1	4	18	0.2222222	
	2009	15	2	0	2	0	
	2009	16	1	2	20	0.1	
	2009	16	2	0	4	0	
	2009	17	1	2	9	0.2222222	
	2009	17	2	3	6	0.5	
	2009	18	1	1	2	0.5	
	2009	18	2	0	2	0	
	2009	19	2	1	1	1	
	2010	6	2	0	1	0	
	2010	7	1	0	1	0	
	2010	9	1	0	1	0	
	2010	11	1	1	3	0.3333333	
	2010	11	2	0	1	0	
	2010	12	1	1	8	0.125	
	2010	12	2	0	1	0	
	2010	13	1	4	22	0.1818182	
	2010	13	2	0	1	0	
	2010	14	1	5	28	0.1785714	
	2010	14	2	1	1	1	
	2010	15	1	3	30	0.1	
	2010	15	2	0	5	0	
	2010	16	1	6	26	0.2307692	
	2010	16	2	0	2	0	
	2010	17	1	9	25	0.36	
	2010	17	2	0	1	0	
	2010	18	1	7	11	0.6363636	
	2010	18	2	0	1	0	
	2011	7	1	0	1	0	
	2011	10	1	0	4	0	
	2011	11	1	1	2	0.5	
	2011	11	2	0	1	0	
	2011	12	1	2	12	0.1666667	
	2011	12	2	0	3	0	
	2011	13	1	3	9	0.3333333	
	2011	13	2	0	2	0	
	2011	14	1	1	21	0.04761905	
	2011	14	2	0	3	0	
	2011	15	1	8	21	0.3809524	
	2011	15	2	5	9	0.5555556	
	2011	16	1	7	28	0.25	
	2011	16	2	1	5	0.2	
	2011	17	1	4	11	0.3636364	
	2011	17	2	0	4	0	
	2011	18	1	4	10	0.4	
	2011	18	2	0	1	0	
	2011	19	1	1	2	0.5	
	2012	8	1	0	1	0	
	2012	8	2	0	1	0	
	2012	10	1	2	5	0.4	
	2012	11	1	0	2	0	
