
	F2_10_M Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta bei Aneurysma, nicht rupturiert, ohne OP am Herzen, Mortalität // Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, sans OP du cœur, mortalité // Resezione/sostituzione dell'aorta toracica/toracicoaddominale in caso di aneurisma, senza lacerazione, senza OP al cuore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	1	0	2	0	
	2008	10	1	0	1	0	
	2008	11	1	0	1	0	
	2008	12	1	1	2	0.5	
	2008	13	1	0	7	0	
	2008	13	2	0	2	0	
	2008	14	1	1	9	0.1111111	
	2008	14	2	0	1	0	
	2008	15	1	0	5	0	
	2008	15	2	0	4	0	
	2008	16	1	0	4	0	
	2008	16	2	0	2	0	
	2008	17	2	1	3	0.3333333	
	2008	18	1	0	1	0	
	2008	18	2	0	1	0	
	2009	8	1	0	3	0	
	2009	11	1	1	3	0.3333333	
	2009	12	1	0	2	0	
	2009	13	1	1	9	0.1111111	
	2009	14	1	1	9	0.1111111	
	2009	14	2	0	4	0	
	2009	15	1	0	15	0	
	2009	15	2	0	4	0	
	2009	16	1	1	13	0.07692308	
	2009	16	2	0	2	0	
	2009	17	1	0	4	0	
	2009	17	2	1	3	0.3333333	
	2009	18	1	0	1	0	
	2009	19	1	0	1	0	
	2010	6	2	0	1	0	
	2010	9	1	0	1	0	
	2010	9	2	0	1	0	
	2010	10	1	0	2	0	
	2010	10	2	0	2	0	
	2010	11	1	1	3	0.3333333	
	2010	12	1	0	4	0	
	2010	13	1	0	8	0	
	2010	13	2	0	6	0	
	2010	14	1	0	4	0	
	2010	14	2	0	3	0	
	2010	15	1	0	8	0	
	2010	15	2	2	7	0.2857143	
	2010	16	1	0	11	0	
	2010	16	2	0	2	0	
	2010	17	1	0	3	0	
	2010	17	2	2	4	0.5	
	2010	18	1	0	3	0	
	2010	18	2	0	2	0	
	2011	5	1	0	2	0	
	2011	7	1	0	1	0	
	2011	8	1	0	6	0	
	2011	8	2	0	2	0	
	2011	9	1	0	6	0	
	2011	9	2	0	2	0	
	2011	10	1	0	13	0	
	2011	10	2	0	1	0	
	2011	11	1	2	11	0.1818182	
	2011	11	2	0	8	0	
	2011	12	1	0	19	0	
	2011	12	2	0	6	0	
	2011	13	1	0	16	0	
	2011	13	2	1	4	0.25	
	2011	14	1	2	21	0.0952381	
	2011	14	2	0	15	0	
	2011	15	1	1	17	0.05882353	
	2011	15	2	1	17	0.05882353	
	2011	16	1	0	18	0	
	2011	16	2	2	16	0.125	
	2011	17	1	2	10	0.2	
	2011	17	2	2	10	0.2	
	2011	18	2	0	2	0	
	2012	4	1	0	1	0	
	2012	6	1	1	1	1	
	2012	7	1	0	1	0	
	2012	7	2	1	1	1	
	2012	8	1	0	1	0	
	2012	9	1	0	4	0	
	2012	10	1	1	9	0.1111111	
	2012	10	2	0	4	0	
	2012	11	1	0	13	0	
	2012	11	2	0	6	0	
	2012	12	1	0	11	0	
	2012	12	2	0	4	0	
	2012	13	1	0	18	0	
	2012	13	2	1	8	0.125	
	2012	14	1	4	31	0.1290323	
	2012	14	2	0	10	0	
	2012	15	1	0	26	0	
	2012	15	2	3	15	0.2	
	2012	16	1	2	26	0.07692308	
	2012	16	2	3	19	0.1578947	
	2012	17	1	0	3	0	
	2012	17	2	2	9	0.2222222	
	2012	18	1	0	3	0	
	2012	18	2	0	2	0	
	2012	19	1	0	1	0	
	2013	1	1	0	1	0	
	2013	7	1	0	1	0	
	2013	8	1	1	2	0.5	
	2013	9	1	0	5	0	
	2013	10	1	0	14	0	
	2013	10	2	0	2	0	
	2013	11	1	1	11	0.09090909	
	2013	11	2	0	5	0	
	2013	12	1	1	18	0.05555556	
	2013	12	2	1	9	0.1111111	
	2013	13	1	4	26	0.1538462	
	2013	13	2	0	5	0	
	2013	14	1	5	34	0.1470588	
	2013	14	2	1	18	0.05555556	
	2013	15	1	1	21	0.04761905	
	2013	15	2	0	18	0	
	2013	16	1	1	42	0.02380952	
	2013	16	2	1	15	0.06666667	
	2013	17	1	0	15	0	
	2013	17	2	1	7	0.1428571	
	2013	18	1	0	5	0	
	2013	18	2	0	1	0	
	2014	5	1	0	1	0	
	2014	6	1	0	1	0	
	2014	7	1	0	1	0	
	2014	8	1	0	3	0	
	2014	8	2	0	1	0	
	2014	9	1	0	7	0	
	2014	9	2	0	3	0	
	2014	10	1	0	6	0	
	2014	11	1	0	11	0	
	2014	11	2	0	3	0	
	2014	12	1	0	8	0	
	2014	12	2	2	10	0.2	
	2014	13	1	0	26	0	
	2014	13	2	0	9	0	
	2014	14	1	4	24	0.1666667	
	2014	14	2	0	12	0	
	2014	15	1	0	30	0	
	2014	15	2	2	21	0.0952381	
	2014	16	1	1	33	0.03030303	
	2014	16	2	0	15	0	
	2014	17	1	0	17	0	
	2014	17	2	1	13	0.07692308	
	2014	18	2	1	2	0.5	
	2014	19	1	0	1	0	
	2015	4	1	0	1	0	
	2015	5	2	0	1	0	
	2015	6	1	0	2	0	
	2015	6	2	0	2	0	
	2015	7	1	0	1	0	
	2015	8	1	0	4	0	
	2015	9	1	0	6	0	
	2015	10	1	1	10	0.1	
	2015	10	2	0	6	0	
	2015	11	1	0	12	0	
	2015	11	2	0	4	0	
	2015	12	1	0	20	0	
	2015	12	2	0	4	0	
	2015	13	1	2	26	0.07692308	
	2015	13	2	1	7	0.1428571	
	2015	14	1	0	22	0	
	2015	14	2	1	11	0.09090909	
	2015	15	1	1	29	0.03448276	
	2015	15	2	1	21	0.04761905	
	2015	16	1	0	31	0	
	2015	16	2	0	16	0	
	2015	17	1	2	16	0.125	
	2015	17	2	2	13	0.1538462	
	2015	18	1	0	2	0	
