
	F2_11_M Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta bei Aneurysma, nicht rupturiert, mit OP am Herzen, Mortalität // Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, avec OP du cœur, mortalité // Resezione/sostituzione dell'aorta toracica/toracicoaddominale in caso di aneurisma, senza lacerazione, con OP al cuore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	1	0	1	0	
	2008	10	1	0	1	0	
	2008	12	1	0	1	0	
	2009	8	1	0	1	0	
	2009	10	2	0	1	0	
	2009	12	2	0	1	0	
	2009	13	1	0	2	0	
	2009	14	1	0	3	0	
	2009	15	1	0	1	0	
	2009	15	2	0	1	0	
	2009	16	1	0	1	0	
	2010	11	1	0	1	0	
	2010	11	2	0	1	0	
	2010	12	1	0	1	0	
	2010	13	1	0	1	0	
	2010	14	1	0	5	0	
	2010	14	2	0	1	0	
	2010	15	1	1	5	0.2	
	2010	16	1	1	3	0.3333333	
	2011	4	1	0	3	0	
	2011	5	2	0	1	0	
	2011	6	1	0	3	0	
	2011	6	2	0	1	0	
	2011	7	1	0	3	0	
	2011	7	2	0	1	0	
	2011	8	1	0	14	0	
	2011	8	2	0	1	0	
	2011	9	1	0	22	0	
	2011	9	2	0	1	0	
	2011	10	1	0	25	0	
	2011	10	2	0	3	0	
	2011	11	1	4	24	0.1666667	
	2011	11	2	1	4	0.25	
	2011	12	1	0	29	0	
	2011	12	2	0	6	0	
	2011	13	1	2	40	0.05	
	2011	13	2	0	6	0	
	2011	14	1	1	48	0.02083333	
	2011	14	2	1	14	0.07142857	
	2011	15	1	1	36	0.02777778	
	2011	15	2	0	12	0	
	2011	16	1	3	26	0.1153846	
	2011	16	2	1	17	0.05882353	
	2011	17	1	2	9	0.2222222	
	2011	17	2	0	10	0	
	2011	18	1	1	1	1	
	2012	5	1	0	1	0	
	2012	6	1	0	2	0	
	2012	7	1	0	5	0	
	2012	7	2	0	2	0	
	2012	8	1	0	9	0	
	2012	8	2	0	3	0	
	2012	9	1	0	13	0	
	2012	9	2	0	2	0	
	2012	10	1	1	26	0.03846154	
	2012	10	2	0	3	0	
	2012	11	1	1	35	0.02857143	
	2012	11	2	0	7	0	
	2012	12	1	1	41	0.02439024	
	2012	12	2	1	8	0.125	
	2012	13	1	0	46	0	
	2012	13	2	0	13	0	
	2012	14	1	5	65	0.07692308	
	2012	14	2	3	19	0.1578947	
	2012	15	1	2	40	0.05	
	2012	15	2	4	23	0.173913	
	2012	16	1	1	33	0.03030303	
	2012	16	2	0	26	0	
	2012	17	1	0	5	0	
	2012	17	2	3	11	0.2727273	
	2012	18	1	0	1	0	
	2012	18	2	1	2	0.5	
	2012	19	2	0	1	0	
	2013	4	1	0	1	0	
	2013	4	2	0	1	0	
	2013	5	1	0	2	0	
	2013	5	2	0	1	0	
	2013	6	1	0	3	0	
	2013	7	1	0	7	0	
	2013	7	2	0	1	0	
	2013	8	1	0	10	0	
	2013	8	2	0	1	0	
	2013	9	1	0	13	0	
	2013	9	2	1	4	0.25	
	2013	10	1	0	26	0	
	2013	10	2	0	7	0	
	2013	11	1	0	28	0	
	2013	11	2	1	5	0.2	
	2013	12	1	2	37	0.05405405	
	2013	12	2	1	10	0.1	
	2013	13	1	1	56	0.01785714	
	2013	13	2	2	12	0.1666667	
	2013	14	1	5	50	0.1	
	2013	14	2	0	20	0	
	2013	15	1	6	51	0.1176471	
	2013	15	2	2	18	0.1111111	
	2013	16	1	3	31	0.09677419	
	2013	16	2	3	27	0.1111111	
	2013	17	1	6	19	0.3157895	
	2013	17	2	3	16	0.1875	
	2013	18	1	0	1	0	
	2013	18	2	0	3	0	
	2014	3	1	0	2	0	
	2014	4	1	0	1	0	
	2014	5	1	0	1	0	
	2014	6	1	0	3	0	
	2014	6	2	0	1	0	
	2014	7	1	0	3	0	
	2014	7	2	0	2	0	
	2014	8	1	0	7	0	
	2014	8	2	0	1	0	
	2014	9	1	0	17	0	
	2014	9	2	1	1	1	
	2014	10	1	0	22	0	
	2014	10	2	0	4	0	
	2014	11	1	4	38	0.1052632	
	2014	11	2	0	12	0	
	2014	12	1	1	39	0.02564103	
	2014	12	2	0	8	0	
	2014	13	1	1	39	0.02564103	
	2014	13	2	1	15	0.06666667	
	2014	14	1	2	64	0.03125	
	2014	14	2	0	15	0	
	2014	15	1	4	49	0.08163265	
	2014	15	2	3	19	0.1578947	
	2014	16	1	3	33	0.09090909	
	2014	16	2	2	25	0.08	
	2014	17	1	1	19	0.05263158	
	2014	17	2	0	5	0	
	2014	18	1	0	2	0	
	2014	18	2	0	1	0	
	2015	3	1	0	1	0	
	2015	4	1	0	1	0	
	2015	5	1	0	1	0	
	2015	6	1	0	4	0	
	2015	6	2	0	1	0	
	2015	7	1	0	2	0	
	2015	8	1	0	9	0	
	2015	8	2	0	2	0	
	2015	9	1	0	9	0	
	2015	9	2	0	2	0	
	2015	10	1	0	20	0	
	2015	10	2	1	3	0.3333333	
	2015	11	1	4	24	0.1666667	
	2015	11	2	0	8	0	
	2015	12	1	1	41	0.02439024	
	2015	12	2	0	14	0	
	2015	13	1	1	48	0.02083333	
	2015	13	2	2	17	0.1176471	
	2015	14	1	2	65	0.03076923	
	2015	14	2	1	23	0.04347826	
	2015	15	1	1	47	0.0212766	
	2015	15	2	1	20	0.05	
	2015	16	1	0	25	0	
	2015	16	2	3	24	0.125	
	2015	17	1	3	20	0.15	
	2015	17	2	1	13	0.07692308	
	2015	18	1	0	1	0	
	2015	18	2	0	2	0	
	2016	1	1	0	1	0	
	2016	6	1	0	2	0	
	2016	6	2	0	1	0	
	2016	7	2	0	1	0	
	2016	8	1	0	6	0	
	2016	9	1	1	13	0.07692308	
	2016	9	2	0	2	0	
	2016	10	1	0	23	0	
	2016	10	2	0	8	0	
	2016	11	1	0	32	0	
	2016	11	2	1	4	0.25	
	2016	12	1	0	39	0	
	2016	12	2	0	13	0	
	2016	13	1	4	63	0.06349206	
	2016	13	2	0	14	0	
	2016	14	1	0	53	0	
	2016	14	2	3	23	0.1304348	
	2016	15	1	4	61	0.06557377	
	2016	15	2	4	29	0.137931	
	2016	16	1	1	32	0.03125	
	2016	16	2	3	16	0.1875	
	2016	17	1	1	6	0.1666667	
	2016	17	2	1	7	0.1428571	
	2016	18	1	0	1	0	
	2016	18	2	0	3	0	
	2017	4	1	0	1	0	
	2017	6	1	0	1	0	
	2017	7	1	0	3	0	
	2017	7	2	0	1	0	
	2017	8	1	0	13	0	
	2017	8	2	0	1	0	
	2017	9	1	0	11	0	
	2017	9	2	0	2	0	
	2017	10	1	1	33	0.03030303	
	2017	10	2	0	3	0	
	2017	11	1	0	38	0	
	2017	11	2	0	4	0	
	2017	12	1	1	39	0.02564103	
	2017	12	2	1	16	0.0625	
	2017	13	1	3	68	0.04411765	
	2017	13	2	0	9	0	
	2017	14	1	1	72	0.01388889	
	2017	14	2	1	23	0.04347826	
	2017	15	1	2	71	0.02816901	
	2017	15	2	3	30	0.1	
	2017	16	1	3	35	0.08571429	
	2017	16	2	2	21	0.0952381	
	2017	17	1	1	18	0.05555556	
	2017	17	2	3	11	0.2727273	
	2017	18	1	2	3	0.6666667	
	2017	18	2	1	2	0.5	
	2018	4	2	0	1	0	
	2018	5	1	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	2	0	
	2018	7	1	0	3	0	
	2018	7	2	0	2	0	
	2018	8	1	0	6	0	
	2018	8	2	0	1	0	
	2018	9	1	1	8	0.125	
	2018	9	2	0	1	0	
	2018	10	1	1	14	0.07142857	
	2018	10	2	0	3	0	
	2018	11	1	2	46	0.04347826	
	2018	11	2	0	10	0	
	2018	12	1	2	50	0.04	
	2018	12	2	0	7	0	
	2018	13	1	3	51	0.05882353	
	2018	13	2	1	21	0.04761905	
	2018	14	1	2	47	0.04255319	
	2018	14	2	2	21	0.0952381	
	2018	15	1	1	71	0.01408451	
	2018	15	2	3	25	0.12	
	2018	16	1	4	44	0.09090909	
	2018	16	2	3	21	0.1428571	
	2018	17	1	0	16	0	
	2018	17	2	1	8	0.125	
	2018	18	2	0	1	0	
	2018	19	1	0	1	0	
	2019	2	1	0	1	0	
	2019	4	1	0	2	0	
