
	F2_12_M Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta ohne Aneurysma, Mortalität // Résection/remplacement de l'aorte thoracique/thoraco­abdominale sans anévrisme, mortalité // Resezione/sostituzione dell'aorta toracica/toracicoaddominale senza aneurisma, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	4	1	0	1	0	
	2008	6	1	0	4	0	
	2008	9	1	0	2	0	
	2008	9	2	0	1	0	
	2008	10	2	0	1	0	
	2008	11	1	0	3	0	
	2008	11	2	0	1	0	
	2008	12	1	0	4	0	
	2008	13	1	1	2	0.5	
	2008	13	2	0	1	0	
	2008	14	1	0	1	0	
	2008	14	2	0	2	0	
	2008	16	1	1	3	0.3333333	
	2008	16	2	0	4	0	
	2008	18	1	0	1	0	
	2009	3	1	0	1	0	
	2009	4	1	0	3	0	
	2009	5	1	0	4	0	
	2009	6	1	0	2	0	
	2009	10	1	0	1	0	
	2009	11	1	0	1	0	
	2009	14	1	0	1	0	
	2009	15	2	0	2	0	
	2009	16	1	0	2	0	
	2010	1	1	0	6	0	
	2010	1	2	0	8	0	
	2010	2	1	0	2	0	
	2010	4	1	0	4	0	
	2010	5	1	0	1	0	
	2010	6	1	0	2	0	
	2010	7	1	0	2	0	
	2010	7	2	0	1	0	
	2010	9	1	0	3	0	
	2010	9	2	0	1	0	
	2010	11	1	0	2	0	
	2010	11	2	0	1	0	
	2010	12	1	1	2	0.5	
	2010	12	2	0	1	0	
	2010	13	2	0	1	0	
	2010	14	1	0	2	0	
	2010	15	1	0	2	0	
	2010	15	2	0	1	0	
	2010	16	1	0	1	0	
	2010	16	2	0	1	0	
	2010	18	1	1	1	1	
	2010	18	2	0	1	0	
	2011	1	1	0	3	0	
	2011	3	1	0	1	0	
	2011	3	2	0	1	0	
	2011	4	1	0	2	0	
	2011	4	2	0	4	0	
	2011	5	1	0	2	0	
	2011	6	2	0	2	0	
	2011	7	1	0	1	0	
	2011	8	1	0	2	0	
	2011	9	1	0	3	0	
	2011	9	2	2	2	1	
	2011	10	1	1	4	0.25	
	2011	11	1	0	6	0	
	2011	12	1	0	5	0	
	2011	13	1	1	6	0.1666667	
	2011	13	2	0	2	0	
	2011	14	1	0	8	0	
	2011	14	2	1	1	1	
	2011	15	1	4	5	0.8	
	2011	16	1	1	3	0.3333333	
	2011	16	2	0	1	0	
	2011	17	2	1	2	0.5	
	2012	1	1	0	7	0	
	2012	1	2	0	2	0	
	2012	2	1	0	1	0	
	2012	3	1	0	4	0	
	2012	3	2	0	2	0	
	2012	4	1	0	2	0	
	2012	4	2	0	1	0	
	2012	5	1	0	1	0	
	2012	5	2	0	1	0	
	2012	6	1	0	6	0	
	2012	6	2	0	2	0	
	2012	8	1	0	3	0	
	2012	8	2	0	2	0	
	2012	9	1	1	3	0.3333333	
	2012	10	1	0	5	0	
	2012	11	1	0	3	0	
	2012	11	2	0	2	0	
	2012	12	1	0	6	0	
	2012	13	1	1	4	0.25	
	2012	13	2	0	2	0	
	2012	14	1	0	4	0	
	2012	14	2	0	1	0	
	2012	15	1	1	5	0.2	
	2012	15	2	0	4	0	
	2012	16	1	0	7	0	
	2012	16	2	1	2	0.5	
	2012	17	1	0	1	0	
	2012	17	2	0	4	0	
	2012	18	1	0	1	0	
	2013	1	1	1	3	0.3333333	
	2013	1	2	0	3	0	
	2013	2	1	0	1	0	
	2013	3	1	0	1	0	
	2013	4	2	0	1	0	
	2013	5	1	0	6	0	
	2013	5	2	0	1	0	
	2013	6	1	1	3	0.3333333	
	2013	6	2	0	2	0	
	2013	7	1	0	1	0	
	2013	8	2	0	1	0	
	2013	9	1	0	2	0	
	2013	9	2	0	2	0	
	2013	10	1	0	1	0	
	2013	11	1	0	3	0	
	2013	12	1	1	6	0.1666667	
	2013	13	1	1	4	0.25	
	2013	14	1	1	2	0.5	
	2013	14	2	0	3	0	
	2013	15	1	1	7	0.1428571	
	2013	15	2	0	1	0	
	2013	16	1	1	3	0.3333333	
	2013	16	2	0	1	0	
	2013	17	1	1	3	0.3333333	
	2013	17	2	1	2	0.5	
	2013	19	2	0	1	0	
	2014	1	1	1	1	1	
	2014	2	2	0	2	0	
	2014	4	1	0	1	0	
	2014	5	1	0	1	0	
	2014	6	1	0	5	0	
	2014	6	2	0	1	0	
	2014	7	1	0	1	0	
	2014	9	1	0	1	0	
	2014	9	2	0	1	0	
	2014	10	1	0	4	0	
	2014	11	1	0	8	0	
	2014	11	2	0	1	0	
	2014	12	1	0	3	0	
	2014	12	2	0	1	0	
	2014	13	1	1	5	0.2	
	2014	13	2	1	5	0.2	
	2014	14	1	1	8	0.125	
	2014	14	2	0	2	0	
	2014	15	1	1	6	0.1666667	
	2014	15	2	0	1	0	
	2014	16	1	0	3	0	
	2014	16	2	1	3	0.3333333	
	2014	17	2	0	1	0	
	2014	18	1	1	1	1	
	2015	1	1	1	2	0.5	
	2015	3	2	0	1	0	
	2015	4	1	0	1	0	
	2015	4	2	0	1	0	
	2015	5	2	0	1	0	
	2015	6	1	0	1	0	
	2015	6	2	0	2	0	
	2015	7	2	0	2	0	
	2015	9	2	1	1	1	
	2015	10	1	0	2	0	
	2015	10	2	0	2	0	
	2015	11	1	1	6	0.1666667	
	2015	11	2	0	2	0	
	2015	12	1	1	4	0.25	
	2015	12	2	0	1	0	
	2015	13	1	0	5	0	
	2015	13	2	0	2	0	
	2015	14	1	1	12	0.08333333	
	2015	14	2	0	2	0	
	2015	15	1	0	7	0	
	2015	16	1	1	8	0.125	
	2015	16	2	0	1	0	
	2015	17	1	0	3	0	
	2015	18	2	0	2	0	
	2016	1	1	0	3	0	
	2016	1	2	0	1	0	
	2016	2	1	0	1	0	
	2016	4	1	0	4	0	
	2016	5	1	0	2	0	
	2016	6	1	0	2	0	
	2016	7	2	0	1	0	
	2016	8	1	0	5	0	
	2016	8	2	0	1	0	
	2016	9	1	0	4	0	
	2016	10	1	0	4	0	
	2016	10	2	0	1	0	
	2016	11	1	0	3	0	
	2016	12	1	0	5	0	
	2016	13	1	0	5	0	
	2016	13	2	0	1	0	
	2016	14	1	1	7	0.1428571	
	2016	14	2	0	3	0	
	2016	15	1	0	7	0	
	2016	15	2	0	2	0	
	2016	16	1	0	5	0	
	2016	16	2	1	2	0.5	
	2016	17	1	0	2	0	
	2016	17	2	1	2	0.5	
	2016	18	1	1	4	0.25	
	2016	18	2	0	1	0	
	2017	1	1	0	1	0	
	2017	2	1	0	1	0	
	2017	3	2	0	1	0	
	2017	4	1	0	3	0	
	2017	6	1	0	3	0	
	2017	7	1	1	1	1	
	2017	8	2	0	1	0	
	2017	9	1	0	2	0	
	2017	9	2	0	1	0	
	2017	10	1	0	1	0	
	2017	11	1	1	6	0.1666667	
	2017	11	2	1	3	0.3333333	
	2017	12	1	0	5	0	
	2017	12	2	0	4	0	
	2017	13	1	1	12	0.08333333	
	2017	13	2	0	3	0	
	2017	14	1	0	10	0	
	2017	14	2	1	1	1	
	2017	15	1	0	6	0	
	2017	16	1	0	4	0	
	2017	16	2	1	3	0.3333333	
	2017	17	1	0	1	0	
	2017	17	2	2	4	0.5	
	2018	3	1	0	1	0	
	2018	4	1	0	1	0	
	2018	5	2	0	2	0	
	2018	6	1	0	1	0	
	2018	6	2	0	2	0	
	2018	9	1	0	5	0	
	2018	10	1	1	4	0.25	
	2018	10	2	0	1	0	
	2018	11	1	0	4	0	
	2018	12	1	1	6	0.1666667	
	2018	12	2	0	3	0	
	2018	13	1	1	8	0.125	
	2018	13	2	0	3	0	
	2018	14	1	1	7	0.1428571	
	2018	14	2	1	3	0.3333333	
	2018	15	1	1	10	0.1	
	2018	15	2	0	3	0	
	2018	16	1	0	3	0	
	2018	16	2	0	2	0	
	2018	17	1	1	7	0.1428571	
	2018	17	2	0	2	0	
	2018	18	2	1	2	0.5	
	2019	1	1	0	2	0	
	2019	1	2	2	2	1	
	2019	3	2	0	1	0	
	2019	4	1	0	3	0	
	2019	4	2	0	3	0	
	2019	5	1	0	1	0	
	2019	6	1	0	1	0	
	2019	7	1	0	1	0	
	2019	7	2	0	2	0	
	2019	8	1	0	2	0	
	2019	8	2	0	1	0	
	2019	9	1	0	1	0	
	2019	10	2	0	1	0	
	2019	11	1	0	3	0	
	2019	12	1	0	4	0	
	2019	12	2	0	2	0	
	2019	13	1	1	5	0.2	
	2019	13	2	1	2	0.5	
	2019	14	1	0	10	0	
	2019	14	2	1	4	0.25	
	2019	15	1	0	6	0	
	2019	15	2	1	5	0.2	
	2019	16	1	1	10	0.1	
	2019	16	2	3	5	0.6	
	2019	17	1	0	2	0	
	2019	17	2	0	1	0	
	2019	18	1	0	1	0	
	2019	18	2	0	2	0	
