
	F3_01_M OP an Becken­/Beinarterien insgesamt, Mortalität // Total des OP des artères du bassin/des jambes, mortalité // OP alle arterie del bacino/delle gambe totale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	2	0	1	0	
	2008	2	1	0	1	0	
	2008	2	2	0	1	0	
	2008	3	1	0	1	0	
	2008	3	2	0	1	0	
	2008	4	1	0	3	0	
	2008	4	2	0	1	0	
	2008	5	1	0	2	0	
	2008	5	2	0	1	0	
	2008	6	1	0	5	0	
	2008	6	2	0	1	0	
	2008	7	1	0	1	0	
	2008	7	2	0	2	0	
	2008	8	1	0	9	0	
	2008	8	2	0	9	0	
	2008	9	1	0	7	0	
	2008	9	2	0	7	0	
	2008	10	1	0	26	0	
	2008	10	2	0	7	0	
	2008	11	1	0	53	0	
	2008	11	2	0	10	0	
	2008	12	1	3	102	0.02941176	
	2008	12	2	0	29	0	
	2008	13	1	5	133	0.03759398	
	2008	13	2	1	26	0.03846154	
	2008	14	1	5	137	0.03649635	
	2008	14	2	2	42	0.04761905	
	2008	15	1	10	147	0.06802721	
	2008	15	2	5	53	0.09433962	
	2008	16	1	6	126	0.04761905	
	2008	16	2	4	64	0.0625	
	2008	17	1	6	84	0.07142857	
	2008	17	2	5	53	0.09433962	
	2008	18	1	8	42	0.1904762	
	2008	18	2	8	64	0.125	
	2008	19	1	1	10	0.1	
	2008	19	2	7	35	0.2	
	2008	20	1	0	3	0	
	2008	20	2	2	5	0.4	
	2009	1	2	0	1	0	
	2009	3	1	0	1	0	
	2009	3	2	0	3	0	
	2009	4	1	0	2	0	
	2009	4	2	0	2	0	
	2009	5	1	0	2	0	
	2009	5	2	0	10	0	
	2009	6	1	0	6	0	
	2009	6	2	0	4	0	
	2009	7	1	1	3	0.3333333	
	2009	7	2	0	3	0	
	2009	8	1	0	5	0	
	2009	8	2	0	4	0	
	2009	9	1	0	13	0	
	2009	9	2	0	12	0	
	2009	10	1	0	26	0	
	2009	10	2	0	14	0	
	2009	11	1	0	60	0	
	2009	11	2	0	15	0	
	2009	12	1	3	97	0.03092784	
	2009	12	2	0	27	0	
	2009	13	1	2	137	0.01459854	
	2009	13	2	3	46	0.06521739	
	2009	14	1	4	152	0.02631579	
	2009	14	2	5	41	0.1219512	
	2009	15	1	8	146	0.05479452	
	2009	15	2	4	49	0.08163265	
	2009	16	1	12	142	0.08450704	
	2009	16	2	2	60	0.03333333	
	2009	17	1	9	102	0.08823529	
	2009	17	2	7	50	0.14	
	2009	18	1	3	41	0.07317073	
	2009	18	2	4	41	0.09756098	
	2009	19	1	0	5	0	
	2009	19	2	5	24	0.2083333	
	2009	20	1	0	3	0	
	2009	20	2	1	5	0.2	
	2010	2	1	1	1	1	
	2010	3	2	0	1	0	
	2010	4	1	0	1	0	
	2010	5	1	0	1	0	
	2010	5	2	0	2	0	
	2010	6	1	0	1	0	
	2010	6	2	0	3	0	
	2010	7	1	1	3	0.3333333	
	2010	7	2	0	3	0	
	2010	8	1	1	9	0.1111111	
	2010	9	1	0	12	0	
	2010	9	2	0	8	0	
	2010	10	1	1	37	0.02702703	
	2010	10	2	0	12	0	
	2010	11	1	0	56	0	
	2010	11	2	0	12	0	
	2010	12	1	1	106	0.009433962	
	2010	12	2	0	12	0	
	2010	13	1	8	155	0.0516129	
	2010	13	2	0	34	0	
	2010	14	1	7	163	0.04294479	
	2010	14	2	1	39	0.02564103	
	2010	15	1	6	131	0.04580153	
	2010	15	2	1	56	0.01785714	
	2010	16	1	8	122	0.06557377	
	2010	16	2	4	55	0.07272727	
	2010	17	1	7	85	0.08235294	
	2010	17	2	7	61	0.1147541	
	2010	18	1	4	38	0.1052632	
	2010	18	2	4	50	0.08	
	2010	19	1	2	14	0.1428571	
	2010	19	2	2	15	0.1333333	
	2010	20	1	1	2	0.5	
	2010	20	2	2	9	0.2222222	
	2011	1	1	0	1	0	
	2011	2	1	0	1	0	
	2011	3	1	0	2	0	
	2011	4	1	0	6	0	
	2011	4	2	0	2	0	
	2011	5	1	0	4	0	
	2011	5	2	0	3	0	
	2011	6	1	0	8	0	
	2011	6	2	0	1	0	
	2011	7	1	0	6	0	
	2011	7	2	0	4	0	
	2011	8	1	0	7	0	
	2011	8	2	0	3	0	
	2011	9	1	0	30	0	
