
	F3_02_M OP an Becken­/Beinarterien bei Claudicatio (Fontaine I+II), Mortalität // OP des artères du bassin/des jambes en cas de claudication (Fontaine I+II), mortalité // OP alle arterie del bacino/delle gambe in caso di claudicatio (Fontaine I+II), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	5	2	0	1	0	
	2009	9	1	0	3	0	
	2009	9	2	0	1	0	
	2009	10	1	0	4	0	
	2009	10	2	0	1	0	
	2009	11	1	0	11	0	
	2009	11	2	0	2	0	
	2009	12	1	1	12	0.08333333	
	2009	12	2	0	3	0	
	2009	13	1	0	19	0	
	2009	13	2	0	5	0	
	2009	14	1	0	13	0	
	2009	14	2	0	5	0	
	2009	15	1	0	10	0	
	2009	15	2	0	8	0	
	2009	16	1	1	7	0.1428571	
	2009	16	2	0	7	0	
	2009	17	1	1	4	0.25	
	2009	17	2	0	1	0	
	2009	18	1	1	2	0.5	
	2009	18	2	0	2	0	
	2010	8	1	0	1	0	
	2010	9	1	0	2	0	
	2010	10	1	0	3	0	
	2010	10	2	0	1	0	
	2010	11	1	0	11	0	
	2010	11	2	0	2	0	
	2010	12	1	0	20	0	
	2010	12	2	0	1	0	
	2010	13	1	0	26	0	
	2010	13	2	0	4	0	
	2010	14	1	2	24	0.08333333	
	2010	14	2	0	6	0	
	2010	15	1	1	16	0.0625	
	2010	15	2	0	6	0	
	2010	16	1	0	10	0	
	2010	16	2	0	3	0	
	2010	17	2	0	6	0	
	2010	18	2	0	1	0	
	2010	19	1	0	1	0	
	2010	20	1	0	1	0	
	2010	20	2	0	1	0	
	2011	4	1	0	1	0	
	2011	6	1	0	1	0	
	2011	7	1	0	1	0	
	2011	8	1	0	2	0	
	2011	8	2	0	1	0	
	2011	9	1	0	6	0	
	2011	9	2	0	3	0	
	2011	10	1	0	12	0	
	2011	10	2	0	2	0	
	2011	11	1	0	33	0	
	2011	11	2	0	8	0	
	2011	12	1	0	58	0	
	2011	12	2	0	16	0	
	2011	13	1	0	87	0	
	2011	13	2	0	21	0	
	2011	14	1	1	130	0.007692308	
	2011	14	2	0	25	0	
	2011	15	1	0	93	0	
	2011	15	2	0	34	0	
	2011	16	1	1	62	0.01612903	
	2011	16	2	1	47	0.0212766	
	2011	17	1	0	36	0	
	2011	17	2	0	28	0	
	2011	18	1	0	4	0	
	2011	18	2	0	18	0	
	2011	19	1	0	1	0	
	2011	19	2	0	1	0	
	2012	7	2	0	1	0	
	2012	9	1	0	5	0	
	2012	9	2	0	1	0	
	2012	10	1	0	9	0	
	2012	10	2	0	2	0	
	2012	11	1	1	28	0.03571429	
	2012	11	2	0	6	0	
	2012	12	1	2	50	0.04	
	2012	12	2	0	12	0	
	2012	13	1	0	87	0	
	2012	13	2	0	24	0	
	2012	14	1	0	104	0	
	2012	14	2	0	34	0	
	2012	15	1	0	110	0	
	2012	15	2	0	33	0	
	2012	16	1	0	86	0	
	2012	16	2	1	28	0.03571429	
	2012	17	1	0	22	0	
	2012	17	2	0	20	0	
	2012	18	1	0	5	0	
	2012	18	2	1	13	0.07692308	
	2012	19	1	0	2	0	
	2012	19	2	0	2	0	
	2012	20	2	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	4	0	
	2013	9	2	0	1	0	
	2013	10	1	0	10	0	
	2013	10	2	0	1	0	
	2013	11	1	0	28	0	
	2013	11	2	0	4	0	
	2013	12	1	0	60	0	
	2013	12	2	0	17	0	
	2013	13	1	0	81	0	
	2013	13	2	0	17	0	
	2013	14	1	0	118	0	
	2013	14	2	1	23	0.04347826	
	2013	15	1	0	90	0	
	2013	15	2	0	38	0	
	2013	16	1	2	68	0.02941176	
	2013	16	2	0	35	0	
	2013	17	1	1	38	0.02631579	
	2013	17	2	1	24	0.04166667	
	2013	18	1	0	11	0	
	2013	18	2	1	13	0.07692308	
	2013	19	1	0	3	0	
	2013	19	2	0	5	0	
	2013	20	2	0	1	0	
	2014	4	1	0	1	0	
	2014	4	2	0	1	0	
	2014	7	2	0	1	0	
	2014	9	1	0	2	0	
	2014	10	1	0	11	0	
	2014	10	2	0	9	0	
	2014	11	1	0	32	0	
	2014	11	2	0	8	0	
	2014	12	1	1	57	0.01754386	
	2014	12	2	0	8	0	
	2014	13	1	0	75	0	
	2014	13	2	0	21	0	
	2014	14	1	1	118	0.008474576	
	2014	14	2	0	39	0	
	2014	15	1	1	106	0.009433962	
	2014	15	2	1	43	0.02325581	
	2014	16	1	0	79	0	
	2014	16	2	0	36	0	
	2014	17	1	1	40	0.025	
	2014	17	2	0	23	0	
	2014	18	1	0	7	0	
	2014	18	2	0	7	0	
	2014	19	1	0	1	0	
	2014	19	2	0	3	0	
	2015	8	1	0	2	0	
	2015	9	1	0	3	0	
	2015	9	2	0	3	0	
	2015	10	1	0	13	0	
	2015	10	2	0	1	0	
	2015	11	1	0	22	0	
	2015	11	2	0	8	0	
	2015	12	1	0	51	0	
	2015	12	2	0	10	0	
	2015	13	1	1	90	0.01111111	
	2015	13	2	0	20	0	
	2015	14	1	1	121	0.008264463	
	2015	14	2	0	42	0	
	2015	15	1	0	102	0	
	2015	15	2	1	42	0.02380952	
	2015	16	1	0	86	0	
	2015	16	2	0	45	0	
	2015	17	1	2	43	0.04651163	
	2015	17	2	1	29	0.03448276	
	2015	18	1	0	12	0	
	2015	18	2	0	13	0	
	2015	19	1	1	3	0.3333333	
	2015	19	2	0	1	0	
	2015	20	1	0	1	0	
	2016	8	2	0	2	0	
	2016	9	1	0	4	0	
	2016	9	2	0	2	0	
	2016	10	1	0	9	0	
	2016	10	2	0	3	0	
	2016	11	1	0	29	0	
	2016	11	2	0	7	0	
	2016	12	1	0	54	0	
	2016	12	2	0	8	0	
	2016	13	1	0	83	0	
	2016	13	2	0	27	0	
	2016	14	1	0	119	0	
	2016	14	2	0	34	0	
	2016	15	1	1	101	0.00990099	
	2016	15	2	1	29	0.03448276	
	2016	16	1	1	74	0.01351351	
	2016	16	2	0	34	0	
	2016	17	1	1	45	0.02222222	
	2016	17	2	0	26	0	
	2016	18	1	0	6	0	
	2016	18	2	0	10	0	
	2016	19	1	0	1	0	
	2016	19	2	0	5	0	
	2016	20	1	0	1	0	
	2017	8	1	0	1	0	
	2017	9	1	0	3	0	
	2017	9	2	0	1	0	
	2017	10	1	0	11	0	
	2017	10	2	0	2	0	
	2017	11	1	0	37	0	
	2017	11	2	0	8	0	
	2017	12	1	0	57	0	
	2017	12	2	0	13	0	
	2017	13	1	0	80	0	
	2017	13	2	0	22	0	
	2017	14	1	1	112	0.008928571	
	2017	14	2	0	30	0	
	2017	15	1	3	127	0.02362205	
	2017	15	2	0	39	0	
	2017	16	1	0	106	0	
	2017	16	2	0	37	0	
	2017	17	1	0	47	0	
	2017	17	2	1	33	0.03030303	
	2017	18	1	0	9	0	
	2017	18	2	0	15	0	
	2017	19	1	0	3	0	
	2017	20	2	0	1	0	
	2018	7	1	0	2	0	
	2018	8	1	0	2	0	
	2018	9	1	0	1	0	
	2018	10	1	0	6	0	
	2018	10	2	0	1	0	
	2018	11	1	0	22	0	
	2018	11	2	0	5	0	
