
	F3_04_M OP an Becken­/Beinarterien bei Ulzeration oder Gangrän (Fontaine IV), Mortalität // OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène (Fontaine IV), mortalité // OP alle arterie del bacino/delle gambe in caso di ulcera o cancrena (Fontaine IV), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	10	2	0	1	0	
	2009	12	1	0	1	0	
	2009	13	1	0	1	0	
	2009	14	1	0	4	0	
	2009	15	1	0	2	0	
	2009	15	2	0	1	0	
	2009	16	1	0	2	0	
	2009	16	2	0	2	0	
	2009	17	1	0	1	0	
	2009	17	2	1	2	0.5	
	2009	18	2	0	2	0	
	2010	9	2	0	1	0	
	2010	12	1	0	2	0	
	2010	13	1	0	4	0	
	2010	14	1	0	7	0	
	2010	14	2	0	1	0	
	2010	15	1	0	3	0	
	2010	15	2	0	2	0	
	2010	16	1	0	5	0	
	2010	16	2	0	1	0	
	2010	17	1	0	1	0	
	2010	17	2	0	5	0	
	2010	18	1	0	2	0	
	2010	18	2	0	3	0	
	2010	20	2	0	1	0	
	2011	11	1	0	5	0	
	2011	11	2	0	2	0	
	2011	12	1	0	5	0	
	2011	12	2	0	3	0	
	2011	13	1	0	18	0	
	2011	13	2	0	4	0	
	2011	14	1	1	16	0.0625	
	2011	14	2	0	9	0	
	2011	15	1	0	24	0	
	2011	15	2	0	11	0	
	2011	16	1	1	29	0.03448276	
	2011	16	2	2	24	0.08333333	
	2011	17	1	3	32	0.09375	
	2011	17	2	1	26	0.03846154	
	2011	18	1	0	9	0	
	2011	18	2	1	17	0.05882353	
	2011	19	1	0	3	0	
	2011	19	2	0	12	0	
	2012	9	1	0	1	0	
	2012	11	1	0	4	0	
	2012	11	2	0	1	0	
	2012	12	1	0	12	0	
	2012	12	2	0	2	0	
	2012	13	1	0	14	0	
	2012	13	2	0	3	0	
	2012	14	1	0	26	0	
	2012	14	2	0	11	0	
	2012	15	1	3	29	0.1034483	
	2012	15	2	0	9	0	
	2012	16	1	0	27	0	
	2012	16	2	1	18	0.05555556	
	2012	17	1	2	26	0.07692308	
	2012	17	2	0	19	0	
	2012	18	1	0	19	0	
	2012	18	2	3	26	0.1153846	
	2012	19	1	0	4	0	
	2012	19	2	0	7	0	
	2012	20	1	0	3	0	
	2013	9	1	0	1	0	
	2013	10	1	0	3	0	
	2013	10	2	0	1	0	
	2013	11	1	0	1	0	
	2013	11	2	0	1	0	
	2013	12	1	0	5	0	
	2013	12	2	0	3	0	
	2013	13	1	1	13	0.07692308	
	2013	13	2	0	3	0	
	2013	14	1	2	19	0.1052632	
	2013	14	2	0	9	0	
	2013	15	1	3	25	0.12	
	2013	15	2	0	10	0	
	2013	16	1	2	33	0.06060606	
	2013	16	2	0	14	0	
	2013	17	1	2	33	0.06060606	
	2013	17	2	1	12	0.08333333	
	2013	18	1	0	10	0	
	2013	18	2	1	24	0.04166667	
	2013	19	1	0	1	0	
	2013	19	2	0	7	0	
	2013	20	2	0	1	0	
	2014	8	2	0	1	0	
	2014	10	1	0	2	0	
	2014	11	1	0	6	0	
	2014	11	2	0	3	0	
	2014	12	1	0	7	0	
	2014	12	2	1	4	0.25	
	2014	13	1	0	13	0	
	2014	13	2	0	4	0	
	2014	14	1	2	34	0.05882353	
	2014	14	2	0	7	0	
	2014	15	1	0	27	0	
	2014	15	2	1	17	0.05882353	
	2014	16	1	4	35	0.1142857	
	2014	16	2	1	17	0.05882353	
	2014	17	1	2	29	0.06896552	
	2014	17	2	0	23	0	
	2014	18	1	2	13	0.1538462	
	2014	18	2	1	15	0.06666667	
	2014	19	1	1	5	0.2	
	2014	19	2	0	15	0	
	2014	20	2	1	2	0.5	
	2015	9	1	0	2	0	
	2015	11	2	1	4	0.25	
	2015	12	1	0	8	0	
	2015	12	2	0	4	0	
	2015	13	1	0	22	0	
	2015	13	2	0	8	0	
	2015	14	1	0	27	0	
	2015	14	2	1	16	0.0625	
	2015	15	1	1	29	0.03448276	
	2015	15	2	0	4	0	
	2015	16	1	3	39	0.07692308	
	2015	16	2	2	23	0.08695652	
	2015	17	1	2	25	0.08	
	2015	17	2	0	22	0	
	2015	18	1	2	12	0.1666667	
	2015	18	2	1	23	0.04347826	
	2015	19	1	0	4	0	
	2015	19	2	3	11	0.2727273	
	2016	6	1	0	1	0	
	2016	10	1	0	2	0	
	2016	11	1	0	1	0	
	2016	12	1	0	9	0	
	2016	13	1	1	14	0.07142857	
	2016	13	2	0	3	0	
	2016	14	1	0	23	0	
	2016	14	2	0	6	0	
	2016	15	1	1	31	0.03225806	
	2016	15	2	0	20	0	
	2016	16	1	0	41	0	
	2016	16	2	0	18	0	
	2016	17	1	3	38	0.07894737	
	2016	17	2	1	21	0.04761905	
	2016	18	1	0	14	0	
	2016	18	2	0	25	0	
	2016	19	1	0	3	0	
	2016	19	2	0	9	0	
	2017	8	2	0	1	0	
	2017	10	1	0	4	0	
	2017	11	1	0	1	0	
	2017	12	1	0	7	0	
	2017	12	2	0	2	0	
	2017	13	1	1	9	0.1111111	
	2017	13	2	0	6	0	
	2017	14	1	0	27	0	
	2017	14	2	1	11	0.09090909	
	2017	15	1	1	40	0.025	
	2017	15	2	0	13	0	
	2017	16	1	0	37	0	
	2017	16	2	1	13	0.07692308	
	2017	17	1	1	30	0.03333333	
	2017	17	2	0	26	0	
	2017	18	1	1	17	0.05882353	
	2017	18	2	2	22	0.09090909	
	2017	19	1	0	4	0	
	2017	19	2	0	8	0	
	2017	20	2	0	3	0	
	2018	10	1	0	3	0	
	2018	11	1	0	4	0	
	2018	12	1	0	10	0	
	2018	12	2	0	1	0	
	2018	13	1	1	22	0.04545455	
	2018	13	2	0	1	0	
	2018	14	1	1	23	0.04347826	
	2018	14	2	0	10	0	
	2018	15	1	1	34	0.02941176	
	2018	15	2	0	18	0	
	2018	16	1	2	45	0.04444444	
	2018	16	2	0	22	0	
	2018	17	1	3	28	0.1071429	
	2018	17	2	2	24	0.08333333	
	2018	18	1	1	12	0.08333333	
	2018	18	2	0	16	0	
	2018	19	1	0	5	0	
	2018	19	2	0	9	0	
	2018	20	1	0	1	0	
	2018	20	2	1	1	1	
	2019	8	1	0	1	0	
	2019	9	2	0	1	0	
	2019	10	1	0	1	0	
	2019	10	2	0	1	0	
	2019	11	1	0	4	0	
	2019	12	1	0	8	0	
	2019	12	2	0	2	0	
	2019	13	1	2	20	0.1	
	2019	13	2	0	4	0	
	2019	14	1	0	35	0	
	2019	14	2	0	7	0	
	2019	15	1	1	34	0.02941176	
	2019	15	2	0	13	0	
	2019	16	1	1	33	0.03030303	
	2019	16	2	0	16	0	
	2019	17	1	1	25	0.04	
	2019	17	2	1	27	0.03703704	
	2019	18	1	0	18	0	
	2019	18	2	1	10	0.1	
	2019	19	1	0	6	0	
	2019	19	2	1	10	0.1	
	2019	20	1	0	1	0	
	2019	20	2	0	2	0	
