
	F3_05_M OP an Becken­/Beinarterien bei arterieller Embolie/Thrombose, Mortalität // OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité // OP alle arterie del bacino/delle gambe in caso di embolia/trombosi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	2	0	1	0	
	2008	2	1	0	1	0	
	2008	2	2	0	1	0	
	2008	4	1	0	1	0	
	2008	4	2	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	1	0	
	2008	8	1	0	6	0	
	2008	8	2	0	2	0	
	2008	9	1	0	3	0	
	2008	9	2	0	4	0	
	2008	10	1	0	13	0	
	2008	10	2	0	4	0	
	2008	11	1	0	19	0	
	2008	11	2	0	4	0	
	2008	12	1	1	41	0.02439024	
	2008	12	2	0	11	0	
	2008	13	1	2	42	0.04761905	
	2008	13	2	1	10	0.1	
	2008	14	1	3	43	0.06976744	
	2008	14	2	2	17	0.1176471	
	2008	15	1	4	35	0.1142857	
	2008	15	2	3	23	0.1304348	
	2008	16	1	1	30	0.03333333	
	2008	16	2	1	26	0.03846154	
	2008	17	1	3	32	0.09375	
	2008	17	2	5	26	0.1923077	
	2008	18	1	3	19	0.1578947	
	2008	18	2	5	36	0.1388889	
	2008	19	1	1	7	0.1428571	
	2008	19	2	6	30	0.2	
	2008	20	1	0	2	0	
	2008	20	2	1	4	0.25	
	2009	1	2	0	1	0	
	2009	5	2	0	3	0	
	2009	6	1	0	2	0	
	2009	8	1	0	2	0	
	2009	8	2	0	1	0	
	2009	9	1	0	2	0	
	2009	9	2	0	2	0	
	2009	10	1	0	10	0	
	2009	10	2	0	3	0	
	2009	11	1	0	22	0	
	2009	11	2	0	7	0	
	2009	12	1	2	38	0.05263158	
	2009	12	2	0	14	0	
	2009	13	1	0	34	0	
	2009	13	2	3	13	0.2307692	
	2009	14	1	1	44	0.02272727	
	2009	14	2	3	15	0.2	
	2009	15	1	3	38	0.07894737	
	2009	15	2	1	16	0.0625	
	2009	16	1	3	39	0.07692308	
	2009	16	2	1	28	0.03571429	
	2009	17	1	6	36	0.1666667	
	2009	17	2	4	21	0.1904762	
	2009	18	1	2	18	0.1111111	
	2009	18	2	1	20	0.05	
	2009	19	1	0	5	0	
	2009	19	2	5	22	0.2272727	
	2009	20	1	0	2	0	
	2009	20	2	1	4	0.25	
	2010	2	1	1	1	1	
	2010	7	2	0	1	0	
	2010	9	1	0	7	0	
	2010	9	2	0	2	0	
	2010	10	1	0	14	0	
	2010	10	2	0	4	0	
	2010	11	1	0	24	0	
	2010	11	2	0	8	0	
	2010	12	1	0	35	0	
	2010	12	2	0	5	0	
	2010	13	1	5	48	0.1041667	
	2010	13	2	0	19	0	
	2010	14	1	1	48	0.02083333	
	2010	14	2	1	14	0.07142857	
	2010	15	1	1	37	0.02702703	
	2010	15	2	0	14	0	
	2010	16	1	4	36	0.1111111	
	2010	16	2	2	25	0.08	
	2010	17	1	1	38	0.02631579	
	2010	17	2	3	26	0.1153846	
	2010	18	1	2	20	0.1	
	2010	18	2	2	30	0.06666667	
	2010	19	1	2	9	0.2222222	
	2010	19	2	2	15	0.1333333	
	2010	20	1	1	1	1	
	2010	20	2	2	7	0.2857143	
	2011	5	2	0	1	0	
	2011	6	1	0	2	0	
	2011	7	1	0	1	0	
	2011	8	1	0	2	0	
	2011	8	2	0	1	0	
	2011	9	1	0	6	0	
	2011	9	2	0	1	0	
	2011	10	1	0	21	0	
	2011	10	2	1	9	0.1111111	
	2011	11	1	0	27	0	
	2011	11	2	0	8	0	
	2011	12	1	1	59	0.01694915	
	2011	12	2	1	10	0.1	
	2011	13	1	3	81	0.03703704	
	2011	13	2	0	27	0	
	2011	14	1	5	88	0.05681818	
	2011	14	2	4	33	0.1212121	
	2011	15	1	5	84	0.05952381	
	2011	15	2	2	32	0.0625	
	2011	16	1	2	68	0.02941176	
	2011	16	2	4	37	0.1081081	
	2011	17	1	2	55	0.03636364	
	2011	17	2	7	47	0.1489362	
	2011	18	1	2	23	0.08695652	
	2011	18	2	5	48	0.1041667	
	2011	19	1	6	14	0.4285714	
	2011	19	2	2	18	0.1111111	
	2011	20	1	1	1	1	
	2011	20	2	0	3	0	
	2012	3	1	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	1	0	
