
	F4_01_M Amputation im Fussbereich, kein Trauma, Mortalität // Amputation non traumatique au niveau du pied, mortalité // Amputazione non traumatica nella regione del piede, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	12	0	
	2008	1	2	0	8	0	
	2008	2	1	0	1	0	
	2008	3	1	0	1	0	
	2008	3	2	0	2	0	
	2008	4	1	0	2	0	
	2008	4	2	0	1	0	
	2008	5	1	0	1	0	
	2008	6	1	0	3	0	
	2008	6	2	0	1	0	
	2008	7	1	0	3	0	
	2008	7	2	0	2	0	
	2008	8	1	0	7	0	
	2008	8	2	0	10	0	
	2008	9	1	0	14	0	
	2008	9	2	0	3	0	
	2008	10	1	0	28	0	
	2008	10	2	0	19	0	
	2008	11	1	0	46	0	
	2008	11	2	0	21	0	
	2008	12	1	0	102	0	
	2008	12	2	0	22	0	
	2008	13	1	1	126	0.007936508	
	2008	13	2	1	39	0.02564103	
	2008	14	1	3	181	0.01657459	
	2008	14	2	0	44	0	
	2008	15	1	3	178	0.01685393	
	2008	15	2	1	75	0.01333333	
	2008	16	1	6	182	0.03296703	
	2008	16	2	3	102	0.02941176	
	2008	17	1	2	153	0.0130719	
	2008	17	2	8	127	0.06299213	
	2008	18	1	7	90	0.07777778	
	2008	18	2	3	92	0.0326087	
	2008	19	1	1	23	0.04347826	
	2008	19	2	0	35	0	
	2008	20	1	0	5	0	
	2008	20	2	1	11	0.09090909	
	2009	1	1	0	9	0	
	2009	1	2	0	19	0	
	2009	3	1	0	3	0	
	2009	3	2	0	2	0	
	2009	4	1	0	2	0	
	2009	4	2	0	4	0	
	2009	5	1	0	2	0	
	2009	5	2	0	3	0	
	2009	6	1	0	1	0	
	2009	6	2	0	1	0	
	2009	7	1	0	2	0	
	2009	7	2	0	2	0	
	2009	8	1	0	3	0	
	2009	8	2	0	4	0	
	2009	9	1	0	16	0	
	2009	9	2	0	4	0	
	2009	10	1	0	33	0	
	2009	10	2	0	11	0	
	2009	11	1	0	37	0	
	2009	11	2	0	19	0	
	2009	12	1	0	90	0	
	2009	12	2	0	23	0	
	2009	13	1	1	121	0.008264463	
	2009	13	2	0	27	0	
	2009	14	1	3	139	0.02158273	
	2009	14	2	1	45	0.02222222	
