
	F4_02_M Amputation untere Extremität, kein Trauma, Mortalität // Amputation non traumatique de membre inférieur, mortalité // Amputazione non traumatica delle estremità inferiori, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	2	0	
	2008	2	1	0	1	0	
	2008	3	1	0	1	0	
	2008	3	2	0	2	0	
	2008	4	1	0	2	0	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	4	0	
	2008	8	2	0	2	0	
	2008	9	1	0	4	0	
	2008	9	2	0	3	0	
	2008	10	1	0	7	0	
	2008	10	2	0	6	0	
	2008	11	1	0	10	0	
	2008	11	2	0	2	0	
	2008	12	1	4	32	0.125	
	2008	12	2	1	11	0.09090909	
	2008	13	1	3	42	0.07142857	
	2008	13	2	2	10	0.2	
	2008	14	1	5	38	0.1315789	
	2008	14	2	1	21	0.04761905	
	2008	15	1	4	62	0.06451613	
	2008	15	2	3	24	0.125	
	2008	16	1	10	67	0.1492537	
	2008	16	2	4	27	0.1481481	
	2008	17	1	6	54	0.1111111	
	2008	17	2	8	40	0.2	
	2008	18	1	4	30	0.1333333	
	2008	18	2	10	52	0.1923077	
	2008	19	1	5	17	0.2941176	
	2008	19	2	3	17	0.1764706	
	2008	20	1	0	1	0	
	2008	20	2	1	2	0.5	
	2009	1	2	0	1	0	
	2009	2	1	0	1	0	
	2009	3	2	1	1	1	
	2009	4	1	0	2	0	
	2009	4	2	0	1	0	
	2009	5	1	0	2	0	
	2009	7	2	0	3	0	
	2009	8	1	0	3	0	
	2009	8	2	0	1	0	
	2009	9	1	0	5	0	
	2009	9	2	0	5	0	
	2009	10	1	0	5	0	
	2009	10	2	0	3	0	
	2009	11	1	1	11	0.09090909	
	2009	11	2	1	2	0.5	
	2009	12	1	4	20	0.2	
	2009	12	2	1	5	0.2	
	2009	13	1	3	43	0.06976744	
	2009	13	2	1	12	0.08333333	
	2009	14	1	9	51	0.1764706	
	2009	14	2	3	18	0.1666667	
	2009	15	1	6	62	0.09677419	
	2009	15	2	2	29	0.06896552	
	2009	16	1	8	58	0.137931	
	2009	16	2	2	26	0.07692308	
	2009	17	1	8	59	0.1355932	
	2009	17	2	2	37	0.05405405	
	2009	18	1	4	40	0.1	
	2009	18	2	11	35	0.3142857	
	2009	19	1	3	6	0.5	
	2009	19	2	3	17	0.1764706	
	2009	20	2	1	4	0.25	
	2010	1	1	0	1	0	
	2010	4	1	0	2	0	
	2010	5	1	0	1	0	
	2010	5	2	0	2	0	
	2010	6	1	0	1	0	
	2010	7	1	0	1	0	
	2010	8	1	0	4	0	
	2010	8	2	0	1	0	
	2010	9	1	1	8	0.125	
	2010	9	2	0	6	0	
	2010	10	1	0	6	0	
	2010	10	2	1	3	0.3333333	
	2010	11	1	0	5	0	
	2010	11	2	0	5	0	
	2010	12	1	4	27	0.1481481	
	2010	12	2	0	5	0	
	2010	13	1	5	67	0.07462687	
	2010	13	2	1	10	0.1	
	2010	14	1	5	50	0.1	
	2010	14	2	3	24	0.125	
	2010	15	1	8	52	0.1538462	
	2010	15	2	2	18	0.1111111	
	2010	16	1	8	59	0.1355932	
	2010	16	2	4	18	0.2222222	
	2010	17	1	16	59	0.2711864	
	2010	17	2	5	34	0.1470588	
	2010	18	1	3	30	0.1	
	2010	18	2	3	21	0.1428571	
	2010	19	1	2	10	0.2	
	2010	19	2	3	13	0.2307692	
	2010	20	1	1	2	0.5	
	2010	20	2	1	3	0.3333333	
	2011	1	1	0	1	0	
	2011	4	1	0	1	0	
	2011	4	2	0	2	0	
	2011	5	1	0	3	0	
	2011	6	1	0	2	0	
	2011	7	1	0	2	0	
	2011	7	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	4	0	
	2011	9	2	0	2	0	
	2011	10	1	0	7	0	
	2011	10	2	0	6	0	
	2011	11	1	1	8	0.125	
	2011	11	2	1	6	0.1666667	
	2011	12	1	1	20	0.05	
	2011	12	2	0	4	0	
	2011	13	1	4	42	0.0952381	
	2011	13	2	0	11	0	
	2011	14	1	7	41	0.1707317	
	2011	14	2	3	23	0.1304348	
	2011	15	1	4	42	0.0952381	
	2011	15	2	4	19	0.2105263	
	2011	16	1	14	59	0.2372881	
	2011	16	2	4	29	0.137931	
	2011	17	1	6	46	0.1304348	
	2011	17	2	4	24	0.1666667	
	2011	18	1	4	35	0.1142857	
	2011	18	2	6	28	0.2142857	
	2011	19	1	1	7	0.1428571	
	2011	19	2	0	14	0	
	2011	20	1	0	2	0	
	2011	20	2	1	3	0.3333333	
	2012	2	1	0	1	0	
	2012	3	2	0	1	0	
	2012	4	1	0	1	0	
	2012	4	2	0	1	0	
	2012	5	1	0	5	0	
	2012	6	1	0	2	0	
	2012	7	1	0	1	0	
	2012	8	1	0	2	0	
