
	F5_01_M PTA abdominale/Beinarterien (ohne Aorta), Mortalität // ATP des artères de l'abdomen/des jambes (hormis aorte), mortalité // PTA di arterie addominali/delle gambe (senza aorta), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	12	0	
	2008	1	2	1	10	0.1	
	2008	2	1	0	4	0	
	2008	2	2	0	1	0	
	2008	3	1	0	3	0	
	2008	3	2	0	3	0	
	2008	4	1	0	7	0	
	2008	4	2	0	4	0	
	2008	5	1	0	2	0	
	2008	5	2	0	5	0	
	2008	6	1	0	5	0	
	2008	6	2	0	2	0	
	2008	7	1	0	3	0	
	2008	7	2	0	5	0	
	2008	8	1	0	17	0	
	2008	8	2	1	15	0.06666667	
	2008	9	1	0	35	0	
	2008	9	2	0	14	0	
	2008	10	1	0	89	0	
	2008	10	2	1	48	0.02083333	
	2008	11	1	2	158	0.01265823	
	2008	11	2	0	59	0	
	2008	12	1	4	281	0.01423488	
	2008	12	2	0	109	0	
	2008	13	1	1	501	0.001996008	
	2008	13	2	1	192	0.005208333	
	2008	14	1	7	614	0.01140065	
	2008	14	2	3	287	0.01045296	
	2008	15	1	5	652	0.007668712	
	2008	15	2	4	403	0.009925558	
	2008	16	1	16	621	0.0257649	
	2008	16	2	9	574	0.01567944	
	2008	17	1	8	434	0.01843318	
	2008	17	2	10	524	0.01908397	
	2008	18	1	10	204	0.04901961	
	2008	18	2	3	387	0.007751938	
	2008	19	1	3	47	0.06382979	
	2008	19	2	5	137	0.03649635	
	2008	20	1	0	5	0	
	2008	20	2	3	31	0.09677419	
	2009	1	1	0	19	0	
	2009	1	2	0	12	0	
	2009	2	1	0	7	0	
	2009	2	2	0	5	0	
	2009	3	1	0	4	0	
	2009	3	2	0	3	0	
	2009	4	1	0	10	0	
	2009	4	2	0	8	0	
	2009	5	1	0	8	0	
	2009	5	2	0	7	0	
	2009	6	1	0	4	0	
	2009	6	2	0	4	0	
	2009	7	1	0	3	0	
	2009	7	2	0	5	0	
	2009	8	1	0	16	0	
	2009	8	2	0	8	0	
	2009	9	1	0	22	0	
	2009	9	2	0	16	0	
	2009	10	1	0	87	0	
	2009	10	2	1	41	0.02439024	
	2009	11	1	3	175	0.01714286	
	2009	11	2	1	70	0.01428571	
	2009	12	1	6	330	0.01818182	
	2009	12	2	3	119	0.02521008	
	2009	13	1	2	493	0.004056795	
	2009	13	2	1	183	0.005464481	
	2009	14	1	9	596	0.01510067	
	2009	14	2	6	308	0.01948052	
	2009	15	1	8	632	0.01265823	
	2009	15	2	3	357	0.008403361	
	2009	16	1	16	661	0.02420575	
	2009	16	2	6	563	0.01065719	
	2009	17	1	14	477	0.0293501	
	2009	17	2	7	548	0.01277372	
	2009	18	1	14	270	0.05185185	
	2009	18	2	16	393	0.04071247	
	2009	19	1	4	63	0.06349206	
	2009	19	2	10	145	0.06896552	
	2009	20	1	1	15	0.06666667	
	2009	20	2	1	28	0.03571429	
	2010	1	1	0	14	0	
	2010	1	2	3	12	0.25	
	2010	2	1	0	3	0	
	2010	2	2	0	6	0	
	2010	3	1	0	1	0	
	2010	3	2	0	3	0	
	2010	4	1	0	7	0	
	2010	4	2	0	5	0	
	2010	5	1	0	7	0	
	2010	5	2	0	10	0	
	2010	6	1	0	7	0	
	2010	6	2	0	6	0	
	2010	7	1	1	12	0.08333333	
	2010	7	2	0	6	0	
	2010	8	1	1	19	0.05263158	
	2010	8	2	0	12	0	
	2010	9	1	0	36	0	
	2010	9	2	0	32	0	
	2010	10	1	1	91	0.01098901	
	2010	10	2	1	48	0.02083333	
	2010	11	1	0	200	0	
	2010	11	2	1	91	0.01098901	
	2010	12	1	5	335	0.01492537	
	2010	12	2	0	130	0	
	2010	13	1	9	560	0.01607143	
	2010	13	2	2	218	0.009174312	
	2010	14	1	9	646	0.01393189	
	2010	14	2	3	351	0.008547009	
	2010	15	1	6	634	0.009463722	
	2010	15	2	2	351	0.005698006	
	2010	16	1	13	613	0.02120718	
	2010	16	2	9	568	0.01584507	
	2010	17	1	13	539	0.02411874	
	2010	17	2	16	531	0.03013183	
	2010	18	1	11	254	0.04330709	
	2010	18	2	8	387	0.02067183	
	2010	19	1	4	68	0.05882353	
	2010	19	2	5	129	0.03875969	
	2010	20	1	1	13	0.07692308	
	2010	20	2	1	36	0.02777778	
	2011	1	1	1	21	0.04761905	
	2011	1	2	0	11	0	
	2011	2	1	0	2	0	
	2011	2	2	0	5	0	
	2011	3	1	0	9	0	
	2011	3	2	0	5	0	
	2011	4	1	0	6	0	
	2011	4	2	0	8	0	
	2011	5	1	0	4	0	
	2011	5	2	0	6	0	
	2011	6	1	0	6	0	
	2011	6	2	0	15	0	
	2011	7	1	0	5	0	
	2011	7	2	0	9	0	
	2011	8	1	1	21	0.04761905	
	2011	8	2	0	12	0	
	2011	9	1	0	36	0	
	2011	9	2	1	26	0.03846154	
	2011	10	1	1	89	0.01123596	
	2011	10	2	0	39	0	
	2011	11	1	2	178	0.01123596	
	2011	11	2	0	74	0	
	2011	12	1	1	354	0.002824859	
	2011	12	2	1	135	0.007407407	
	2011	13	1	4	529	0.007561437	
	2011	13	2	1	206	0.004854369	
	2011	14	1	9	678	0.01327434	
	2011	14	2	6	284	0.02112676	
	2011	15	1	13	726	0.01790634	
	2011	15	2	7	416	0.01682692	
	2011	16	1	8	671	0.0119225	
	2011	16	2	7	587	0.01192504	
	2011	17	1	16	540	0.02962963	
	2011	17	2	8	601	0.01331115	
	2011	18	1	17	299	0.05685619	
	2011	18	2	8	454	0.01762115	
	2011	19	1	5	63	0.07936508	
	2011	19	2	7	143	0.04895105	
	2011	20	1	0	13	0	
	2011	20	2	1	31	0.03225806	
	2012	1	1	2	26	0.07692308	
	2012	1	2	2	18	0.1111111	
	2012	2	1	0	7	0	
	2012	2	2	0	1	0	
	2012	3	1	0	7	0	
	2012	3	2	0	1	0	
	2012	4	1	0	4	0	
	2012	4	2	0	8	0	
	2012	5	1	0	8	0	
	2012	5	2	0	12	0	
	2012	6	1	0	14	0	
	2012	6	2	0	7	0	
	2012	7	1	0	15	0	
	2012	7	2	0	13	0	
	2012	8	1	0	21	0	
	2012	8	2	0	7	0	
	2012	9	1	1	44	0.02272727	
	2012	9	2	1	38	0.02631579	
	2012	10	1	3	111	0.02702703	
	2012	10	2	1	54	0.01851852	
	2012	11	1	4	193	0.02072539	
	2012	11	2	0	93	0	
	2012	12	1	5	377	0.0132626	
	2012	12	2	0	154	0	
	2012	13	1	8	607	0.01317957	
	2012	13	2	2	211	0.009478673	
	2012	14	1	13	768	0.01692708	
	2012	14	2	8	343	0.02332362	
	2012	15	1	13	793	0.01639344	
	2012	15	2	13	407	0.03194103	
	2012	16	1	11	766	0.01436031	
	2012	16	2	18	549	0.03278689	
	2012	17	1	18	545	0.03302752	
	2012	17	2	18	636	0.02830189	
	2012	18	1	11	296	0.03716216	
	2012	18	2	16	501	0.03193613	
	2012	19	1	2	89	0.02247191	
	2012	19	2	6	168	0.03571429	
	2012	20	1	1	15	0.06666667	
	2012	20	2	1	26	0.03846154	
	2013	1	1	1	25	0.04	
	2013	1	2	1	16	0.0625	
	2013	2	1	0	6	0	
	2013	2	2	0	3	0	
	2013	3	1	0	5	0	
	2013	3	2	0	3	0	
	2013	4	1	0	8	0	
	2013	4	2	0	12	0	
	2013	5	1	0	13	0	
