
	F5_04_M PTA iliacal/an Becken­/Beinarterien bei Claudicatio, Mortalität // ATP des artères iliaques/du bassin/des jambes en cas de claudication, mortalité // PTA di arterie iliache/del bacino/delle gambe in caso di claudicatio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	6	2	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	2	0	
	2009	8	2	0	2	0	
	2009	9	1	0	4	0	
	2009	9	2	0	2	0	
	2009	10	1	0	38	0	
	2009	10	2	0	16	0	
	2009	11	1	0	92	0	
	2009	11	2	0	37	0	
	2009	12	1	0	168	0	
	2009	12	2	0	58	0	
	2009	13	1	0	244	0	
	2009	13	2	0	87	0	
	2009	14	1	1	298	0.003355705	
	2009	14	2	0	160	0	
	2009	15	1	0	325	0	
	2009	15	2	0	173	0	
	2009	16	1	0	282	0	
	2009	16	2	1	267	0.003745318	
	2009	17	1	0	190	0	
	2009	17	2	0	234	0	
	2009	18	1	2	84	0.02380952	
	2009	18	2	0	139	0	
	2009	19	1	1	16	0.0625	
	2009	19	2	2	36	0.05555556	
	2009	20	1	0	1	0	
	2009	20	2	0	6	0	
	2010	5	1	0	1	0	
	2010	6	1	0	3	0	
	2010	6	2	0	1	0	
	2010	7	1	0	2	0	
	2010	8	1	0	4	0	
	2010	8	2	0	1	0	
	2010	9	1	0	12	0	
	2010	9	2	0	10	0	
	2010	10	1	0	45	0	
	2010	10	2	0	15	0	
	2010	11	1	0	106	0	
	2010	11	2	0	31	0	
	2010	12	1	0	186	0	
	2010	12	2	0	72	0	
	2010	13	1	0	293	0	
	2010	13	2	0	105	0	
	2010	14	1	0	341	0	
	2010	14	2	1	187	0.005347594	
	2010	15	1	1	325	0.003076923	
	2010	15	2	0	170	0	
	2010	16	1	0	274	0	
	2010	16	2	2	280	0.007142857	
	2010	17	1	2	199	0.01005025	
	2010	17	2	1	218	0.004587156	
	2010	18	1	1	65	0.01538462	
	2010	18	2	1	114	0.00877193	
	2010	19	1	0	12	0	
