
	F5_05_M PTA iliacal/an Becken­/Beinarterien bei Ruheschmerz, Mortalität // ATP des artères iliaques/du bassin/des jambes en cas de douleurs au repos, mortalité // PTA di arterie iliache/del bacino/delle gambe in caso di dolore a riposo, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	8	1	0	1	0	
	2009	9	1	0	1	0	
	2009	10	1	0	4	0	
	2009	10	2	0	1	0	
	2009	11	1	0	7	0	
	2009	11	2	0	2	0	
	2009	12	1	0	19	0	
	2009	12	2	0	5	0	
	2009	13	1	0	16	0	
	2009	13	2	0	6	0	
	2009	14	1	0	23	0	
	2009	14	2	0	16	0	
	2009	15	1	0	23	0	
	2009	15	2	0	21	0	
	2009	16	1	0	35	0	
	2009	16	2	0	36	0	
	2009	17	1	0	20	0	
	2009	17	2	0	29	0	
	2009	18	1	0	15	0	
	2009	18	2	2	31	0.06451613	
	2009	19	1	0	2	0	
	2009	19	2	0	6	0	
	2009	20	1	0	2	0	
	2009	20	2	0	5	0	
	2010	5	2	0	1	0	
	2010	8	2	0	1	0	
	2010	9	2	0	1	0	
	2010	10	1	0	5	0	
	2010	11	1	0	8	0	
	2010	11	2	0	5	0	
	2010	12	1	0	14	0	
	2010	12	2	0	5	0	
	2010	13	1	0	33	0	
	2010	13	2	0	16	0	
	2010	14	1	1	24	0.04166667	
	2010	14	2	0	14	0	
	2010	15	1	0	30	0	
	2010	15	2	0	27	0	
	2010	16	1	0	19	0	
	2010	16	2	0	40	0	
	2010	17	1	0	32	0	
	2010	17	2	1	48	0.02083333	
	2010	18	1	0	32	0	
	2010	18	2	0	34	0	
	2010	19	1	0	4	0	
	2010	19	2	1	8	0.125	
	2010	20	1	0	1	0	
	2010	20	2	0	2	0	
	2011	7	2	0	1	0	
	2011	9	1	0	1	0	
	2011	9	2	0	3	0	
	2011	10	1	0	1	0	
	2011	10	2	0	2	0	
	2011	11	1	0	7	0	
	2011	11	2	0	3	0	
	2011	12	1	0	15	0	
	2011	12	2	0	3	0	
	2011	13	1	0	25	0	
	2011	13	2	0	6	0	
	2011	14	1	0	25	0	
	2011	14	2	0	13	0	
	2011	15	1	0	35	0	
	2011	15	2	0	20	0	
	2011	16	1	1	25	0.04	
	2011	16	2	1	38	0.02631579	
	2011	17	1	1	35	0.02857143	
