
	F5_06_M PTA iliacal/an Becken­/Beinarterien bei Ulzeration oder Gangrän, Mortalität // ATP des artères iliaques/du bassin/des jambes en cas d'ulcération ou de gangrène, mortalité // PTA di arterie iliache/del bacino/delle gambe in caso di ulcera o cancrena, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	9	1	0	1	0	
	2009	9	2	0	1	0	
	2009	10	1	0	1	0	
	2009	10	2	0	2	0	
	2009	11	1	0	7	0	
	2009	11	2	0	3	0	
	2009	12	1	0	18	0	
	2009	12	2	0	6	0	
	2009	13	1	0	27	0	
	2009	13	2	0	18	0	
	2009	14	1	0	45	0	
	2009	14	2	0	25	0	
	2009	15	1	1	56	0.01785714	
	2009	15	2	0	31	0	
	2009	16	1	3	87	0.03448276	
	2009	16	2	0	50	0	
	2009	17	1	5	82	0.06097561	
	2009	17	2	1	106	0.009433962	
	2009	18	1	3	54	0.05555556	
	2009	18	2	2	95	0.02105263	
	2009	19	1	1	20	0.05	
	2009	19	2	1	60	0.01666667	
	2009	20	1	0	7	0	
	2009	20	2	1	13	0.07692308	
	2010	9	1	0	5	0	
	2010	9	2	0	2	0	
	2010	10	1	0	8	0	
	2010	10	2	0	1	0	
	2010	11	1	0	11	0	
	2010	11	2	0	7	0	
	2010	12	1	0	21	0	
	2010	12	2	0	10	0	
	2010	13	1	1	45	0.02222222	
	2010	13	2	0	7	0	
	2010	14	1	2	74	0.02702703	
	2010	14	2	0	21	0	
	2010	15	1	0	66	0	
	2010	15	2	1	38	0.02631579	
	2010	16	1	2	80	0.025	
	2010	16	2	3	79	0.03797468	
	2010	17	1	3	137	0.02189781	
	2010	17	2	3	112	0.02678571	
	2010	18	1	2	57	0.03508772	
	2010	18	2	4	114	0.03508772	
	2010	19	1	2	30	0.06666667	
	2010	19	2	1	49	0.02040816	
	2010	20	1	0	8	0	
	2010	20	2	1	11	0.09090909	
	2011	8	1	0	1	0	
	2011	9	1	0	3	0	
	2011	9	2	0	1	0	
	2011	10	1	0	2	0	
	2011	10	2	0	1	0	
	2011	11	1	0	10	0	
	2011	11	2	0	7	0	
	2011	12	1	0	22	0	
	2011	12	2	0	13	0	
