
	F5_07_M PTA iliacal/an Becken­/Beinarterien bei anderen Diagnosen oder OP an Aorta, Mortalität // ATP des artères iliaques/du bassin/des jambes en cas d'autre diagnostic ou d'une OP de l'aorte, mortalité // PTA di arterie iliache/del bacino/delle gambe in caso di altre diagnosi o di OP aortica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	12	0	
	2008	1	2	1	10	0.1	
	2008	2	1	0	4	0	
	2008	2	2	0	1	0	
	2008	3	1	0	3	0	
	2008	3	2	0	3	0	
	2008	4	1	0	7	0	
	2008	4	2	0	4	0	
	2008	5	1	0	2	0	
	2008	5	2	0	5	0	
	2008	6	1	0	5	0	
	2008	6	2	0	2	0	
	2008	7	1	0	3	0	
	2008	7	2	0	5	0	
	2008	8	1	0	17	0	
	2008	8	2	1	15	0.06666667	
	2008	9	1	0	35	0	
	2008	9	2	0	14	0	
	2008	10	1	0	89	0	
	2008	10	2	1	48	0.02083333	
	2008	11	1	2	158	0.01265823	
	2008	11	2	0	59	0	
	2008	12	1	4	281	0.01423488	
	2008	12	2	0	109	0	
	2008	13	1	1	501	0.001996008	
	2008	13	2	1	192	0.005208333	
	2008	14	1	7	614	0.01140065	
	2008	14	2	3	287	0.01045296	
	2008	15	1	5	652	0.007668712	
	2008	15	2	4	403	0.009925558	
	2008	16	1	16	621	0.0257649	
	2008	16	2	9	574	0.01567944	
	2008	17	1	8	434	0.01843318	
	2008	17	2	10	524	0.01908397	
	2008	18	1	10	204	0.04901961	
	2008	18	2	3	387	0.007751938	
	2008	19	1	3	47	0.06382979	
	2008	19	2	5	137	0.03649635	
	2008	20	1	0	5	0	
	2008	20	2	3	31	0.09677419	
	2009	1	1	0	19	0	
	2009	1	2	0	12	0	
	2009	2	1	0	7	0	
	2009	2	2	0	5	0	
	2009	3	1	0	4	0	
	2009	3	2	0	3	0	
	2009	4	1	0	10	0	
	2009	4	2	0	8	0	
	2009	5	1	0	8	0	
	2009	5	2	0	7	0	
	2009	6	1	0	4	0	
	2009	6	2	0	3	0	
	2009	7	1	0	2	0	
	2009	7	2	0	5	0	
	2009	8	1	0	13	0	
	2009	8	2	0	6	0	
	2009	9	1	0	16	0	
	2009	9	2	0	13	0	
	2009	10	1	0	44	0	
	2009	10	2	1	22	0.04545455	
	2009	11	1	3	69	0.04347826	
	2009	11	2	1	28	0.03571429	
	2009	12	1	6	125	0.048	
	2009	12	2	3	50	0.06	
	2009	13	1	2	206	0.009708738	
	2009	13	2	1	72	0.01388889	
	2009	14	1	8	230	0.03478261	
	2009	14	2	6	107	0.05607477	
	2009	15	1	7	228	0.03070175	
	2009	15	2	3	132	0.02272727	
	2009	16	1	13	257	0.05058366	
	2009	16	2	5	210	0.02380952	
	2009	17	1	9	185	0.04864865	
	2009	17	2	6	179	0.03351955	
	2009	18	1	9	117	0.07692308	
	2009	18	2	12	128	0.09375	
	2009	19	1	2	25	0.08	
	2009	19	2	7	43	0.1627907	
	2009	20	1	1	5	0.2	
	2009	20	2	0	4	0	
	2010	1	1	0	14	0	
	2010	1	2	3	12	0.25	
	2010	2	1	0	3	0	
	2010	2	2	0	6	0	
	2010	3	1	0	1	0	
	2010	3	2	0	3	0	
	2010	4	1	0	7	0	
	2010	4	2	0	5	0	
	2010	5	1	0	6	0	
	2010	5	2	0	9	0	
	2010	6	1	0	4	0	
	2010	6	2	0	5	0	
	2010	7	1	1	10	0.1	
	2010	7	2	0	6	0	
	2010	8	1	1	15	0.06666667	
	2010	8	2	0	10	0	
	2010	9	1	0	19	0	
	2010	9	2	0	19	0	
	2010	10	1	1	33	0.03030303	
	2010	10	2	1	32	0.03125	
	2010	11	1	0	75	0	
	2010	11	2	1	48	0.02083333	
	2010	12	1	5	114	0.04385965	
	2010	12	2	0	43	0	
	2010	13	1	8	189	0.04232804	
	2010	13	2	2	90	0.02222222	
	2010	14	1	6	207	0.02898551	
	2010	14	2	2	129	0.01550388	
	2010	15	1	5	213	0.02347418	
	2010	15	2	1	116	0.00862069	
	2010	16	1	11	240	0.04583333	
	2010	16	2	4	169	0.02366864	
	2010	17	1	8	171	0.04678363	
	2010	17	2	11	153	0.07189542	
	2010	18	1	8	100	0.08	
	2010	18	2	3	125	0.024	
	2010	19	1	2	22	0.09090909	
	2010	19	2	3	43	0.06976744	
	2010	20	1	1	2	0.5	
	2010	20	2	0	12	0	
	2011	1	1	1	21	0.04761905	
	2011	1	2	0	11	0	
	2011	2	1	0	2	0	
	2011	2	2	0	5	0	
	2011	3	1	0	9	0	
	2011	3	2	0	5	0	
	2011	4	1	0	6	0	
	2011	4	2	0	8	0	
	2011	5	1	0	4	0	
	2011	5	2	0	6	0	
	2011	6	1	0	6	0	
	2011	6	2	0	15	0	
	2011	7	1	0	5	0	
	2011	7	2	0	8	0	
	2011	8	1	1	17	0.05882353	
	2011	8	2	0	8	0	
	2011	9	1	0	19	0	
	2011	9	2	1	17	0.05882353	
	2011	10	1	1	48	0.02083333	
	2011	10	2	0	25	0	
	2011	11	1	2	67	0.02985075	
	2011	11	2	0	34	0	
	2011	12	1	1	134	0.007462687	
	2011	12	2	1	56	0.01785714	
	2011	13	1	4	187	0.02139037	
	2011	13	2	1	86	0.01162791	
	2011	14	1	6	240	0.025	
	2011	14	2	6	112	0.05357143	
	2011	15	1	12	285	0.04210526	
	2011	15	2	7	141	0.04964539	
	2011	16	1	4	245	0.01632653	
	2011	16	2	4	214	0.01869159	
	2011	17	1	8	193	0.04145078	
	2011	17	2	6	188	0.03191489	
	2011	18	1	12	117	0.1025641	
	2011	18	2	6	146	0.04109589	
	2011	19	1	2	22	0.09090909	
	2011	19	2	4	47	0.08510638	
	2011	20	1	0	5	0	
	2011	20	2	0	8	0	
	2012	1	1	2	26	0.07692308	
	2012	1	2	2	18	0.1111111	
	2012	2	1	0	7	0	
	2012	2	2	0	1	0	
	2012	3	1	0	7	0	
	2012	3	2	0	1	0	
	2012	4	1	0	4	0	
	2012	4	2	0	8	0	
	2012	5	1	0	8	0	
	2012	5	2	0	12	0	
	2012	6	1	0	13	0	
	2012	6	2	0	7	0	
	2012	7	1	0	15	0	
	2012	7	2	0	13	0	
	2012	8	1	0	21	0	
	2012	8	2	0	6	0	
	2012	9	1	1	24	0.04166667	
	2012	9	2	0	26	0	
	2012	10	1	3	63	0.04761905	
	2012	10	2	1	27	0.03703704	
	2012	11	1	3	83	0.03614458	
	2012	11	2	0	41	0	
	2012	12	1	3	151	0.01986755	
	2012	12	2	0	71	0	
	2012	13	1	7	242	0.02892562	
	2012	13	2	2	80	0.025	
	2012	14	1	8	288	0.02777778	
	2012	14	2	7	142	0.04929577	
	2012	15	1	10	310	0.03225806	
	2012	15	2	12	159	0.0754717	
	2012	16	1	9	308	0.02922078	
	2012	16	2	14	195	0.07179487	
	2012	17	1	11	248	0.04435484	
	2012	17	2	13	219	0.05936073	
	2012	18	1	8	110	0.07272727	
	2012	18	2	12	176	0.06818182	
	2012	19	1	1	41	0.02439024	
	2012	19	2	2	51	0.03921569	
	2012	20	1	1	6	0.1666667	
	2012	20	2	0	8	0	
	2013	1	1	1	25	0.04	
	2013	1	2	1	16	0.0625	
	2013	2	1	0	6	0	
	2013	2	2	0	3	0	
	2013	3	1	0	5	0	
	2013	3	2	0	3	0	
	2013	4	1	0	8	0	
	2013	4	2	0	12	0	
