
	G1_04_P Anteil Kaiserschnitt (Sectio) // Césariennes, pourcentage // Parti cesarei, percentuale
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	CasesCH	CasesCHDen	pCH	
	2008	24812	74706	33.21286	
	2009	25008	76705	32.60283	
	2010	25932	79866	32.46939	
	2011	26435	80057	33.02022	
	2012	27110	81797	33.14302	
	2013	27315	82456	33.12676	
	2014	28342	84588	33.50593	
	2015	28484	86020	33.11323	
	2016	28776	87361	32.93918	
	2017	27817	86615	32.11568	
	2018	27758	87023	31.89731	
	2019	27089	85429	31.70937	
