
	G3_01_M Hysterektomie bei gutartigen Erkrankungen (Alter >14), Mortalität // Hystérectomie pour affections bénignes (âge >14), mortalité // Isterectomia per malattie benigne (età >14), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	1	0	
	2008	6	2	0	24	0	
	2008	7	2	0	164	0	
	2008	8	2	0	831	0	
	2008	9	2	0	2041	0	
	2008	10	2	0	2360	0	
	2008	11	2	0	1291	0	
	2008	12	2	0	666	0	
	2008	13	2	0	544	0	
	2008	14	2	0	500	0	
	2008	15	2	0	385	0	
	2008	16	2	0	323	0	
	2008	17	2	0	175	0	
	2008	18	2	1	57	0.01754386	
	2008	19	2	0	7	0	
	2008	20	2	0	1	0	
	2009	5	2	0	4	0	
	2009	6	2	0	35	0	
	2009	7	2	0	198	0	
	2009	8	2	0	818	0	
	2009	9	2	0	2183	0	
	2009	10	2	0	2652	0	
	2009	11	2	0	1458	0	
	2009	12	2	0	696	0	
	2009	13	2	0	640	0	
	2009	14	2	0	504	0	
	2009	15	2	0	410	0	
	2009	16	2	0	340	0	
	2009	17	2	1	206	0.004854369	
	2009	18	2	0	55	0	
	2009	19	2	0	10	0	
	2009	20	2	0	1	0	
	2010	6	2	0	28	0	
	2010	7	2	0	167	0	
	2010	8	2	0	764	0	
	2010	9	2	0	2126	0	
	2010	10	2	0	2649	0	
	2010	11	2	0	1470	0	
	2010	12	2	1	696	0.001436782	
	2010	13	2	0	611	0	
	2010	14	2	0	536	0	
	2010	15	2	0	454	0	
	2010	16	2	0	340	0	
	2010	17	2	0	213	0	
	2010	18	2	0	65	0	
	2010	19	2	0	10	0	
	2010	20	2	0	1	0	
	2011	4	2	0	1	0	
	2011	6	2	0	36	0	
	2011	7	2	0	178	0	
	2011	8	2	0	765	0	
	2011	9	2	0	1979	0	
	2011	10	2	0	2658	0	
	2011	11	2	0	1437	0	
	2011	12	2	0	665	0	
	2011	13	2	0	639	0	
	2011	14	2	0	556	0	
	2011	15	2	1	454	0.002202643	
	2011	16	2	0	356	0	
	2011	17	2	0	182	0	
	2011	18	2	0	66	0	
	2011	19	2	0	11	0	
	2012	4	2	0	2	0	
	2012	5	2	0	4	0	
	2012	6	2	0	23	0	
	2012	7	2	0	156	0	
	2012	8	2	0	697	0	
	2012	9	2	0	1958	0	
	2012	10	2	0	2621	0	
	2012	11	2	0	1499	0	
	2012	12	2	0	702	0	
	2012	13	2	0	640	0	
	2012	14	2	0	549	0	
	2012	15	2	0	487	0	
	2012	16	2	0	308	0	
	2012	17	2	1	205	0.004878049	
	2012	18	2	0	71	0	
	2012	19	2	0	9	0	
	2013	4	2	0	4	0	
	2013	5	2	0	3	0	
	2013	6	2	0	32	0	
	2013	7	2	0	200	0	
	2013	8	2	0	733	0	
	2013	9	2	0	1918	0	
	2013	10	2	0	2666	0	
	2013	11	2	0	1469	0	
	2013	12	2	0	670	0	
	2013	13	2	0	606	0	
	2013	14	2	0	582	0	
	2013	15	2	0	433	0	
	2013	16	2	0	343	0	
	2013	17	2	0	177	0	
	2013	18	2	0	59	0	
	2013	19	2	1	10	0.1	
	2013	20	2	0	1	0	
	2014	5	2	0	3	0	
	2014	6	2	0	36	0	
	2014	7	2	0	211	0	
	2014	8	2	0	723	0	
	2014	9	2	0	1928	0	
	2014	10	2	0	2595	0	
	2014	11	2	0	1583	0	
	2014	12	2	0	681	0	
	2014	13	2	1	515	0.001941748	
	2014	14	2	0	542	0	
	2014	15	2	0	485	0	
	2014	16	2	1	313	0.003194888	
	2014	17	2	0	177	0	
	2014	18	2	2	67	0.02985075	
	2014	19	2	0	9	0	
	2015	4	2	0	1	0	
	2015	5	2	0	1	0	
	2015	6	2	0	36	0	
	2015	7	2	0	214	0	
	2015	8	2	0	699	0	
	2015	9	2	0	1860	0	
	2015	10	2	0	2447	0	
	2015	11	2	0	1572	0	
	2015	12	2	0	725	0	
	2015	13	2	0	553	0	
	2015	14	2	0	578	0	
	2015	15	2	0	440	0	
	2015	16	2	0	329	0	
	2015	17	2	2	165	0.01212121	
	2015	18	2	0	65	0	
	2015	19	2	0	13	0	
	2016	4	2	0	1	0	
	2016	5	2	0	6	0	
	2016	6	2	0	32	0	
	2016	7	2	0	250	0	
	2016	8	2	0	755	0	
	2016	9	2	0	1759	0	
	2016	10	2	0	2444	0	
	2016	11	2	1	1565	0.0006389776	
	2016	12	2	0	740	0	
	2016	13	2	0	578	0	
	2016	14	2	0	537	0	
	2016	15	2	0	464	0	
	2016	16	2	0	313	0	
	2016	17	2	0	172	0	
	2016	18	2	1	57	0.01754386	
	2016	19	2	0	8	0	
	2016	20	2	0	2	0	
	2017	4	2	0	1	0	
	2017	5	2	0	2	0	
	2017	6	2	0	36	0	
	2017	7	2	0	237	0	
	2017	8	2	0	723	0	
	2017	9	2	0	1698	0	
	2017	10	2	0	2377	0	
	2017	11	2	1	1498	0.0006675567	
	2017	12	2	0	666	0	
	2017	13	2	0	570	0	
	2017	14	2	0	518	0	
	2017	15	2	0	523	0	
	2017	16	2	0	269	0	
	2017	17	2	1	154	0.006493506	
	2017	18	2	1	42	0.02380952	
	2017	19	2	0	6	0	
	2017	20	2	0	1	0	
	2018	5	2	0	3	0	
	2018	6	2	0	44	0	
	2018	7	2	0	270	0	
	2018	8	2	0	736	0	
	2018	9	2	0	1634	0	
	2018	10	2	0	2359	0	
	2018	11	2	0	1470	0	
	2018	12	2	0	744	0	
	2018	13	2	0	600	0	
	2018	14	2	0	540	0	
	2018	15	2	0	459	0	
	2018	16	2	0	331	0	
	2018	17	2	1	152	0.006578947	
	2018	18	2	1	64	0.015625	
	2018	19	2	0	8	0	
	2018	20	2	0	2	0	
	2019	5	2	0	2	0	
	2019	6	2	0	47	0	
	2019	7	2	0	256	0	
	2019	8	2	0	817	0	
	2019	9	2	0	1732	0	
	2019	10	2	0	2226	0	
	2019	11	2	0	1555	0	
	2019	12	2	0	763	0	
	2019	13	2	1	570	0.001754386	
	2019	14	2	0	520	0	
	2019	15	2	0	443	0	
	2019	16	2	0	307	0	
	2019	17	2	0	156	0	
	2019	18	2	1	60	0.01666667	
	2019	19	2	0	7	0	
	2019	20	2	0	1	0	
