
	G3_01_M Hysterektomie bei gutartigen Erkrankungen (Alter >14), Mortalität // Hystérectomie pour affections bénignes (âge >14), mortalité // Isterectomia per malattie benigne (età >14), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	1	9370	0.01067236	
	2009	1	10210	0.009794319	
	2010	1	10130	0.009871668	
	2011	1	9983	0.01001703	
	2012	1	9931	0.01006948	
	2013	1	9906	0.01009489	
	2014	4	9868	0.04053506	
	2015	2	9698	0.02062281	
	2016	2	9683	0.02065476	
	2017	3	9321	0.03218539	
	2018	2	9416	0.02124044	
	2019	2	9462	0.02113718	
