
	G4_04_M Bösartige Neubildungen der Ovarien mit Ovariektomie, Mortalität // Tumeurs malignes des ovaires avec ovariectomie, mortalité // Tumori maligni delle ovaie con ovariectomia, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	2	2	0	2	0	
	2008	4	2	0	3	0	
	2008	5	2	0	3	0	
	2008	6	2	0	5	0	
	2008	7	2	0	13	0	
	2008	8	2	0	30	0	
	2008	9	2	0	34	0	
	2008	10	2	1	65	0.01538462	
	2008	11	2	0	58	0	
	2008	12	2	0	68	0	
	2008	13	2	1	90	0.01111111	
	2008	14	2	0	49	0	
	2008	15	2	1	65	0.01538462	
	2008	16	2	2	68	0.02941176	
	2008	17	2	1	33	0.03030303	
	2008	18	2	1	15	0.06666667	
	2008	19	2	0	3	0	
	2009	3	2	0	1	0	
	2009	4	2	0	4	0	
	2009	5	2	0	6	0	
	2009	6	2	0	6	0	
	2009	7	2	0	12	0	
	2009	8	2	0	23	0	
	2009	9	2	0	41	0	
	2009	10	2	0	57	0	
	2009	11	2	0	58	0	
	2009	12	2	1	73	0.01369863	
	2009	13	2	0	64	0	
	2009	14	2	1	94	0.0106383	
	2009	15	2	5	82	0.06097561	
	2009	16	2	1	43	0.02325581	
	2009	17	2	1	35	0.02857143	
	2009	18	2	1	13	0.07692308	
	2009	19	2	0	3	0	
	2009	20	2	0	1	0	
	2010	1	2	0	1	0	
	2010	3	2	0	3	0	
	2010	4	2	0	1	0	
	2010	5	2	0	4	0	
	2010	6	2	0	8	0	
	2010	7	2	0	13	0	
	2010	8	2	0	29	0	
	2010	9	2	0	30	0	
	2010	10	2	1	62	0.01612903	
	2010	11	2	0	56	0	
	2010	12	2	0	67	0	
	2010	13	2	0	80	0	
	2010	14	2	1	82	0.01219512	
	2010	15	2	1	77	0.01298701	
	2010	16	2	1	54	0.01851852	
	2010	17	2	2	29	0.06896552	
	2010	18	2	1	13	0.07692308	
	2010	19	2	0	2	0	
	2011	3	2	0	1	0	
	2011	4	2	0	6	0	
	2011	5	2	0	5	0	
	2011	6	2	0	10	0	
	2011	7	2	0	10	0	
	2011	8	2	0	17	0	
	2011	9	2	0	24	0	
	2011	10	2	2	60	0.03333333	
	2011	11	2	0	52	0	
	2011	12	2	0	58	0	
	2011	13	2	2	97	0.02061856	
	2011	14	2	2	91	0.02197802	
