
	G4_06_M Bösartige Neubildungen des Uterus mit Hysterektomie, Mortalität // Tumeurs malignes de l'utérus avec hystérectomie, mortalité // Tumori maligni dell'utero con isterectomia, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	2	0	2	0	
	2008	6	2	0	3	0	
	2008	7	2	0	17	0	
	2008	8	2	0	57	0	
	2008	9	2	0	74	0	
	2008	10	2	0	75	0	
	2008	11	2	1	85	0.01176471	
	2008	12	2	0	102	0	
	2008	13	2	0	117	0	
	2008	14	2	0	111	0	
	2008	15	2	0	95	0	
	2008	16	2	1	86	0.01162791	
	2008	17	2	1	60	0.01666667	
	2008	18	2	1	32	0.03125	
	2008	19	2	0	9	0	
	2008	20	2	0	1	0	
	2009	5	2	0	1	0	
	2009	6	2	0	10	0	
	2009	7	2	0	22	0	
	2009	8	2	0	59	0	
	2009	9	2	0	92	0	
	2009	10	2	0	111	0	
	2009	11	2	0	93	0	
	2009	12	2	1	117	0.008547009	
	2009	13	2	0	127	0	
	2009	14	2	0	141	0	
	2009	15	2	1	125	0.008	
	2009	16	2	2	90	0.02222222	
	2009	17	2	1	74	0.01351351	
	2009	18	2	0	40	0	
	2009	19	2	0	4	0	
	2009	20	2	0	1	0	
	2010	5	2	0	2	0	
	2010	6	2	0	6	0	
	2010	7	2	0	22	0	
	2010	8	2	0	49	0	
	2010	9	2	0	97	0	
	2010	10	2	0	107	0	
	2010	11	2	0	101	0	
	2010	12	2	0	128	0	
	2010	13	2	0	128	0	
	2010	14	2	0	141	0	
	2010	15	2	2	130	0.01538462	
	2010	16	2	2	104	0.01923077	
	2010	17	2	4	69	0.05797101	
	2010	18	2	0	34	0	
	2010	19	2	1	7	0.1428571	
	2010	20	2	0	1	0	
	2011	5	2	0	3	0	
	2011	6	2	0	5	0	
	2011	7	2	0	27	0	
	2011	8	2	0	61	0	
	2011	9	2	0	101	0	
	2011	10	2	0	102	0	
	2011	11	2	0	118	0	
	2011	12	2	0	106	0	
	2011	13	2	0	124	0	
	2011	14	2	1	166	0.006024096	
	2011	15	2	1	145	0.006896552	
	2011	16	2	1	119	0.008403361	
	2011	17	2	1	78	0.01282051	
	2011	18	2	0	35	0	
	2011	19	2	0	7	0	
	2011	20	2	0	1	0	
	2012	6	2	0	7	0	
	2012	7	2	0	20	0	
	2012	8	2	0	58	0	
	2012	9	2	0	108	0	
	2012	10	2	0	93	0	
	2012	11	2	0	103	0	
	2012	12	2	0	101	0	
	2012	13	2	2	134	0.01492537	
	2012	14	2	0	188	0	
	2012	15	2	0	109	0	
	2012	16	2	2	129	0.01550388	
	2012	17	2	1	71	0.01408451	
	2012	18	2	0	40	0	
	2012	19	2	0	7	0	
	2012	20	2	0	1	0	
	2013	5	2	0	1	0	
	2013	6	2	0	10	0	
	2013	7	2	0	25	0	
	2013	8	2	0	57	0	
	2013	9	2	0	94	0	
	2013	10	2	0	105	0	
	2013	11	2	0	109	0	
	2013	12	2	0	126	0	
	2013	13	2	1	145	0.006896552	
	2013	14	2	1	168	0.005952381	
	2013	15	2	1	122	0.008196721	
	2013	16	2	1	104	0.009615385	
	2013	17	2	0	94	0	
	2013	18	2	0	39	0	
	2013	19	2	0	8	0	
	2013	20	2	0	1	0	
	2014	6	2	0	5	0	
	2014	7	2	0	32	0	
	2014	8	2	0	50	0	
	2014	9	2	0	112	0	
	2014	10	2	0	102	0	
	2014	11	2	0	118	0	
	2014	12	2	1	135	0.007407407	
	2014	13	2	0	135	0	
	2014	14	2	3	130	0.02307692	
	2014	15	2	0	153	0	
	2014	16	1	0	1	0	
	2014	16	2	2	89	0.02247191	
	2014	17	2	2	78	0.02564103	
	2014	18	2	0	34	0	
	2014	19	2	0	13	0	
	2014	20	2	0	1	0	
	2015	5	2	0	1	0	
	2015	6	2	0	12	0	
	2015	7	2	0	29	0	
	2015	8	2	0	69	0	
	2015	9	2	0	86	0	
	2015	10	2	0	110	0	
	2015	11	2	0	134	0	
	2015	12	2	0	116	0	
	2015	13	2	0	133	0	
	2015	14	2	0	147	0	
	2015	15	2	0	144	0	
	2015	16	2	2	110	0.01818182	
	2015	17	2	0	82	0	
	2015	18	2	1	47	0.0212766	
	2015	19	2	1	15	0.06666667	
	2016	6	2	0	2	0	
	2016	7	2	0	33	0	
	2016	8	2	0	66	0	
	2016	9	2	0	82	0	
	2016	10	2	0	120	0	
	2016	11	2	0	129	0	
	2016	12	2	0	135	0	
	2016	13	2	1	152	0.006578947	
	2016	14	2	0	155	0	
	2016	15	2	4	137	0.02919708	
	2016	16	2	1	105	0.00952381	
	2016	17	2	1	81	0.01234568	
	2016	18	2	1	39	0.02564103	
	2016	19	2	0	9	0	
	2017	6	2	0	7	0	
	2017	7	2	0	23	0	
	2017	8	2	0	59	0	
	2017	9	2	0	109	0	
	2017	10	2	0	115	0	
	2017	11	2	0	142	0	
	2017	12	2	0	131	0	
	2017	13	2	0	152	0	
	2017	14	2	0	149	0	
	2017	15	2	2	130	0.01538462	
	2017	16	2	0	130	0	
	2017	17	2	1	71	0.01408451	
	2017	18	2	1	35	0.02857143	
	2017	19	2	0	10	0	
	2017	20	2	0	1	0	
	2018	5	2	0	1	0	
	2018	6	2	0	7	0	
	2018	7	2	0	25	0	
	2018	8	2	0	53	0	
	2018	9	2	0	110	0	
	2018	10	2	1	106	0.009433962	
	2018	11	2	0	148	0	
	2018	12	2	0	155	0	
	2018	13	2	0	152	0	
	2018	14	2	0	130	0	
	2018	15	2	1	158	0.006329114	
	2018	16	2	1	118	0.008474576	
	2018	17	2	0	78	0	
	2018	18	2	0	35	0	
	2018	19	2	0	6	0	
	2018	20	2	1	1	1	
	2019	6	2	0	2	0	
	2019	7	2	0	36	0	
	2019	8	2	0	58	0	
	2019	9	2	0	78	0	
	2019	10	2	0	97	0	
	2019	11	2	1	135	0.007407407	
	2019	12	2	0	139	0	
	2019	13	2	0	124	0	
	2019	14	2	0	152	0	
	2019	15	2	1	171	0.005847953	
	2019	16	2	0	122	0	
	2019	17	2	0	82	0	
	2019	18	2	0	42	0	
	2019	19	2	0	13	0	
	2019	20	2	0	2	0	
