
	H1_08_M Nephrektomie bei bösartigen Neubildungen der Niere, Mortalität // Néphrectomie en cas de tumeurs malignes du rein, mortalité // Nefrectomia per tumori maligni del rene, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	5	0	
	2008	1	2	0	2	0	
	2008	2	2	0	3	0	
	2008	3	2	0	1	0	
	2008	4	1	0	1	0	
	2008	5	2	0	1	0	
	2008	6	1	0	1	0	
	2008	7	1	0	2	0	
	2008	7	2	0	1	0	
	2008	8	1	0	9	0	
	2008	8	2	0	1	0	
	2008	9	1	0	16	0	
	2008	9	2	0	4	0	
	2008	10	1	0	23	0	
	2008	10	2	0	9	0	
	2008	11	1	0	25	0	
	2008	11	2	0	8	0	
	2008	12	1	0	43	0	
	2008	12	2	0	9	0	
	2008	13	1	2	67	0.02985075	
	2008	13	2	1	25	0.04	
	2008	14	1	0	76	0	
	2008	14	2	0	32	0	
	2008	15	1	1	70	0.01428571	
	2008	15	2	2	40	0.05	
	2008	16	1	1	55	0.01818182	
	2008	16	2	0	40	0	
	2008	17	1	3	40	0.075	
	2008	17	2	2	42	0.04761905	
	2008	18	1	0	10	0	
	2008	18	2	0	7	0	
	2008	19	1	0	1	0	
	2008	19	2	0	1	0	
	2009	1	1	0	2	0	
	2009	1	2	0	2	0	
	2009	2	1	0	2	0	
	2009	2	2	0	2	0	
	2009	3	2	0	1	0	
	2009	5	1	0	1	0	
	2009	5	2	0	1	0	
	2009	6	2	0	2	0	
	2009	7	1	0	1	0	
	2009	8	1	0	2	0	
	2009	8	2	0	3	0	
	2009	9	1	0	4	0	
	2009	9	2	0	2	0	
	2009	10	1	0	16	0	
	2009	10	2	0	6	0	
	2009	11	1	1	20	0.05	
	2009	11	2	0	10	0	
	2009	12	1	2	50	0.04	
	2009	12	2	0	20	0	
	2009	13	1	0	56	0	
	2009	13	2	0	29	0	
	2009	14	1	0	62	0	
	2009	14	2	1	28	0.03571429	
	2009	15	1	1	75	0.01333333	
	2009	15	2	1	39	0.02564103	
	2009	16	1	1	68	0.01470588	
	2009	16	2	1	36	0.02777778	
	2009	17	1	1	29	0.03448276	
	2009	17	2	1	26	0.03846154	
	2009	18	1	0	8	0	
	2009	18	2	1	8	0.125	
	2009	19	1	0	1	0	
	2010	1	1	0	3	0	
	2010	1	2	0	4	0	
	2010	2	2	0	2	0	
	2010	4	1	0	2	0	
	2010	4	2	0	1	0	
	2010	6	1	0	3	0	
	2010	6	2	0	2	0	
	2010	7	2	0	1	0	
	2010	8	1	0	7	0	
	2010	8	2	0	3	0	
	2010	9	1	0	9	0	
	2010	9	2	0	5	0	
	2010	10	1	2	24	0.08333333	
	2010	10	2	0	4	0	
	2010	11	1	0	35	0	
	2010	11	2	0	15	0	
	2010	12	1	1	39	0.02564103	
	2010	12	2	0	21	0	
	2010	13	1	0	59	0	
	2010	13	2	0	30	0	
	2010	14	1	1	70	0.01428571	
	2010	14	2	0	25	0	
	2010	15	1	1	72	0.01388889	
	2010	15	2	0	38	0	
	2010	16	1	0	51	0	
	2010	16	2	1	28	0.03571429	
	2010	17	1	1	38	0.02631579	
	2010	17	2	0	37	0	
	2010	18	1	1	15	0.06666667	
	2010	18	2	0	10	0	
	2010	19	1	0	2	0	
	2010	19	2	0	1	0	
	2011	1	1	0	3	0	
	2011	1	2	0	2	0	
	2011	2	1	0	3	0	
	2011	2	2	0	1	0	
	2011	5	1	0	2	0	
	2011	6	1	0	2	0	
	2011	6	2	0	2	0	
	2011	8	1	0	6	0	
	2011	8	2	0	4	0	
	2011	9	1	0	12	0	
	2011	9	2	0	2	0	
	2011	10	1	0	19	0	
	2011	10	2	0	7	0	
	2011	11	1	0	26	0	
	2011	11	2	0	14	0	
	2011	12	1	0	39	0	
	2011	12	2	0	18	0	
	2011	13	1	0	57	0	
	2011	13	2	0	21	0	
	2011	14	1	0	67	0	
	2011	14	2	0	39	0	
	2011	15	1	0	69	0	
	2011	15	2	0	38	0	
	2011	16	1	2	72	0.02777778	
	2011	16	2	1	48	0.02083333	
	2011	17	1	0	37	0	
	2011	17	2	0	26	0	
	2011	18	1	0	16	0	
	2011	18	2	0	14	0	
	2011	19	1	0	1	0	
	2012	1	1	0	3	0	
	2012	1	2	0	5	0	
	2012	2	1	0	2	0	
	2012	2	2	0	1	0	
	2012	3	1	0	1	0	
	2012	6	1	0	1	0	
	2012	7	1	0	1	0	
	2012	8	1	0	5	0	
	2012	8	2	0	4	0	
	2012	9	1	0	12	0	
	2012	9	2	0	4	0	
	2012	10	1	0	25	0	
	2012	10	2	0	10	0	
	2012	11	1	0	37	0	
	2012	11	2	0	14	0	
	2012	12	1	0	36	0	
	2012	12	2	0	14	0	
	2012	13	1	0	64	0	
	2012	13	2	0	30	0	
	2012	14	1	1	60	0.01666667	
	2012	14	2	0	42	0	
	2012	15	1	2	79	0.02531646	
	2012	15	2	0	32	0	
	2012	16	1	2	62	0.03225806	
	2012	16	2	0	34	0	
	2012	17	1	1	36	0.02777778	
	2012	17	2	0	19	0	
	2012	18	1	3	16	0.1875	
	2012	18	2	0	12	0	
	2012	19	1	0	1	0	
	2013	1	1	0	2	0	
	2013	1	2	0	1	0	
	2013	2	2	0	2	0	
	2013	4	1	0	1	0	
	2013	5	2	0	1	0	
	2013	6	2	0	3	0	
	2013	7	1	0	2	0	
	2013	7	2	0	3	0	
	2013	8	1	0	2	0	
	2013	9	1	0	10	0	
	2013	9	2	0	4	0	
	2013	10	1	0	17	0	
	2013	10	2	0	4	0	
	2013	11	1	0	31	0	
