
	H3_05_M Entfernung der Harnblase (Zystektomie), Mortalität // Ablation de la vessie (cystectomie), mortalité // Asportazione della vescica (cistectomia), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	2	0	
	2008	7	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	1	0	
	2008	8	2	0	1	0	
	2008	9	1	0	3	0	
	2008	9	2	0	6	0	
	2008	10	1	0	8	0	
	2008	10	2	0	4	0	
	2008	11	1	0	17	0	
	2008	11	2	1	9	0.1111111	
	2008	12	1	0	20	0	
	2008	12	2	0	10	0	
	2008	13	1	0	51	0	
	2008	13	2	0	11	0	
	2008	14	1	3	68	0.04411765	
	2008	14	2	1	13	0.07692308	
	2008	15	1	1	55	0.01818182	
	2008	15	2	1	19	0.05263158	
	2008	16	1	0	57	0	
	2008	16	2	0	15	0	
	2008	17	1	0	25	0	
	2008	17	2	0	18	0	
	2008	18	1	1	10	0.1	
	2008	19	1	0	1	0	
	2008	19	2	0	1	0	
	2009	1	2	0	1	0	
	2009	4	1	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	2	0	
	2009	8	2	0	2	0	
	2009	9	1	0	2	0	
	2009	9	2	0	2	0	
	2009	10	1	0	10	0	
	2009	10	2	0	2	0	
	2009	11	1	0	18	0	
	2009	11	2	0	8	0	
	2009	12	1	3	25	0.12	
	2009	12	2	0	4	0	
	2009	13	1	0	55	0	
	2009	13	2	0	12	0	
	2009	14	1	1	52	0.01923077	
	2009	14	2	0	21	0	
	2009	15	1	2	60	0.03333333	
	2009	15	2	0	13	0	
	2009	16	1	2	54	0.03703704	
	2009	16	2	2	24	0.08333333	
	2009	17	1	4	31	0.1290323	
	2009	17	2	0	18	0	
	2009	18	1	1	14	0.07142857	
	2009	18	2	1	3	0.3333333	
	2009	19	1	0	1	0	
	2010	1	1	0	1	0	
	2010	1	2	0	2	0	
	2010	4	1	0	1	0	
	2010	5	2	0	2	0	
	2010	7	2	0	2	0	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	5	0	
	2010	9	2	0	2	0	
	2010	10	1	0	11	0	
	2010	10	2	0	4	0	
	2010	11	1	1	17	0.05882353	
	2010	11	2	0	13	0	
	2010	12	1	0	29	0	
	2010	12	2	0	7	0	
	2010	13	1	2	53	0.03773585	
	2010	13	2	1	17	0.05882353	
	2010	14	1	1	72	0.01388889	
