
	H3_06_M Eviszeration des Beckens bei Mann oder Frau, Mortalität // Eviscération pelvienne chez l'homme ou la femme, mortalité // Eviscerazione pelvica nell'uomo o nella donna, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	10	2	0	3	0	
	2008	11	2	0	3	0	
	2008	12	2	0	4	0	
	2008	13	2	0	2	0	
	2008	14	2	0	1	0	
	2008	15	2	0	8	0	
	2008	16	2	0	2	0	
	2008	17	2	0	3	0	
	2009	6	2	0	1	0	
	2009	8	2	0	2	0	
	2009	11	2	0	4	0	
	2009	12	2	0	4	0	
	2009	13	2	0	3	0	
	2009	14	2	0	3	0	
	2009	15	2	1	1	1	
	2009	16	2	0	3	0	
	2009	17	2	0	1	0	
	2010	10	2	0	1	0	
	2010	11	2	0	1	0	
	2010	12	2	0	2	0	
	2010	13	2	0	3	0	
	2010	14	2	0	4	0	
	2010	15	2	0	5	0	
	2010	16	2	0	5	0	
	2010	17	2	0	2	0	
	2010	18	2	0	1	0	
	2011	7	2	0	3	0	
	2011	8	2	0	1	0	
	2011	9	2	0	1	0	
	2011	10	2	0	1	0	
	2011	11	1	0	1	0	
	2011	11	2	0	3	0	
	2011	12	1	0	1	0	
	2011	12	2	0	2	0	
	2011	13	1	0	1	0	
	2011	13	2	0	7	0	
	2011	14	1	0	1	0	
	2011	14	2	1	3	0.3333333	
	2011	15	2	1	1	1	
	2011	16	1	0	4	0	
	2011	16	2	0	1	0	
	2011	17	1	1	2	0.5	
	2011	17	2	1	2	0.5	
	2011	18	2	0	1	0	
	2012	8	2	0	1	0	
	2012	9	2	0	1	0	
	2012	11	1	0	1	0	
	2012	12	1	0	1	0	
	2012	12	2	0	2	0	
	2012	13	1	0	4	0	
	2012	13	2	0	5	0	
	2012	14	1	0	4	0	
	2012	14	2	0	9	0	
	2012	15	1	0	3	0	
	2012	15	2	0	5	0	
	2012	16	1	1	5	0.2	
	2012	16	2	0	3	0	
	2012	17	1	1	6	0.1666667	
	2012	17	2	0	5	0	
	2012	18	2	0	1	0	
	2013	7	2	0	1	0	
	2013	8	1	0	1	0	
	2013	9	2	1	2	0.5	
	2013	10	1	0	2	0	
	2013	10	2	0	5	0	
	2013	11	2	0	3	0	
	2013	12	1	0	2	0	
	2013	12	2	0	6	0	
	2013	13	1	0	2	0	
	2013	13	2	0	3	0	
	2013	14	1	0	5	0	
	2013	14	2	0	10	0	
	2013	15	1	0	3	0	
	2013	15	2	0	9	0	
	2013	16	1	0	2	0	
