
	H4_03_M Prostata­TUR bei gutartigen Erkrankungen, Mortalität // RTU de la prostate pour affections bénignes, mortalité // TUR della prostata per malattie benigne, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	1	0	
	2008	6	1	0	1	0	
	2008	7	1	0	2	0	
	2008	8	1	0	9	0	
	2008	9	1	0	13	0	
	2008	10	1	0	76	0	
	2008	11	1	0	226	0	
	2008	11	2	0	1	0	
	2008	12	1	0	650	0	
	2008	13	1	0	1262	0	
	2008	14	1	2	1491	0.001341382	
	2008	15	1	0	1382	0	
	2008	16	1	0	1182	0	
	2008	17	1	2	733	0.002728513	
	2008	18	1	0	330	0	
	2008	19	1	3	71	0.04225352	
	2008	20	1	0	5	0	
	2009	6	1	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	1	0	
	2009	9	1	0	20	0	
	2009	10	1	0	71	0	
	2009	10	2	0	1	0	
	2009	11	1	0	248	0	
	2009	12	1	0	634	0	
	2009	13	1	0	1234	0	
	2009	14	1	0	1454	0	
	2009	15	1	1	1299	0.0007698229	
	2009	16	1	2	1130	0.001769912	
	2009	17	1	1	777	0.001287001	
	2009	18	1	2	340	0.005882353	
	2009	19	1	1	70	0.01428571	
	2009	20	1	0	10	0	
	2010	4	1	0	1	0	
	2010	6	1	0	1	0	
	2010	7	1	0	3	0	
	2010	8	1	0	5	0	
	2010	9	1	0	23	0	
	2010	10	1	0	84	0	
	2010	11	1	0	270	0	
	2010	12	1	0	591	0	
	2010	13	1	0	1108	0	
	2010	14	1	0	1381	0	
	2010	15	1	0	1343	0	
	2010	16	1	0	1169	0	
	2010	17	1	3	732	0.004098361	
	2010	18	1	1	300	0.003333333	
	2010	19	1	0	48	0	
	2010	20	1	0	4	0	
	2011	7	1	0	2	0	
	2011	8	1	0	5	0	
	2011	9	1	0	20	0	
	2011	10	1	0	73	0	
	2011	11	1	0	229	0	
	2011	11	2	0	1	0	
	2011	12	1	1	571	0.001751313	
	2011	12	2	0	1	0	
	2011	13	1	0	1053	0	
	2011	14	1	0	1448	0	
	2011	14	2	0	1	0	
	2011	15	1	1	1208	0.0008278146	
	2011	16	1	0	1112	0	
	2011	17	1	2	712	0.002808989	
	2011	18	1	0	296	0	
	2011	19	1	0	62	0	
	2011	20	1	0	2	0	
	2012	8	1	0	5	0	
	2012	9	1	0	21	0	
	2012	10	1	0	74	0	
	2012	11	1	0	239	0	
	2012	12	1	0	539	0	
