
	H4_04_M Prostata­TUR bei bösartigen Neubildungen, Mortalität // RTU de la prostate en cas de tumeurs malignes, mortalité // TUR della prostata per tumori maligni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	8	1	0	2	0	
	2008	9	1	0	2	0	
	2008	10	1	0	2	0	
	2008	11	1	0	19	0	
	2008	12	1	0	57	0	
	2008	13	1	3	144	0.02083333	
	2008	14	1	0	221	0	
	2008	15	1	0	325	0	
	2008	16	1	1	434	0.002304147	
	2008	17	1	5	409	0.01222494	
	2008	18	1	4	228	0.01754386	
	2008	19	1	1	45	0.02222222	
	2008	20	1	0	11	0	
	2009	4	1	0	2	0	
	2009	8	1	0	1	0	
	2009	9	1	0	2	0	
	2009	10	1	0	4	0	
	2009	11	1	0	19	0	
	2009	12	1	0	54	0	
	2009	13	1	0	163	0	
	2009	14	1	1	299	0.003344482	
	2009	15	1	1	357	0.00280112	
	2009	16	1	5	439	0.01138952	
	2009	17	1	5	366	0.0136612	
	2009	18	1	4	226	0.01769912	
	2009	19	1	0	47	0	
	2009	20	1	0	3	0	
	2010	9	1	0	3	0	
	2010	10	1	0	4	0	
	2010	11	1	0	28	0	
	2010	12	1	1	72	0.01388889	
	2010	13	1	0	180	0	
	2010	14	1	2	313	0.006389776	
	2010	15	1	1	390	0.002564103	
	2010	16	1	1	434	0.002304147	
	2010	17	1	1	407	0.002457002	
	2010	18	1	3	216	0.01388889	
	2010	19	1	1	67	0.01492537	
	2010	20	1	0	2	0	
	2011	9	1	0	1	0	
	2011	10	1	0	4	0	
	2011	11	1	0	38	0	
	2011	12	1	0	68	0	
	2011	13	1	0	177	0	
	2011	14	1	2	331	0.006042296	
	2011	15	1	2	376	0.005319149	
	2011	15	2	0	2	0	
	2011	16	1	2	460	0.004347826	
	2011	17	1	2	410	0.004878049	
	2011	18	1	2	221	0.009049774	
	2011	19	1	0	59	0	
	2011	19	2	0	1	0	
	2011	20	1	0	6	0	
	2012	10	1	0	7	0	
	2012	11	1	0	29	0	
	2012	12	1	0	77	0	
	2012	13	1	0	180	0	
	2012	14	1	1	325	0.003076923	
	2012	15	1	2	411	0.00486618	
	2012	16	1	2	435	0.004597701	
	2012	17	1	4	431	0.009280742	
	2012	18	1	1	289	0.003460208	
	2012	19	1	0	69	0	
	2012	20	1	0	7	0	
	2013	9	1	0	1	0	
	2013	10	1	0	2	0	
	2013	11	1	0	25	0	
	2013	12	1	0	99	0	
	2013	13	1	0	204	0	
	2013	14	1	0	306	0	
	2013	15	1	2	409	0.004889976	
	2013	16	1	2	433	0.004618938	
	2013	17	1	0	422	0	
	2013	18	1	2	258	0.007751938	
	2013	19	1	3	72	0.04166667	
	2013	20	1	1	7	0.1428571	
	2014	9	1	0	3	0	
	2014	10	1	0	4	0	
	2014	11	1	0	26	0	
	2014	12	1	0	83	0	
	2014	13	1	0	152	0	
	2014	14	1	1	307	0.003257329	
	2014	15	1	2	429	0.004662005	
	2014	16	1	2	473	0.00422833	
	2014	17	1	6	462	0.01298701	
	2014	18	1	4	294	0.01360544	
	2014	19	1	1	70	0.01428571	
	2014	20	1	0	4	0	
	2015	9	1	0	1	0	
	2015	10	1	0	6	0	
	2015	11	1	0	32	0	
	2015	12	1	2	95	0.02105263	
	2015	13	1	1	175	0.005714286	
	2015	14	1	0	294	0	
	2015	15	1	2	405	0.004938272	
	2015	15	2	0	1	0	
	2015	16	1	3	459	0.006535948	
	2015	17	1	2	448	0.004464286	
	2015	18	1	1	278	0.003597122	
	2015	19	1	0	61	0	
	2015	20	1	0	8	0	
	2016	8	1	0	1	0	
	2016	9	1	0	2	0	
	2016	10	1	0	9	0	
	2016	11	1	0	23	0	
	2016	12	1	1	88	0.01136364	
	2016	13	1	0	160	0	
	2016	14	1	1	299	0.003344482	
	2016	15	1	1	439	0.002277904	
	2016	16	1	2	478	0.0041841	
	2016	17	1	0	451	0	
	2016	18	1	3	280	0.01071429	
	2016	19	1	2	82	0.02439024	
	2016	20	1	1	9	0.1111111	
	2017	10	1	0	4	0	
	2017	11	1	0	33	0	
	2017	12	1	0	67	0	
	2017	13	1	0	179	0	
	2017	14	1	1	310	0.003225806	
	2017	15	1	0	447	0	
	2017	16	1	1	441	0.002267574	
	2017	17	1	1	382	0.002617801	
	2017	18	1	0	263	0	
	2017	19	1	0	78	0	
	2017	20	1	0	8	0	
	2018	10	1	0	6	0	
	2018	11	1	0	30	0	
	2018	12	1	0	74	0	
	2018	13	1	0	183	0	
	2018	14	1	1	241	0.004149378	
	2018	15	1	1	442	0.002262443	
	2018	16	1	1	474	0.002109705	
	2018	17	1	1	400	0.0025	
	2018	18	1	3	255	0.01176471	
	2018	19	1	0	74	0	
	2018	20	1	0	9	0	
	2019	8	1	0	1	0	
	2019	9	1	0	3	0	
	2019	10	1	1	5	0.2	
	2019	11	1	0	18	0	
	2019	12	1	1	103	0.009708738	
	2019	13	1	0	188	0	
	2019	14	1	0	280	0	
	2019	15	1	0	445	0	
	2019	15	2	0	1	0	
	2019	16	1	2	518	0.003861004	
	2019	17	1	4	464	0.00862069	
	2019	18	1	4	280	0.01428571	
	2019	19	1	1	74	0.01351351	
	2019	20	1	0	7	0	
